epoch,global step,mode,loss,accuracy,mean_length
0,10,train,2.6371,11.25,59.8
0,20,train,2.709,13.75,63.2
0,30,train,2.8621,11.25,63.3875
0,40,train,2.3912,8.75,63.8375
0,50,train,2.2028,21.25,64
0,60,train,2.1502,8.75,64
0,70,train,2.1178,10.0,64
0,80,train,2.124,8.75,63.9375
0,90,train,2.133,10.0,64
0,100,train,2.1213,11.25,64
0,110,train,2.0751,11.25,64
0,120,train,2.0787,18.75,64
0,130,train,2.0362,20.0,63.5
0,140,train,2.083,10.0,64
0,150,train,2.1097,11.25,63.6375
0,160,train,2.0546,18.75,64
0,170,train,2.1341,7.5,63.3
0,180,train,2.0924,15.0,64
0,190,train,2.0552,16.25,63.8375
0,200,train,2.0761,17.5,64
0,210,train,2.094,8.75,64
0,220,train,2.0722,18.75,63.675
0,230,train,2.0806,13.75,64
0,240,train,2.0863,8.75,64
0,250,train,2.0602,21.25,64
0,260,train,2.0923,13.75,64
0,270,train,2.0789,11.25,64
0,280,train,2.0813,15.0,64
0,290,train,2.0959,8.75,64
0,300,train,2.0874,16.25,63.6
0,310,train,2.0856,12.5,64
0,320,train,2.0611,15.0,64
0,330,train,2.0856,13.75,64
0,340,train,2.1139,8.75,64
0,350,train,2.0752,12.5,64
0,360,train,2.0847,15.0,64
0,370,train,2.113,3.75,64
0,380,train,2.0828,20.0,64
0,390,train,2.0926,7.5,64
0,400,train,2.0827,10.0,64
0,410,train,2.1004,12.5,64
0,420,train,2.1058,11.25,64
0,430,train,2.078,8.75,64
0,440,train,2.0862,12.5,64
0,450,train,2.0632,15.0,64
0,460,train,2.0946,7.5,64
0,470,train,2.0967,12.5,64
0,480,train,2.08,8.75,64
0,490,train,2.0785,13.75,64
0,500,train,2.0908,3.75,64
0,510,train,2.0584,12.5,64
0,512,validation,2.0847,12.54,64
0,520,train,2.0995,7.5,64
0,530,train,2.0725,15.0,64
0,540,train,2.1072,3.75,64
0,550,train,2.0864,11.25,64
0,560,train,2.0796,13.75,64
0,570,train,2.0879,7.5,64
0,580,train,2.0822,3.75,64
0,590,train,2.0829,13.75,64
0,600,train,2.087,12.5,64
0,610,train,2.0872,8.75,64
0,620,train,2.0764,18.75,64
0,630,train,2.0999,12.5,64
0,640,train,2.0837,13.75,64
0,650,train,2.0718,12.5,64
0,660,train,2.077,17.5,64
0,670,train,2.0826,13.75,64
0,680,train,2.0713,18.75,64
0,690,train,2.0756,10.0,64
0,700,train,2.0836,10.0,64
0,710,train,2.0766,13.75,64
0,720,train,2.0789,12.5,64
0,730,train,2.0937,10.0,64
0,740,train,2.0745,16.25,64
0,750,train,2.0857,11.25,64
0,760,train,2.0836,11.25,64
0,770,train,2.0762,12.5,64
0,780,train,2.0755,15.0,64
0,790,train,2.0797,11.25,64
0,800,train,2.0777,12.5,64
0,810,train,2.0765,15.0,64
0,820,train,2.0746,13.75,64
0,830,train,2.0829,10.0,64
0,840,train,2.0807,11.25,64
0,850,train,2.0736,15.0,64
0,860,train,2.0732,20.0,64
0,870,train,2.0865,7.5,64
0,880,train,2.0828,8.75,64
0,890,train,2.0792,11.25,64
0,900,train,2.0878,12.5,64
0,910,train,2.0832,10.0,64
0,920,train,2.0791,10.0,64
0,930,train,2.0908,8.75,64
0,940,train,2.0892,8.75,64
0,950,train,2.0812,13.75,64
0,960,train,2.0792,8.75,64
0,970,train,2.0792,16.25,64
0,980,train,2.0816,7.5,64
0,990,train,2.0848,8.75,64
0,1000,train,2.082,16.25,64
0,1010,train,2.0843,10.0,64
0,1020,train,2.0832,13.75,64
0,1024,validation,2.0802,12.5,64
0,1030,train,2.0759,7.5,64
0,1040,train,2.0827,10.0,64
0,1050,train,2.079,12.5,64
0,1060,train,2.0795,8.75,64
0,1070,train,2.0793,7.5,64
0,1080,train,2.0812,15.0,64
0,1090,train,2.0829,10.0,64
0,1100,train,2.0771,15.0,64
0,1110,train,2.0795,22.5,64
0,1120,train,2.0838,10.0,64
0,1130,train,2.0806,12.5,64
0,1140,train,2.0816,11.25,64
0,1150,train,2.074,16.25,64
0,1160,train,2.076,15.0,64
0,1170,train,2.075,16.25,64
0,1180,train,2.0829,12.5,64
0,1190,train,2.0804,11.25,64
0,1200,train,2.0766,11.25,64
0,1210,train,2.0801,11.25,64
0,1220,train,2.0813,10.0,64
0,1230,train,2.0816,8.75,64
0,1240,train,2.0816,12.5,64
0,1250,train,2.0821,15.0,64
0,1260,train,2.0792,13.75,64
0,1270,train,2.08,8.75,64
0,1280,train,2.0843,16.25,64
0,1290,train,2.0823,8.75,64
0,1300,train,2.0799,12.5,64
0,1310,train,2.0747,16.25,64
0,1320,train,2.0722,18.75,64
0,1330,train,2.0793,12.5,64
0,1340,train,2.0773,20.0,64
0,1350,train,2.0762,21.25,64
0,1360,train,2.0839,10.0,64
0,1370,train,2.0776,12.5,64
0,1380,train,2.0908,11.25,64
0,1390,train,2.0808,13.75,64
0,1400,train,2.0824,11.25,64
0,1410,train,2.0834,10.0,64
0,1420,train,2.0784,10.0,64
0,1430,train,2.0741,11.25,64
0,1440,train,2.073,15.0,64
0,1450,train,2.0756,17.5,64
0,1460,train,2.082,13.75,64
0,1470,train,2.0826,10.0,64
0,1480,train,2.0866,8.75,64
0,1490,train,2.0833,10.0,64
0,1500,train,2.081,13.75,64
0,1510,train,2.084,7.5,64
0,1520,train,2.078,12.5,64
0,1530,train,2.084,10.0,64
0,1536,validation,2.0799,12.56,64
0,1540,train,2.0804,12.5,64
0,1550,train,2.0872,7.5,64
0,1560,train,2.0781,16.25,64
0,1570,train,2.0856,10.0,64
0,1580,train,2.0834,10.0,64
0,1590,train,2.0764,12.5,63.75
0,1600,train,2.0767,17.5,64
0,1610,train,2.08,11.25,64
0,1620,train,2.0752,15.0,64
0,1630,train,2.0841,6.25,64
0,1640,train,2.0747,18.75,64
0,1650,train,2.0792,18.75,64
0,1660,train,2.0822,12.5,64
0,1670,train,2.0779,20.0,64
0,1680,train,2.0825,7.5,64
0,1690,train,2.0797,13.75,64
0,1700,train,2.0774,16.25,64
0,1710,train,2.0773,12.5,64
0,1720,train,2.0864,7.5,64
0,1730,train,2.0785,12.5,64
0,1740,train,2.0796,12.5,64
0,1750,train,2.0785,15.0,64
0,1760,train,2.0829,11.25,64
0,1770,train,2.0768,12.5,64
0,1780,train,2.0849,11.25,64
0,1790,train,2.0818,13.75,64
0,1800,train,2.0815,15.0,64
0,1810,train,2.078,11.25,64
0,1820,train,2.0803,10.0,64
0,1830,train,2.0825,7.5,64
0,1840,train,2.0779,12.5,64
0,1850,train,2.0804,13.75,64
