epoch,global step,mode,loss,accuracy,mean_length
0,0,train,2.7459,12.5,52.5
0,0,validation,3.3243,12.34,63.292
0,10,train,2.6092,11.8421,56.3355
0,10,train,1.9269,37.5,60.5
0,20,train,2.2974,13.8158,61.3355
0,20,train,1.9724,12.5,64
0,30,train,2.1345,12.5,63.0789
0,30,train,2.0893,0.0,64
0,40,train,2.1234,12.5,64
0,40,train,2.0934,12.5,64
0,50,train,2.123,10.5263,63.6711
0,50,train,2.0889,0.0,64
0,60,train,2.0854,17.1053,64
0,60,train,2.1354,0.0,64
0,70,train,2.0813,13.1579,63.7237
0,70,train,2.1242,25.0,64
0,80,train,2.0851,18.4211,64
0,80,train,1.9907,12.5,64
0,90,train,2.1233,9.2105,62.8618
0,90,train,2.0571,25.0,64
0,100,train,2.0623,15.7895,63.6776
0,100,train,2.1339,0.0,64
0,110,train,2.0726,15.7895,63.75
0,110,train,1.9422,25.0,64
0,120,train,2.0922,11.1842,63.6513
0,120,train,2.0095,25.0,64
0,130,train,2.083,14.4737,63.4539
0,130,train,2.2302,0.0,64
0,140,train,2.0861,13.8158,63.0132
0,140,train,1.9962,25.0,59.25
0,150,train,2.0956,15.7895,63.3618
0,150,train,2.2208,12.5,59
0,160,train,2.0896,15.1316,63.4145
0,160,train,2.089,25.0,64
0,170,train,2.0984,8.5526,63.1776
0,170,train,2.021,37.5,64
0,180,train,2.0916,13.1579,63.375
0,180,train,2.0466,25.0,64
0,190,train,2.0857,10.5263,63.4211
0,190,train,2.0904,0.0,64
0,200,train,2.0918,10.5263,64
0,200,train,2.1416,12.5,64
0,210,train,2.0945,10.5263,63.2763
0,210,train,2.078,0.0,64
0,220,train,2.0723,15.7895,63.0132
0,220,train,2.0448,25.0,64
0,230,train,2.0619,13.1579,63.4737
0,230,train,2.0705,25.0,64
0,240,train,2.0972,13.1579,63.6118
0,240,train,2.0905,25.0,64
0,250,train,2.0855,13.8158,64
0,250,train,2.022,12.5,64
0,260,train,2.0636,19.0789,63.6118
0,260,train,2.0521,12.5,64
0,270,train,2.0886,11.8421,64
0,270,train,2.136,0.0,64
0,280,train,2.0739,12.5,64
0,280,train,2.0792,0.0,64
0,290,train,2.0771,12.5,63.4474
0,290,train,2.1245,12.5,64
0,300,train,2.0756,16.4474,64
0,300,train,2.0231,12.5,64
0,310,train,2.0631,13.8158,63.2961
0,310,train,2.1443,0.0,64
0,320,train,2.0825,17.1053,63.6447
0,320,train,1.9885,37.5,64
0,330,train,2.0865,17.7632,64
0,330,train,2.0881,0.0,64
0,340,train,2.0478,18.4211,64
0,340,train,2.0678,12.5,64
0,350,train,2.0602,17.1053,63.6184
0,350,train,2.0176,12.5,64
0,360,train,1.9805,23.6842,64
0,360,train,2.1872,12.5,64
0,370,train,2.0104,19.0789,64
0,370,train,1.8923,37.5,64
0,380,train,2.0246,16.4474,64
0,380,train,2.0153,25.0,64
0,390,train,2.0039,20.3947,64
0,390,train,2.0418,12.5,64
0,400,train,1.9737,21.7105,63.0066
0,400,train,2.097,12.5,64
0,410,train,1.966,16.4474,62.6053
0,410,train,1.9972,25.0,64
0,420,train,1.935,23.0263,62.1974
0,420,train,1.6423,37.5,59.25
0,430,train,1.8871,28.2895,62.7171
0,430,train,2.0121,12.5,58.875
0,440,train,1.8643,24.3421,62.7632
0,440,train,1.8199,25.0,62.75
0,450,train,1.8982,25.0,62.4145
0,450,train,2.1268,0.0,62.625
0,460,train,1.9056,21.7105,60.625
0,460,train,1.6361,37.5,58.25
0,470,train,1.8472,25.6579,58.8421
0,470,train,2.0581,25.0,64
0,480,train,1.906,18.4211,58.0329
0,480,train,2.4577,12.5,42.375
0,490,train,1.9729,26.3158,42.25
0,490,train,1.5056,37.5,33.875
0,500,train,2.0251,25.0,47.3947
0,500,train,1.8705,50.0,20
0,510,train,1.9179,25.0,41.1053
0,510,train,1.9701,12.5,48.75
0,512,validation,1.9055,24.9,33.395
0,512,validation,1.903,24.84,33.4748
0,520,train,1.8856,23.0263,38.7961
0,520,train,1.92,12.5,18.25
0,530,train,1.8599,30.2632,27.9408
0,530,train,1.4631,50.0,41.5
0,540,train,1.8076,28.9474,28.1579
0,540,train,1.9373,25.0,34.25
0,550,train,1.7579,28.2895,46.4013
0,550,train,1.8561,25.0,64
0,560,train,1.806,29.6053,59.4737
0,560,train,1.9922,0.0,41.625
0,570,train,1.6967,35.5263,60.9145
0,570,train,1.4998,62.5,56.5
0,580,train,1.6709,34.2105,60.1513
0,580,train,1.5336,25.0,64
0,590,train,1.6581,33.5526,60.1842
0,590,train,2.1405,25.0,56.5
0,600,train,1.6004,34.2105,55.625
0,600,train,1.4489,37.5,64
0,610,train,1.4597,45.3947,55.5461
0,610,train,1.4467,37.5,64
0,620,train,1.567,37.5,56.8487
0,620,train,1.7235,50.0,64
0,630,train,1.4163,48.0263,56.1908
0,630,train,1.4404,62.5,56.5
0,640,train,1.5747,38.1579,56.8355
0,640,train,1.628,50.0,64
0,650,train,1.6529,33.5526,56.2434
0,650,train,1.6469,37.5,49.375
0,660,train,1.5376,37.5,61.7368
0,660,train,1.1018,75.0,64
0,670,train,1.4895,41.4474,60.2171
0,670,train,1.0684,87.5,64
0,680,train,1.5836,38.8158,60.5987
0,680,train,1.5407,50.0,56.5
0,690,train,1.5242,41.4474,62.9342
0,690,train,1.4191,62.5,56.5
0,700,train,1.3965,44.0789,61.2763
0,700,train,1.3932,50.0,64
0,710,train,1.3934,42.1053,62.875
0,710,train,1.1147,50.0,64
0,720,train,1.2739,50.0,60.8421
0,720,train,1.096,75.0,64
0,730,train,1.3455,48.0263,59.3421
0,730,train,1.1905,62.5,56.5
0,740,train,1.4981,38.1579,62.1053
0,740,train,1.8626,12.5,57.5
0,750,train,1.3049,47.3684,61.875
0,750,train,1.1398,50.0,64
0,760,train,1.4183,42.1053,61.4342
0,760,train,1.6967,37.5,58.625
0,770,train,1.2944,49.3421,62.1842
0,770,train,1.0518,87.5,64
0,780,train,1.3115,57.8947,63.4079
0,780,train,1.1656,62.5,64
0,790,train,1.2872,54.6053,63.2105
0,790,train,0.8503,87.5,64
0,800,train,1.365,47.3684,60.5
0,800,train,0.8836,50.0,64
0,810,train,1.2408,48.6842,59.5724
0,810,train,2.06,12.5,50.75
0,820,train,1.2976,50.0,60.1974
0,820,train,0.9471,75.0,56.75
0,830,train,1.1904,55.2632,58.375
0,830,train,1.1715,62.5,57.375
0,840,train,1.2876,48.0263,60.7105
0,840,train,0.9335,87.5,64
0,850,train,1.243,54.6053,57.0658
0,850,train,1.7709,25.0,64
0,860,train,1.4412,40.7895,51.4868
0,860,train,0.8163,75.0,64
0,870,train,1.1723,51.3158,57.7237
0,870,train,0.9637,62.5,51.875
0,880,train,1.1947,53.2895,56.4605
0,880,train,1.0042,50.0,64
0,890,train,1.0798,65.1316,59.1776
0,890,train,1.1129,62.5,49.125
0,900,train,1.2313,52.6316,55.7961
0,900,train,1.1783,75.0,49.5
0,910,train,1.1755,59.2105,59.8289
0,910,train,0.6342,75.0,64
0,920,train,1.2093,51.3158,60.2171
0,920,train,1.0398,50.0,57.875
0,930,train,1.0869,61.1842,61.6776
