mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.3707,12.74,33.7326
train,0,10,2.2491,13.75,33.7156
train,0,20,2.1668,14.6875,45.6125
train,0,30,2.118,12.8125,53.9031
train,0,40,2.1399,11.25,59.2062
train,0,50,2.0912,13.75,60.3031
train,0,60,2.1014,11.25,61.4281
train,0,70,2.0839,12.8125,61.925
train,0,80,2.0823,15.0,62.1281
train,0,90,2.1089,10.3125,61.4562
train,0,100,2.0936,14.0625,59.9094
train,0,110,2.0554,16.875,59.8813
train,0,120,2.0941,11.875,61.1125
train,0,130,2.0605,13.75,59.8906
train,0,140,2.0687,10.9375,59.5844
train,0,150,2.0682,11.25,59.8594
train,0,160,2.0675,12.1875,60.2938
train,0,170,2.0452,13.125,57.1125
train,0,180,2.016,16.25,55.0344
train,0,190,2.0382,10.3125,55.5969
train,0,200,2.0419,10.625,51.6031
train,0,210,2.0207,15.0,56.5375
train,0,220,2.0459,14.0625,59.3687
train,0,230,2.0458,10.3125,57.3281
train,0,240,2.0253,12.5,58.4438
train,0,250,2.0335,12.8125,56.1562
train,0,260,2.0527,11.875,54.3219
train,0,270,2.0108,14.6875,59.0844
train,0,280,2.0733,12.1875,63.3656
train,0,290,2.0525,11.5625,62.8687
train,0,300,2.0763,10.3125,63.4031
train,0,310,2.0293,14.0625,62.3281
train,0,320,1.9755,15.0,60.5344
train,0,330,1.9884,14.375,61.1094
train,0,340,1.9542,15.3125,52.1219
train,0,350,2.0248,13.75,54.2656
train,0,360,2.006,14.375,58.8469
train,0,370,2.0312,14.375,61.5562
train,0,380,2.0134,15.9375,60.8687
train,0,390,2.0169,15.625,60.2156
train,0,400,2.0536,13.75,62.2313
train,0,410,1.999,17.5,60.9844
train,0,420,2.0109,14.0625,60.9156
train,0,430,1.9479,17.8125,59.7344
train,0,440,2.0706,13.4375,55.6187
train,0,450,1.9853,14.375,60.8656
train,0,460,2.0004,16.25,62.4375
train,0,470,1.9775,16.25,60.175
train,0,480,1.9567,16.875,57.5781
train,0,490,1.9321,18.75,57.0469
train,0,500,1.9347,18.125,60.375
train,0,510,1.9244,18.75,56.4469
validation,0,512,1.9439,17.72,50.399
train,0,520,2.0005,14.6875,47.3406
train,0,530,1.94,15.9375,52.875
train,0,540,1.9347,16.5625,54.8281
train,0,550,1.8795,23.75,52.5656
train,0,560,1.9055,21.875,55.1156
train,0,570,1.9873,18.75,60.6906
train,0,580,1.9302,22.8125,53.7094
train,0,590,1.9178,19.0625,47.9562
train,0,600,1.9087,21.875,51.2938
train,0,610,1.9221,19.375,54.1094
train,0,620,1.9176,22.1875,58.8719
train,0,630,1.9157,23.4375,59.4
train,0,640,1.9048,18.75,54.3438
train,0,650,1.9032,20.0,50.925
train,0,660,1.8885,21.875,51.5312
train,0,670,1.8055,25.0,49.0094
train,0,680,1.8353,23.4375,49.1719
train,0,690,1.8178,27.1875,51.1969
train,0,700,1.8365,27.1875,50.6812
train,0,710,1.8305,26.875,48.1125
train,0,720,1.8332,29.0625,36.4312
train,0,730,1.8235,27.1875,34.9438
train,0,740,1.8463,23.75,35.7938
train,0,750,1.8061,27.8125,43.625
train,0,760,1.8276,27.8125,40.8281
train,0,770,1.9091,26.25,36.7969
train,0,780,1.8796,25.0,42.8062
train,0,790,1.8417,28.75,43.9
train,0,800,1.8287,27.8125,49.4156
train,0,810,1.8411,25.9375,49.8281
train,0,820,1.8252,26.25,47.4406
train,0,830,1.8018,33.125,44.2125
train,0,840,1.7933,28.4375,47.6281
train,0,850,1.7651,27.5,48.6187
train,0,860,1.8403,30.3125,51.0656
train,0,870,1.7883,27.8125,53.4188
train,0,880,1.7217,31.25,51.4438
train,0,890,1.7372,29.0625,48.1719
train,0,900,1.7083,33.4375,49.7875
train,0,910,1.8863,26.5625,58.5656
train,0,920,1.9812,24.375,62.3281
train,0,930,1.8545,29.6875,63.6
train,0,940,1.8061,26.5625,63.6531
train,0,950,1.7508,31.875,62.4531
train,0,960,1.8103,29.6875,62.1187
train,0,970,1.7671,31.5625,62.0812
train,0,980,1.7381,31.25,59.8687
train,0,990,1.6906,29.6875,60.6719
train,0,1000,1.7092,32.1875,60.2281
train,0,1010,1.6635,34.0625,59.2812
train,0,1020,1.6251,33.4375,58.3344
validation,0,1024,1.6289,37.7,60.1564
train,0,1030,1.66,37.5,56.925
train,0,1040,1.6547,37.5,52.4375
train,0,1050,1.6136,35.9375,51.075
train,0,1060,1.7147,30.9375,45.8156
train,0,1070,1.5746,39.0625,43.5875
train,0,1080,1.646,33.4375,53.8969
train,0,1090,1.5347,41.25,56.0187
train,0,1100,1.5741,39.375,54.725
train,0,1110,1.5742,42.5,53.0219
train,0,1120,1.5843,38.75,51.275
train,0,1130,1.5286,42.1875,51.2344
train,0,1140,1.5062,39.0625,48.2344
train,0,1150,1.5002,41.875,48.5344
train,0,1160,1.5407,41.25,51.0
train,0,1170,1.4751,42.5,52.7313
train,0,1180,1.5127,43.125,53.3687
train,0,1190,1.5098,40.625,54.2594
train,0,1200,1.42,43.75,54.6156
train,0,1210,1.4126,43.125,53.625
train,0,1220,1.4823,41.875,52.9625
train,0,1230,1.3915,48.75,53.0562
train,0,1240,1.3323,51.5625,56.0344
train,0,1250,1.3889,46.875,52.9375
train,0,1260,1.3602,46.5625,49.9969
train,0,1270,1.3363,46.875,51.7625
train,0,1280,1.3454,47.5,47.1406
train,0,1290,1.366,45.625,48.1344
train,0,1300,1.2972,50.9375,49.2687
train,0,1310,1.17,56.875,52.1281
train,0,1320,1.2958,50.625,56.9125
train,0,1330,1.2583,48.75,56.3312
train,0,1340,1.3363,45.3125,54.7156
train,0,1350,1.3729,48.75,54.0844
train,0,1360,1.2358,56.875,53.2094
train,0,1370,1.2545,53.75,50.1938
train,0,1380,1.3467,47.5,45.4344
train,0,1390,1.2005,51.875,40.7906
train,0,1400,1.2743,49.6875,39.1219
train,0,1410,1.215,54.0625,38.5531
train,0,1420,1.2125,52.8125,43.3094
train,0,1430,1.1596,55.9375,48.3406
train,0,1440,1.1814,55.9375,43.6469
train,0,1450,1.3389,50.0,45.5438
train,0,1460,1.2514,50.625,40.7969
train,0,1470,1.147,60.625,41.7687
train,0,1480,1.2146,56.5625,41.6875
train,0,1490,1.1552,56.25,40.5812
train,0,1500,1.1387,58.4375,47.5688
train,0,1510,1.1982,53.75,56.4562
train,0,1520,1.2026,53.75,62.1187
train,0,1530,1.1261,58.4375,63.1219
validation,0,1536,1.1208,59.14,63.8476
train,0,1540,1.1687,59.375,63.4469
train,0,1550,1.1215,56.5625,63.5469
train,0,1560,1.1251,59.0625,63.6625
train,0,1570,1.0455,63.4375,63.45
train,0,1580,1.0816,58.4375,63.2938
train,0,1590,1.1272,56.5625,63.1313
train,0,1600,1.0887,58.75,63.3438
train,0,1610,1.0428,62.1875,63.0406
train,0,1620,0.9844,64.6875,62.8
train,0,1630,1.0557,59.0625,63.0281
train,0,1640,0.9866,62.1875,62.4219
train,0,1650,1.0003,63.75,62.4969
train,0,1660,1.0188,60.9375,62.6812
train,0,1670,1.0375,61.5625,62.4
train,0,1680,1.0022,62.8125,62.45
train,0,1690,0.9769,64.375,62.7437
train,0,1700,0.9902,63.4375,63.1094
train,0,1710,0.9801,64.375,63.2156
train,0,1720,0.944,66.25,63.0531
train,0,1730,0.8896,68.125,62.5844
train,0,1740,0.8947,66.5625,62.7313
train,0,1750,0.8879,66.5625,62.5031
train,0,1760,0.9155,69.375,61.9188
train,0,1770,0.8273,71.5625,62.4781
train,0,1780,0.9375,64.6875,62.6
train,0,1790,0.9252,65.625,62.1187
train,0,1800,0.8959,65.9375,62.7344
train,0,1810,0.9269,63.75,62.2531
train,0,1820,0.8562,67.1875,61.8719
train,0,1830,0.8418,70.0,62.3125
train,0,1840,0.8675,66.5625,62.2875
train,0,1850,0.8222,69.0625,61.6719
train,0,1860,0.9013,65.625,62.2094
train,0,1870,0.8562,68.125,62.1219
train,0,1880,0.8046,73.4375,62.3719
train,0,1890,0.7929,72.8125,61.0406
train,0,1900,0.8679,67.5,60.4031
train,0,1910,0.8628,63.125,60.0781
train,0,1920,0.8974,68.125,60.2938
train,0,1930,0.8503,67.8125,59.5969
train,0,1940,0.8657,66.5625,60.7938
train,0,1950,0.9098,68.4375,58.4969
train,0,1960,0.8785,64.6875,60.4875
train,0,1970,0.8001,69.0625,59.5375
train,0,1980,0.8629,66.875,58.9625
train,0,1990,0.7088,73.75,56.0531
train,0,2000,0.793,70.625,56.8375
train,0,2010,0.7247,74.6875,56.0844
train,0,2020,0.7648,72.1875,56.6
train,0,2030,0.7377,74.6875,59.0031
train,0,2040,0.801,68.4375,60.6562
validation,0,2048,0.7094,75.82,62.2604
train,0,2050,0.6845,76.5625,61.1063
train,0,2060,0.7797,71.5625,59.5156
train,0,2070,0.7067,75.0,58.3375
train,0,2080,0.7582,70.625,59.3438
train,0,2090,0.6853,76.5625,58.4094
train,0,2100,0.7698,73.75,59.0688
train,0,2110,0.7709,73.4375,58.6156
train,0,2120,0.701,74.6875,57.5438
train,0,2130,0.7125,74.6875,58.2281
train,0,2140,0.723,75.9375,58.1313
train,0,2150,0.6463,75.9375,57.6
train,0,2160,0.7059,74.6875,56.5281
train,0,2170,0.6806,78.125,55.4813
train,0,2180,0.7069,74.0625,53.3937
train,0,2190,0.8551,64.6875,53.4719
train,0,2200,0.7927,69.6875,49.2906
train,0,2210,0.7509,72.8125,47.3219
train,0,2220,0.7288,73.125,48.8188
train,0,2230,0.7601,70.0,51.5844
train,0,2240,0.6831,75.3125,50.2594
train,0,2250,0.6266,79.0625,50.8719
train,0,2260,0.7089,72.1875,52.3906
train,0,2270,0.6668,79.375,52.1406
train,0,2280,0.611,80.625,52.8344
train,0,2290,0.5892,80.625,53.7313
train,0,2300,0.5935,78.125,56.5344
train,0,2310,0.6117,75.625,58.4344
train,0,2320,0.6276,77.8125,57.9719
train,0,2330,0.6131,78.75,58.5281
train,0,2340,0.5689,81.25,56.8844
train,0,2350,0.6749,77.1875,58.3937
train,0,2360,0.6786,76.5625,58.9531
train,0,2370,0.6068,79.0625,59.4656
train,0,2380,0.6421,75.625,60.0594
train,0,2390,0.6952,74.375,58.7563
train,0,2400,0.5653,81.875,60.5906
train,0,2410,0.5897,80.9375,60.85
train,0,2420,0.5913,79.375,60.3125
train,0,2430,0.5803,80.9375,61.0281
train,0,2440,0.6146,78.4375,60.7
train,0,2450,0.6229,77.8125,60.5594
train,0,2460,0.5516,82.1875,60.5625
train,0,2470,0.5556,80.0,59.175
train,0,2480,0.5674,79.6875,58.4312
train,0,2490,0.6362,78.75,57.5625
train,0,2500,0.5446,84.6875,56.7188
train,0,2510,0.5808,82.5,57.0688
train,0,2520,0.5564,82.8125,57.4781
train,0,2530,0.4936,84.0625,55.4094
train,0,2540,0.5378,81.25,54.4219
train,0,2550,0.5727,80.0,56.5875
train,0,2560,0.5657,82.1875,55.6063
validation,0,2560,0.5119,83.96,60.68
train,0,2570,0.5521,82.5,56.7313
train,0,2580,0.587,78.125,55.9969
train,0,2590,0.5724,80.0,57.5312
train,0,2600,0.5701,81.5625,57.9906
train,0,2610,0.5336,79.375,57.4
train,0,2620,0.4863,86.25,59.4469
train,0,2630,0.6123,78.4375,59.8906
train,0,2640,0.5818,77.8125,59.6406
train,0,2650,0.581,79.6875,58.0594
train,0,2660,0.4932,84.6875,57.7156
train,0,2670,0.541,82.8125,57.3094
train,0,2680,0.4976,83.125,54.3312
train,0,2690,0.6195,76.5625,54.1219
train,0,2700,0.6519,75.625,52.3656
train,0,2710,0.5936,76.5625,55.4438
train,0,2720,0.537,82.8125,55.5625
train,0,2730,0.5927,80.3125,55.8188
train,0,2740,0.555,79.6875,58.8969
train,0,2750,0.5025,85.0,58.3875
train,0,2760,0.4486,88.75,57.9406
train,0,2770,0.5142,82.1875,57.4875
train,0,2780,0.5141,80.9375,57.4438
train,0,2790,0.4942,84.6875,57.9406
train,0,2800,0.4482,83.4375,58.3375
train,0,2810,0.4456,85.0,59.1313
train,0,2820,0.5368,82.1875,57.9
train,0,2830,0.4255,86.25,54.55
train,0,2840,0.4995,83.75,55.1875
train,0,2850,0.5256,83.75,56.5
train,0,2860,0.4806,84.0625,56.0719
train,0,2870,0.4616,85.0,58.0344
train,0,2880,0.5,82.5,57.2
train,0,2890,0.4588,85.0,57.0719
train,0,2900,0.5058,82.5,56.0781
train,0,2910,0.5276,79.6875,53.525
train,0,2920,0.4403,85.9375,55.1938
train,0,2930,0.7508,73.75,58.4781
train,0,2940,1.4367,45.3125,62.4562
train,0,2950,2.24,14.6875,63.75
train,0,2960,2.1516,12.5,64
train,0,2970,2.1647,11.5625,64
train,0,2980,2.0494,17.5,64
train,0,2990,2.089,14.375,63.8719
train,0,3000,2.1039,11.875,64
train,0,3010,2.1165,9.375,64
train,0,3020,2.1005,12.5,64
train,0,3030,2.0848,12.5,64
train,0,3040,2.1086,12.5,64
train,0,3050,2.0798,14.375,64
train,0,3060,2.0956,12.1875,64
train,0,3070,2.0779,14.6875,64
validation,0,3072,2.0832,14.06,64
train,0,3080,2.1107,13.4375,64
train,0,3090,2.0796,12.8125,64
train,0,3100,2.0898,13.4375,64
train,0,3110,2.0922,7.8125,64
train,0,3120,2.0734,14.375,64
train,0,3130,2.1184,13.4375,64
train,0,3140,2.0992,10.3125,64
train,0,3150,2.086,15.0,64
train,0,3160,2.094,12.8125,64
train,0,3170,2.0953,15.3125,64
train,0,3180,2.0909,14.6875,64
train,0,3190,2.08,16.25,64
train,0,3200,2.0916,9.375,64
train,0,3210,2.0816,13.125,64
train,0,3220,2.0784,15.9375,64
train,1,3230,2.0753,13.4375,64
train,1,3240,2.0713,15.625,64
train,1,3250,2.0752,15.625,64
train,1,3260,2.0741,13.125,64
train,1,3270,2.0869,15.0,64
train,1,3280,2.0582,15.3125,64
train,1,3290,2.0705,16.875,64
train,1,3300,2.0668,15.3125,64
train,1,3310,2.0677,12.1875,64
train,1,3320,2.0699,12.1875,64
train,1,3330,2.055,16.875,64
train,1,3340,2.039,18.4375,64
train,1,3350,2.0531,15.9375,64
train,1,3360,2.0023,20.9375,64
train,1,3370,2.0364,18.4375,64
train,1,3380,1.9644,23.125,64
train,1,3390,1.9775,23.75,64
train,1,3400,1.9724,18.4375,64
train,1,3410,1.9364,22.5,64
train,1,3420,1.8633,26.25,64
train,1,3430,1.8861,23.4375,64
train,1,3440,1.8237,29.375,64
train,1,3450,1.8263,30.0,64
train,1,3460,1.7873,27.8125,64
train,1,3470,1.768,29.6875,64
train,1,3480,1.708,31.5625,64
train,1,3490,1.642,36.875,64
train,1,3500,1.6756,30.625,64
train,1,3510,1.7805,27.1875,64
train,1,3520,1.7418,31.875,64
train,1,3530,1.7175,32.1875,64
train,1,3540,1.6035,31.5625,64
train,1,3550,1.6377,30.9375,64
train,1,3560,1.6544,34.375,64
train,1,3570,1.5939,35.625,64
train,1,3580,1.5629,38.75,64
validation,1,3584,1.4496,43.66,64
train,1,3590,1.6417,39.0625,64
train,1,3600,1.6019,37.8125,64
train,1,3610,1.4329,45.625,64
train,1,3620,1.3274,49.6875,64
train,1,3630,1.3305,51.5625,64
train,1,3640,1.3687,45.625,64
train,1,3650,1.2796,50.9375,64
train,1,3660,1.296,47.8125,64
train,1,3670,1.2459,50.9375,64
train,1,3680,1.268,50.3125,64
train,1,3690,1.1768,50.625,63.8969
train,1,3700,1.2555,50.625,63.9125
train,1,3710,1.2093,51.875,64
train,1,3720,1.1139,55.0,64
train,1,3730,1.2004,53.75,64
train,1,3740,1.2641,51.25,64
train,1,3750,1.2321,52.8125,64
train,1,3760,1.1753,52.8125,63.9594
train,1,3770,1.1646,49.0625,63.9344
train,1,3780,1.3848,48.4375,64
train,1,3790,1.2063,51.25,63.95
train,1,3800,1.1823,54.0625,63.9719
train,1,3810,1.1078,54.6875,64
train,1,3820,1.1632,49.6875,63.9406
train,1,3830,1.0879,56.5625,63.9781
train,1,3840,1.1443,54.0625,63.8719
train,1,3850,1.1927,54.375,64
train,1,3860,1.1241,52.8125,64
train,1,3870,1.1349,55.0,63.9562
train,1,3880,1.124,52.8125,64
train,1,3890,1.1223,55.9375,64
train,1,3900,1.0783,57.1875,64
train,1,3910,1.0741,59.375,63.9281
train,1,3920,1.0827,56.875,64
train,1,3930,1.0253,60.3125,64
train,1,3940,1.117,55.0,64
train,1,3950,1.1031,59.0625,64
train,1,3960,1.1336,51.875,64
train,1,3970,1.0715,55.625,64
train,1,3980,1.0957,56.25,64
train,1,3990,1.0582,59.6875,64
train,1,4000,1.1337,54.0625,64
train,1,4010,1.0081,60.625,64
train,1,4020,1.0033,62.1875,64
train,1,4030,0.9837,61.5625,64
train,1,4040,0.9812,62.8125,64
train,1,4050,1.0635,58.4375,64
train,1,4060,1.0521,58.75,64
train,1,4070,0.9743,64.375,64
train,1,4080,1.0178,60.0,63.8937
train,1,4090,1.1244,57.1875,64
validation,1,4096,1.0022,59.7,64
train,1,4100,1.1339,53.75,64
train,1,4110,0.99,62.1875,64
train,1,4120,1.0602,57.5,64
train,1,4130,1.0003,60.3125,64
train,1,4140,1.0186,57.8125,64
train,1,4150,0.9838,63.4375,64
train,1,4160,1.0058,57.8125,64
train,1,4170,0.9465,62.1875,64
train,1,4180,0.9373,63.75,63.9156
train,1,4190,1.0228,60.625,64
train,1,4200,0.9349,65.0,64
train,1,4210,1.0493,58.75,64
train,1,4220,1.0043,65.0,64
train,1,4230,0.9425,63.4375,64
train,1,4240,1.0374,58.125,64
train,1,4250,1.0111,58.4375,64
train,1,4260,0.9586,63.75,64
train,1,4270,0.9818,59.6875,64
train,1,4280,0.9612,63.75,64
train,1,4290,1.0074,57.8125,64
train,1,4300,1.0177,57.1875,64
train,1,4310,1.015,57.5,64
train,1,4320,1.0307,58.75,64
train,1,4330,0.9937,62.5,64
train,1,4340,1.0192,59.6875,64
train,1,4350,0.9834,63.75,64
train,1,4360,0.9316,63.4375,64
train,1,4370,0.9258,63.4375,64
train,1,4380,1.008,59.6875,63.8469
train,1,4390,1.0722,58.125,64
train,1,4400,0.9653,63.125,64
train,1,4410,0.9369,62.8125,64
train,1,4420,0.9398,62.5,64
train,1,4430,0.9383,62.5,64
train,1,4440,0.8474,67.8125,64
train,1,4450,0.955,63.4375,64
train,1,4460,0.941,61.25,64
train,1,4470,0.8653,66.25,64
train,1,4480,1.0173,59.375,64
train,1,4490,0.9469,62.5,64
train,1,4500,0.9862,58.4375,64
train,1,4510,1.0272,60.625,64
train,1,4520,0.9428,63.125,64
train,1,4530,0.8841,65.3125,64
train,1,4540,1.043,60.3125,64
train,1,4550,0.9066,63.125,63.9969
train,1,4560,0.9103,64.375,64
train,1,4570,0.8827,65.9375,64
train,1,4580,0.8797,64.375,64
train,1,4590,0.8453,69.0625,63.9594
train,1,4600,0.9198,64.375,64
validation,1,4608,0.8883,66.3,64
train,1,4610,0.8896,65.0,64
train,1,4620,0.9543,64.375,64
train,1,4630,0.9789,61.5625,63.9562
train,1,4640,0.9671,61.875,64
train,1,4650,0.9239,61.25,64
train,1,4660,0.8966,64.375,64
train,1,4670,0.8938,64.375,64
train,1,4680,0.8781,63.75,64
train,1,4690,0.93,62.5,64
train,1,4700,0.8878,66.25,64
train,1,4710,0.8332,67.1875,64
train,1,4720,0.9223,64.6875,64
train,1,4730,0.8981,63.4375,64
train,1,4740,0.8687,66.875,64
train,1,4750,0.8346,67.1875,64
train,1,4760,0.8518,67.5,64
train,1,4770,0.9284,62.1875,64
train,1,4780,0.9332,62.1875,64
train,1,4790,0.9446,62.8125,64
train,1,4800,0.9891,59.6875,64
train,1,4810,0.8423,67.8125,64
train,1,4820,0.9219,62.5,64
train,1,4830,0.8888,64.375,64
train,1,4840,0.9507,63.125,64
train,1,4850,0.8818,66.25,64
train,1,4860,0.8749,70.625,64
train,1,4870,0.906,65.625,64
train,1,4880,0.9152,62.1875,64
train,1,4890,0.9497,63.125,64
train,1,4900,0.8568,66.875,64
train,1,4910,0.9101,63.125,64
train,1,4920,0.8616,65.3125,64
train,1,4930,0.8872,65.625,64
train,1,4940,0.9217,62.1875,64
train,1,4950,0.8349,66.5625,64
train,1,4960,0.8648,68.125,64
train,1,4970,0.8621,65.0,64
train,1,4980,0.9146,63.4375,64
train,1,4990,0.8517,69.375,64
train,1,5000,0.8797,66.25,64
train,1,5010,0.866,67.1875,64
train,1,5020,0.9172,62.1875,64
train,1,5030,0.7819,72.5,64
train,1,5040,0.8563,69.0625,64
train,1,5050,0.81,71.25,64
train,1,5060,0.9287,65.625,64
train,1,5070,0.8614,68.125,64
train,1,5080,0.8771,65.0,64
train,1,5090,0.8512,67.1875,64
train,1,5100,0.7811,69.375,64
train,1,5110,0.8834,67.5,64
train,1,5120,0.7933,70.9375,64
validation,1,5120,0.9217,64.94,64
train,1,5130,0.8236,64.375,64
train,1,5140,0.8957,67.5,64
train,1,5150,0.7989,72.5,64
train,1,5160,0.8529,65.625,64
train,1,5170,0.8087,69.0625,64
train,1,5180,0.8184,65.625,64
train,1,5190,0.8667,66.25,64
train,1,5200,0.766,73.4375,64
train,1,5210,0.8333,64.6875,64
train,1,5220,0.8531,69.375,64
train,1,5230,0.7865,69.375,64
train,1,5240,0.8822,63.125,64
train,1,5250,0.9517,58.125,64
train,1,5260,0.8725,65.3125,64
train,1,5270,0.8417,66.25,64
train,1,5280,0.9557,62.1875,64
train,1,5290,0.8231,69.0625,64
train,1,5300,0.7328,71.875,64
train,1,5310,0.812,71.25,64
train,1,5320,0.783,72.1875,64
train,1,5330,0.8965,66.25,64
train,1,5340,0.8873,66.25,64
train,1,5350,0.925,65.0,64
train,1,5360,0.7973,70.0,64
