epoch,global step,mode,loss,accuracy,mean_length
0,0,validation,2.3707,12.74,33.7326
0,10,train,2.1905,15.3125,47.5281
0,20,train,2.0935,14.6875,57.1125
0,30,train,2.1061,13.4375,51.9656
0,40,train,2.0888,13.125,56.05
0,50,train,2.0555,12.5,59.0562
0,60,train,2.0746,14.0625,62.5562
0,70,train,2.0673,13.4375,63.4688
0,80,train,2.0398,16.5625,64
0,90,train,2.0698,11.25,63.8781
0,100,train,2.0486,13.4375,64
0,110,train,2.0393,13.75,63.9875
0,120,train,2.0686,12.8125,64
0,130,train,2.0466,14.0625,63.7469
0,140,train,2.0371,13.4375,63.2625
0,150,train,2.0386,11.5625,63.6125
0,160,train,2.0276,16.5625,63.3188
0,170,train,2.0324,17.5,61.6938
0,180,train,1.959,16.5625,61.525
0,190,train,1.9907,14.6875,62.9562
0,200,train,1.97,19.0625,63.3687
0,210,train,1.9622,18.125,63.5281
0,220,train,2.0406,13.4375,63.725
0,230,train,2.042,13.75,63.8906
0,240,train,2.0302,20.625,63.8094
0,250,train,1.9983,15.9375,63.2406
0,260,train,1.981,16.875,62.1344
0,270,train,1.9355,20.9375,60.8687
0,280,train,1.9946,16.875,58.0906
0,290,train,1.9578,18.75,60.7
0,300,train,1.9861,15.0,59.3188
0,310,train,1.9057,25.625,51.0625
0,320,train,1.8709,28.4375,48.4844
0,330,train,1.8762,24.6875,41.7563
0,340,train,1.8425,28.75,63.2719
0,350,train,1.8477,26.875,64
0,360,train,1.7689,30.9375,64
0,370,train,1.7481,35.0,64
0,380,train,1.7568,33.4375,64
0,390,train,1.7338,35.625,63.9188
0,400,train,1.7387,31.5625,63.9719
0,410,train,1.591,40.9375,63.9531
0,420,train,1.6361,39.0625,64
0,430,train,1.6189,38.125,64
0,440,train,1.5965,36.875,64
0,450,train,1.4983,44.375,64
0,460,train,1.469,46.5625,63.9062
0,470,train,1.4632,46.875,64
0,480,train,1.3829,46.875,64
0,490,train,1.3599,47.8125,64
0,500,train,1.3305,48.125,64
0,510,train,1.2624,55.3125,64
0,512,validation,1.3009,50.38,64
0,520,train,1.3099,47.8125,64
0,530,train,1.4117,46.5625,64
0,540,train,1.3337,49.0625,64
0,550,train,1.2157,55.3125,63.8813
0,560,train,1.2216,55.0,64
0,570,train,1.2828,53.75,63.85
0,580,train,1.2646,53.125,64
0,590,train,1.249,50.9375,64
0,600,train,1.1366,60.9375,64
0,610,train,1.2328,53.125,63.9125
0,620,train,1.12,60.3125,64
0,630,train,1.2343,52.5,64
0,640,train,1.2103,57.1875,63.8281
0,650,train,1.1539,60.3125,63.3563
0,660,train,1.1702,55.9375,63.1187
0,670,train,1.0992,60.3125,63.2344
0,680,train,1.05,60.9375,63.7219
0,690,train,1.0972,61.25,57.2281
0,700,train,1.0554,61.25,54.25
0,710,train,1.1288,58.4375,53.4375
0,720,train,1.0653,59.6875,51.5625
0,730,train,1.0383,62.1875,52.6594
