epoch,global step,mode,loss,accuracy,mean_length
0,0,validation,2.7472,12.48,48.111
0,10,train,2.4533,13.75,48.6562
0,20,train,2.1552,11.5625,38.3062
0,30,train,2.1116,11.25,34.5562
0,40,train,2.0868,15.9375,40.625
0,50,train,2.0779,18.4375,43.7719
0,60,train,2.086,12.5,37.8687
0,70,train,2.0863,16.5625,30.7312
0,80,train,2.09,15.625,20.5688
0,90,train,2.1384,11.5625,6.5875
0,100,train,2.1897,10.9375,4.4437
0,110,train,2.0957,12.5,16.3625
0,120,train,2.0836,13.4375,61.7094
0,130,train,2.0851,12.1875,64
0,140,train,2.0902,14.6875,64
0,150,train,2.0904,12.8125,64
0,160,train,2.0949,11.875,64
0,170,train,2.0835,12.5,64
0,180,train,2.0801,12.5,64
0,190,train,2.0867,10.3125,64
0,200,train,2.0792,14.375,64
0,210,train,2.0805,13.75,64
0,220,train,2.0876,11.875,64
0,230,train,2.0862,13.4375,64
0,240,train,2.0879,10.0,64
0,250,train,2.0902,13.75,64
0,260,train,2.0842,12.1875,64
0,270,train,2.0833,12.8125,64
0,280,train,2.084,10.625,64
0,290,train,2.0803,10.0,64
0,300,train,2.0779,12.8125,64
0,310,train,2.0778,10.3125,64
0,320,train,2.0715,13.125,64
0,330,train,2.0502,12.1875,64
0,340,train,2.0846,12.8125,64
0,350,train,2.0466,14.0625,64
0,360,train,1.9985,15.0,64
0,370,train,2.0047,10.625,64
0,380,train,1.9768,14.6875,64
0,390,train,2.0349,12.1875,64
0,400,train,2.0329,11.875,64
0,410,train,2.0081,16.25,64
0,420,train,2.0034,12.5,64
0,430,train,2.0648,15.625,64
0,440,train,2.0683,12.8125,64
0,450,train,2.0779,14.375,64
0,460,train,2.0783,11.875,64
0,470,train,2.081,10.9375,64
0,480,train,2.0767,15.625,64
0,490,train,2.0745,10.9375,64
0,500,train,2.0787,9.0625,64
0,510,train,2.0757,15.9375,64
0,512,validation,2.0798,12.74,64
0,520,train,2.0801,14.6875,64
0,530,train,2.0778,14.0625,64
0,540,train,2.0762,13.4375,64
0,550,train,2.0867,10.9375,64
0,560,train,2.0767,14.375,64
0,570,train,2.0784,11.875,64
0,580,train,2.0887,11.25,64
0,590,train,2.0801,9.6875,64
0,600,train,2.0828,11.25,64
0,610,train,2.0797,11.5625,64
0,620,train,2.079,13.75,64
0,630,train,2.0798,13.4375,64
0,640,train,2.0785,13.125,64
0,650,train,2.0769,15.9375,64
0,660,train,2.0882,9.375,64
0,670,train,2.0813,14.6875,64
0,680,train,2.0828,10.625,64
0,690,train,2.0821,10.625,64
0,700,train,2.0845,12.1875,64
0,710,train,2.0847,11.5625,64
0,720,train,2.0845,10.9375,64
0,730,train,2.0817,10.0,64
0,740,train,2.0816,11.25,64
0,750,train,2.0827,11.5625,64
0,760,train,2.0796,11.25,64
0,770,train,2.0787,13.4375,64
0,780,train,2.0783,10.9375,64
0,790,train,2.0802,14.6875,64
0,800,train,2.0783,13.4375,64
0,810,train,2.086,11.5625,64
0,820,train,2.08,11.5625,64
0,830,train,2.0781,13.125,64
0,840,train,2.0815,12.5,64
