mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.6079,12.54,44.5056
train,0,32,2.4667,10.5469,47.6523
train,0,64,2.1806,12.5,56.0039
train,0,96,2.1137,10.1562,60.9453
train,0,128,2.0797,15.625,62.168
train,0,160,2.0827,11.7188,62.6445
train,0,192,2.0925,11.3281,63.1406
train,0,224,2.0736,12.8906,63.7031
train,0,256,2.0558,12.5,62.5117
train,0,288,2.0558,14.4531,62.9297
train,0,320,2.0633,11.7188,63.9609
train,0,352,2.0465,16.0156,63.918
train,0,384,2.0434,17.1875,63.6133
train,0,416,2.0256,14.8438,63.8008
train,0,448,2.0067,18.3594,63.8984
train,0,480,2.0014,14.0625,64
train,0,512,2.0255,14.0625,64
validation,0,512,1.9879,14.12,63.7366
train,0,544,1.995,14.0625,63.8164
train,0,576,1.9575,14.4531,64
train,0,608,1.9972,12.8906,64
train,0,640,1.9104,17.5781,64
train,0,672,1.9452,18.3594,64
train,0,704,1.969,17.1875,64
train,0,736,1.9603,22.2656,64
train,0,768,1.8844,22.2656,64
train,0,800,1.8573,22.2656,64
train,0,832,1.8652,23.4375,64
train,0,864,1.8122,28.125,64
train,0,896,1.7042,32.8125,64
train,0,928,1.7428,29.6875,64
train,0,960,1.7474,29.2969,64
train,0,992,1.6423,36.3281,64
train,0,1024,1.5676,39.0625,64
validation,0,1024,1.5852,43.56,63.9824
train,0,1056,1.5592,44.1406,64
train,0,1088,1.5408,40.625,64
train,0,1120,1.4603,42.9688,64
train,0,1152,1.2958,50.0,64
train,0,1184,1.34,47.2656,64
train,0,1216,1.2861,53.9062,64
train,0,1248,1.3428,48.4375,64
train,0,1280,1.2054,55.4688,64
train,0,1312,1.3362,50.0,64
train,0,1344,1.2318,54.2969,64
train,0,1376,1.2166,53.125,64
train,0,1408,1.1806,56.25,64
train,0,1440,1.1462,57.8125,64
train,0,1472,1.0775,61.7188,64
train,0,1504,1.0401,58.5938,64
train,0,1536,0.9981,63.6719,64
validation,0,1536,0.9513,66.4,64
train,0,1568,0.9987,61.7188,64
train,0,1600,0.9788,65.625,64
train,0,1632,0.9758,60.9375,64
train,0,1664,1.0627,64.0625,64
train,0,1696,0.7777,71.0938,64
train,0,1728,0.8094,69.9219,64
train,0,1760,0.8797,66.0156,64
train,0,1792,0.7364,73.4375,64
train,0,1824,0.8534,67.1875,64
train,0,1856,0.8063,69.5312,64
train,0,1888,0.8222,64.4531,64
train,0,1920,0.8287,70.3125,64
train,0,1952,0.722,75.0,64
train,0,1984,0.8386,67.5781,64
train,0,2016,0.704,72.6562,64
train,0,2048,0.6707,75.3906,64
validation,0,2048,0.6885,77.78,63.9894
train,0,2080,0.6825,78.9062,64
train,0,2112,0.6535,76.1719,64
train,0,2144,0.6411,78.5156,64
train,0,2176,0.7208,74.6094,64
train,0,2208,0.7274,73.0469,63.8672
train,0,2240,0.6273,78.5156,64
train,0,2272,0.6937,75.0,63.793
train,0,2304,0.6313,78.9062,64
train,0,2336,0.6341,77.3438,64
train,0,2368,0.5922,82.4219,64
train,0,2400,0.5442,81.6406,64
