mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.3707,12.74,33.7326
train,0,10,2.135,15.625,52.3625
train,0,20,2.0728,15.625,62.9469
train,0,30,2.1088,12.5,63.8563
train,0,40,2.0913,12.5,63.1531
train,0,50,2.0509,12.8125,56.4562
train,0,60,2.057,13.75,47.95
train,0,70,2.0273,13.125,40.4344
train,0,80,2.0242,16.25,54.0875
train,0,90,2.0844,12.5,64
train,0,100,2.0421,13.125,64
train,0,110,2.0489,13.75,64
train,0,120,2.087,11.875,64
train,0,130,2.0747,13.4375,64
train,0,140,2.0665,14.0625,64
train,0,150,2.0431,12.8125,64
train,0,160,2.0606,16.875,64
train,0,170,2.0777,15.3125,64
train,0,180,2.075,13.4375,64
train,0,190,2.0376,11.875,64
train,0,200,1.9805,16.25,64
train,0,210,1.9972,20.0,63.4719
train,0,220,2.0787,14.0625,63.8375
train,0,230,2.0866,10.3125,63.8406
train,0,240,2.0831,10.625,64
train,0,250,2.0822,11.25,63.8375
train,0,260,2.089,10.625,64
train,0,270,2.081,15.625,64
train,0,280,2.0839,10.3125,64
train,0,290,2.0824,11.25,64
train,0,300,2.0931,9.0625,64
train,0,310,2.0846,11.5625,64
train,0,320,2.0764,18.125,64
train,0,330,2.0809,13.125,64
train,0,340,2.0792,12.5,63.9562
train,0,350,2.0768,12.8125,64
train,0,360,2.0741,14.0625,64
train,0,370,2.0709,11.875,64
train,0,380,2.0741,14.375,64
train,0,390,2.0796,16.25,64
train,0,400,2.0869,13.75,64
train,0,410,2.0812,11.25,64
train,0,420,2.079,11.5625,64
train,0,430,2.0707,17.1875,64
train,0,440,2.0804,11.25,64
train,0,450,2.0756,11.25,64
train,0,460,2.0774,15.0,64
train,0,470,2.0662,12.5,64
train,0,480,2.0777,12.5,64
train,0,490,2.0693,12.1875,64
train,0,500,2.0748,14.6875,64
train,0,510,2.076,12.8125,64
validation,0,512,2.0735,13.26,64
train,0,520,2.0677,12.5,64
train,0,530,2.0735,10.3125,64
train,0,540,2.0734,13.4375,64
train,0,550,2.0732,11.875,64
train,0,560,2.0587,12.5,64
train,0,570,2.0665,13.4375,64
train,0,580,2.04,13.125,64
train,0,590,2.047,14.375,64
train,0,600,2.0574,13.4375,64
train,0,610,2.0616,13.75,64
train,0,620,1.983,15.3125,64
train,0,630,2.0022,17.8125,64
