mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.428,12.52,61.3902
train,0,32,2.2375,13.7695,56.0439
train,0,64,2.1077,13.2812,62.2627
train,0,96,2.086,13.6719,53.9609
train,0,128,2.0982,12.793,23.8125
train,0,160,2.0755,13.8672,41.71
train,0,192,2.0504,14.0625,39.0498
train,0,224,2.0329,12.8906,48.1025
train,0,256,2.0047,12.8906,56.2842
train,0,288,2.0466,12.5,63.6719
train,0,320,2.0655,12.793,64
train,0,352,1.9733,15.0391,64
train,0,384,1.9671,14.0625,63.9932
train,0,416,1.9666,13.4766,63.9561
train,0,448,2.0,12.5977,63.999
train,0,480,1.9626,14.5508,63.9902
train,0,512,1.9411,13.4766,64
validation,0,512,1.9303,16.42,64
train,0,544,1.9111,16.3086,64
train,0,576,1.9197,16.2109,64
train,0,608,1.9403,16.9922,64
train,0,640,1.8833,21.4844,64
train,0,672,1.9067,20.5078,64
train,0,704,1.8815,21.0938,64
train,0,736,1.847,25.8789,64
train,0,768,1.8772,25.5859,64
train,0,800,1.899,25.9766,64
train,0,832,1.7751,33.6914,64
train,0,864,1.7744,30.2734,64
train,0,896,1.7581,29.4922,64
train,0,928,1.6472,38.4766,64
train,0,960,1.5676,41.0156,64
train,0,992,1.532,42.6758,63.7637
train,0,1024,1.4091,48.7305,59.042
validation,0,1024,1.5168,47.08,50.6868
train,0,1056,1.5342,42.3828,46.3789
train,0,1088,1.3842,49.6094,49.3623
train,0,1120,1.1924,56.25,58.0537
train,0,1152,1.182,55.8594,63.5791
train,0,1184,1.1667,54.8828,64
train,0,1216,1.0751,60.9375,63.9854
train,0,1248,0.9213,66.3086,63.9463
train,0,1280,0.9047,65.5273,63.958
train,0,1312,0.9198,68.1641,63.9502
train,0,1344,0.8798,68.5547,63.9443
train,0,1376,0.8863,68.3594,63.9199
train,0,1408,0.8099,70.6055,63.7842
train,0,1440,0.8245,68.457,62.874
train,0,1472,0.769,73.7305,61.4502
train,0,1504,0.7687,72.0703,62.9424
train,0,1536,0.7164,73.6328,62.2949
validation,0,1536,0.6952,74.74,61.595
train,0,1568,0.7347,73.4375,60.9512
train,0,1600,0.6493,75.6836,60.1729
train,0,1632,0.6589,76.2695,60.7949
train,0,1664,0.5756,79.4922,63.2188
train,0,1696,0.5795,79.4922,63.4854
train,0,1728,0.5777,79.9805,63.2744
train,0,1760,0.5378,82.1289,63.6396
train,0,1792,0.5431,80.4688,63.9404
train,0,1824,0.4935,83.0078,63.9844
train,0,1856,0.5445,79.8828,63.9824
train,0,1888,0.4563,85.0586,63.998
train,0,1920,0.4865,82.8125,63.9873
train,0,1952,0.469,82.9102,63.9932
train,0,1984,0.5001,83.5938,63.959
train,0,2016,0.4398,85.2539,63.9346
train,0,2048,0.4499,84.375,63.9229
validation,0,2048,0.3662,87.34,63.9366
train,0,2080,0.4063,85.5469,63.8711
train,0,2112,0.4527,83.3008,63.9385
train,0,2144,0.4275,86.8164,63.9854
train,0,2176,0.3741,86.8164,63.9932
train,0,2208,0.3862,87.3047,63.9863
train,0,2240,0.3869,86.7188,63.9727
train,0,2272,0.4018,87.0117,63.9385
train,0,2304,0.3457,88.3789,63.96
train,0,2336,0.3407,88.4766,63.9922
train,0,2368,0.3082,90.0391,63.9912
train,0,2400,0.33,89.5508,64
train,0,2432,0.301,89.3555,63.999
train,0,2464,0.3046,88.5742,63.9883
train,0,2496,0.3225,89.1602,63.9502
train,0,2528,0.3308,88.8672,63.9463
train,0,2560,0.3044,89.8438,63.9375
validation,0,2560,0.2399,91.38,63.9562
train,0,2592,0.3098,89.8438,63.8936
train,0,2624,0.2772,90.332,63.7764
train,0,2656,0.3152,90.7227,63.7178
train,0,2688,0.3255,89.4531,63.5186
train,0,2720,0.3776,87.793,63.8213
train,0,2752,0.2797,91.1133,63.8467
train,0,2784,0.3218,88.5742,63.8896
train,0,2816,0.2719,90.332,63.9004
train,0,2848,0.3194,88.9648,63.959
train,0,2880,0.3377,88.4766,63.9346
train,0,2912,0.2984,90.4297,63.9062
train,0,2944,0.2859,89.8438,63.9062
train,0,2976,0.2424,92.3828,63.8516
train,0,3008,0.2687,91.5039,63.8818
train,0,3040,0.2184,93.3594,63.7891
train,0,3072,0.2904,89.3555,63.7305
validation,0,3072,0.3773,87.2,63.8952
train,0,3104,0.3429,88.8672,63.7363
train,0,3136,0.3633,87.0117,63.7861
train,0,3168,0.4719,83.3008,63.5889
train,0,3200,0.5298,81.6406,63.8672
train,1,3232,0.4475,85.0586,63.8203
train,1,3264,0.3085,88.4766,63.7705
train,1,3296,0.2862,89.2578,63.6953
train,1,3328,0.2681,91.2109,63.9307
train,1,3360,0.2429,91.3086,63.8789
train,1,3392,0.237,91.9922,63.7061
train,1,3424,0.217,92.5781,63.8809
train,1,3456,0.2422,91.0156,63.9883
train,1,3488,0.211,94.043,63.9375
train,1,3520,0.2145,93.0664,63.9766
train,1,3552,0.2149,92.9688,63.9707
train,1,3584,0.2408,91.0156,63.9658
validation,1,3584,0.151,94.78,63.9652
train,1,3616,0.187,93.9453,63.8799
train,1,3648,0.1815,94.5312,63.96
train,1,3680,0.2052,92.7734,63.8994
train,1,3712,0.1802,93.6523,63.7764
train,1,3744,0.222,93.0664,63.8164
train,1,3776,0.1704,93.8477,63.6133
train,1,3808,0.1773,93.457,63.7178
train,1,3840,0.1748,94.043,63.8652
train,1,3872,0.2089,93.1641,63.9053
train,1,3904,0.1532,95.2148,63.916
train,1,3936,0.1808,94.3359,63.959
train,1,3968,0.2024,93.1641,63.9814
train,1,4000,0.1758,94.2383,63.9326
train,1,4032,0.1959,93.6523,63.708
train,1,4064,0.2199,92.1875,63.7188
train,1,4096,0.1709,94.4336,63.9316
validation,1,4096,0.1542,94.66,63.8994
train,1,4128,0.188,93.75,63.9443
