mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
validation,0,0,11.3927,6.8584,4.5343,6.2101
train,0,32,8.1881,4.4731,3.715,7.4219
train,0,64,6.5787,3.4481,3.1305,6.6406
train,0,96,6.1441,3.1498,2.9943,6.0547
train,0,128,5.9428,3.0163,2.9265,6.0547
train,0,160,5.7583,2.8936,2.8647,5.6641
train,0,192,5.5836,2.7915,2.7921,7.0312
train,0,224,5.5807,2.7925,2.7882,6.4453
train,0,256,5.5252,2.74,2.7853,7.0312
train,0,288,5.5479,2.7665,2.7814,5.0781
train,0,320,5.455,2.6739,2.7811,6.4453
train,0,352,5.4049,2.6192,2.7857,7.4219
train,0,384,5.4281,2.6475,2.7806,4.6875
train,0,416,5.4034,2.6196,2.7838,4.6875
train,0,448,5.3128,2.5364,2.7764,4.6875
train,0,480,5.2478,2.4707,2.7771,5.8594
train,0,512,5.2651,2.5013,2.7638,8.0078
validation,0,512,5.1622,2.3856,2.7767,5.8906
train,0,544,5.3827,2.6013,2.7814,5.8594
train,0,576,5.2792,2.503,2.7762,6.0547
train,0,608,5.2761,2.4986,2.7775,7.8125
train,0,640,5.2776,2.4968,2.7808,4.6875
train,0,672,5.1982,2.4183,2.7798,5.0781
train,0,704,5.1948,2.4141,2.7807,5.4688
train,0,736,5.1682,2.3952,2.7731,5.8594
train,0,768,5.2321,2.4538,2.7783,6.8359
train,0,800,5.1259,2.3529,2.773,6.0547
train,0,832,5.2091,2.4321,2.777,7.2266
train,0,864,5.1584,2.3843,2.7741,5.0781
train,0,896,5.1858,2.4114,2.7744,5.8594
train,0,928,5.1135,2.3383,2.7753,7.0312
train,0,960,5.1669,2.3914,2.7755,7.6172
train,0,992,5.1699,2.3934,2.7765,8.0078
train,0,1024,5.1492,2.3787,2.7705,8.2031
validation,0,1024,5.0206,2.247,2.7736,6.3299
train,0,1056,5.0784,2.3034,2.775,5.6641
train,0,1088,5.0819,2.3069,2.775,5.4688
train,0,1120,5.0997,2.327,2.7727,7.6172
train,0,1152,5.1292,2.3514,2.7778,6.0547
train,0,1184,5.0551,2.2795,2.7757,5.0781
train,0,1216,5.1051,2.331,2.7741,5.8594
train,0,1248,5.0872,2.3131,2.7741,5.4688
train,0,1280,5.074,2.3022,2.7718,6.25
train,0,1312,5.0852,2.3142,2.7709,7.8125
train,0,1344,5.0407,2.2674,2.7734,5.4688
train,0,1376,5.0666,2.2909,2.7757,6.25
train,0,1408,5.0785,2.3024,2.7762,4.1016
train,0,1440,5.0071,2.2376,2.7695,6.25
train,0,1472,5.0861,2.309,2.777,6.8359
train,0,1504,4.9933,2.2187,2.7746,5.6641
train,0,1536,5.0718,2.2988,2.773,7.4219
validation,0,1536,4.9561,2.1827,2.7734,6.25
train,0,1568,5.0627,2.2887,2.7739,6.6406
train,0,1600,5.0585,2.2864,2.7722,7.2266
train,0,1632,5.0302,2.2583,2.7718,6.8359
train,0,1664,5.0074,2.2358,2.7716,7.0312
train,0,1696,4.9992,2.2246,2.7746,4.8828
train,0,1728,5.063,2.2879,2.775,6.25
train,0,1760,5.0707,2.2999,2.7708,8.0078
train,0,1792,5.0239,2.248,2.7759,5.8594
train,0,1824,5.0375,2.2664,2.7711,6.8359
train,0,1856,5.0105,2.2445,2.766,6.4453
train,0,1888,5.0043,2.2659,2.7384,8.0078
train,0,1920,4.9207,2.2131,2.7076,8.9844
train,0,1952,4.8572,2.2154,2.6418,9.1797
train,0,1984,4.7323,2.2129,2.5194,14.0625
train,0,2016,4.6165,2.1937,2.4228,16.7969
train,0,2048,4.5559,2.2054,2.3505,18.9453
