==========================================
SLURM_JOB_ID = 5696376
SLURM_JOB_NODELIST = d14-08
TMPDIR = /tmp/SLURM_5696376
==========================================
/home1/zliu9986/communication-translation
08-27-21 15:58:32 - Dataset Loaded
08-27-21 15:58:32 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=8e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad2_mbart_BTen+zh_lr8.0e-6_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-27-21 15:59:08 - epoch 0 | global step 0 | mode train | loss 1.74 | accuracy 25.0 | mean_length 27.75
08-27-21 16:08:42 - epoch 0 | global step 0 | mode validation | loss 2.5156 | accuracy 12.4 | mean_length 53.3506
08-27-21 16:08:42 - Saving model to Output/accGrad2_mbart_BTen+zh_lr8.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.4, Saved to Path: Output/accGrad2_mbart_BTen+zh_lr8.0e-6_7distractors_maxstep8192_seed43
08-27-21 16:09:43 - epoch 0 | global step 10 | mode train | loss 2.2598 | accuracy 21.0526 | mean_length 39.5658
08-27-21 16:09:46 - epoch 0 | global step 10 | mode train | loss 2.4454 | accuracy 12.5 | mean_length 35.375
08-27-21 16:10:38 - epoch 0 | global step 20 | mode train | loss 2.1975 | accuracy 13.1579 | mean_length 47.3947
08-27-21 16:10:41 - epoch 0 | global step 20 | mode train | loss 2.1341 | accuracy 12.5 | mean_length 40.5
08-27-21 16:11:34 - epoch 0 | global step 30 | mode train | loss 2.0905 | accuracy 12.5 | mean_length 50.9934
08-27-21 16:11:37 - epoch 0 | global step 30 | mode train | loss 2.0766 | accuracy 25.0 | mean_length 48.125
08-27-21 16:12:30 - epoch 0 | global step 40 | mode train | loss 2.0913 | accuracy 13.1579 | mean_length 50.9737
08-27-21 16:12:32 - epoch 0 | global step 40 | mode train | loss 2.1047 | accuracy 0.0 | mean_length 51.75
08-27-21 16:13:25 - epoch 0 | global step 50 | mode train | loss 2.1154 | accuracy 11.8421 | mean_length 56.6316
08-27-21 16:13:28 - epoch 0 | global step 50 | mode train | loss 2.1081 | accuracy 25.0 | mean_length 61.375
08-27-21 16:14:20 - epoch 0 | global step 60 | mode train | loss 2.0856 | accuracy 9.8684 | mean_length 58.4803
08-27-21 16:14:23 - epoch 0 | global step 60 | mode train | loss 2.0537 | accuracy 12.5 | mean_length 60.375
08-27-21 16:15:16 - epoch 0 | global step 70 | mode train | loss 2.0976 | accuracy 15.1316 | mean_length 60.1776
08-27-21 16:15:19 - epoch 0 | global step 70 | mode train | loss 2.1083 | accuracy 0.0 | mean_length 62.625
08-27-21 16:16:12 - epoch 0 | global step 80 | mode train | loss 2.1113 | accuracy 8.5526 | mean_length 61.9737
08-27-21 16:16:15 - epoch 0 | global step 80 | mode train | loss 2.1987 | accuracy 0.0 | mean_length 64
08-27-21 16:17:08 - epoch 0 | global step 90 | mode train | loss 2.0734 | accuracy 13.1579 | mean_length 62.6776
08-27-21 16:17:11 - epoch 0 | global step 90 | mode train | loss 2.0506 | accuracy 12.5 | mean_length 62.375
08-27-21 16:18:04 - epoch 0 | global step 100 | mode train | loss 2.0913 | accuracy 13.8158 | mean_length 62.9276
08-27-21 16:18:06 - epoch 0 | global step 100 | mode train | loss 2.0049 | accuracy 12.5 | mean_length 64
08-27-21 16:18:59 - epoch 0 | global step 110 | mode train | loss 2.0753 | accuracy 11.8421 | mean_length 62.3092
08-27-21 16:19:02 - epoch 0 | global step 110 | mode train | loss 2.1388 | accuracy 0.0 | mean_length 63.125
08-27-21 16:19:55 - epoch 0 | global step 120 | mode train | loss 2.0778 | accuracy 17.1053 | mean_length 63.1842
08-27-21 16:19:58 - epoch 0 | global step 120 | mode train | loss 2.0486 | accuracy 12.5 | mean_length 57.625
08-27-21 16:20:51 - epoch 0 | global step 130 | mode train | loss 2.0621 | accuracy 15.1316 | mean_length 63.4276
08-27-21 16:20:54 - epoch 0 | global step 130 | mode train | loss 2.1385 | accuracy 0.0 | mean_length 64
08-27-21 16:21:48 - epoch 0 | global step 140 | mode train | loss 2.0687 | accuracy 11.8421 | mean_length 63.4342
08-27-21 16:21:51 - epoch 0 | global step 140 | mode train | loss 2.0376 | accuracy 0.0 | mean_length 64
08-27-21 16:22:43 - epoch 0 | global step 150 | mode train | loss 2.0493 | accuracy 12.5 | mean_length 63.5066
08-27-21 16:22:46 - epoch 0 | global step 150 | mode train | loss 2.2009 | accuracy 0.0 | mean_length 62.5
08-27-21 16:23:39 - epoch 0 | global step 160 | mode train | loss 2.0456 | accuracy 17.7632 | mean_length 63.2039
08-27-21 16:23:42 - epoch 0 | global step 160 | mode train | loss 2.1212 | accuracy 25.0 | mean_length 63.625
08-27-21 16:24:35 - epoch 0 | global step 170 | mode train | loss 2.0847 | accuracy 7.8947 | mean_length 63.8355
08-27-21 16:24:37 - epoch 0 | global step 170 | mode train | loss 2.096 | accuracy 0.0 | mean_length 62.375
08-27-21 16:25:30 - epoch 0 | global step 180 | mode train | loss 2.0548 | accuracy 10.5263 | mean_length 63.8355
08-27-21 16:25:33 - epoch 0 | global step 180 | mode train | loss 2.0693 | accuracy 12.5 | mean_length 64
08-27-21 16:26:26 - epoch 0 | global step 190 | mode train | loss 2.0627 | accuracy 11.1842 | mean_length 63.6776
08-27-21 16:26:29 - epoch 0 | global step 190 | mode train | loss 1.9478 | accuracy 12.5 | mean_length 64
08-27-21 16:27:21 - epoch 0 | global step 200 | mode train | loss 2.0315 | accuracy 13.8158 | mean_length 63.8553
08-27-21 16:27:24 - epoch 0 | global step 200 | mode train | loss 2.09 | accuracy 12.5 | mean_length 64
08-27-21 16:28:16 - epoch 0 | global step 210 | mode train | loss 2.0324 | accuracy 11.8421 | mean_length 63.4605
08-27-21 16:28:19 - epoch 0 | global step 210 | mode train | loss 2.0728 | accuracy 0.0 | mean_length 64
08-27-21 16:29:10 - epoch 0 | global step 220 | mode train | loss 1.9745 | accuracy 15.7895 | mean_length 63.9408
08-27-21 16:29:13 - epoch 0 | global step 220 | mode train | loss 2.1802 | accuracy 12.5 | mean_length 64
08-27-21 16:30:06 - epoch 0 | global step 230 | mode train | loss 2.0327 | accuracy 11.8421 | mean_length 63.4474
08-27-21 16:30:08 - epoch 0 | global step 230 | mode train | loss 2.029 | accuracy 12.5 | mean_length 64
08-27-21 16:31:01 - epoch 0 | global step 240 | mode train | loss 1.9886 | accuracy 17.1053 | mean_length 63.7105
08-27-21 16:31:04 - epoch 0 | global step 240 | mode train | loss 2.0238 | accuracy 12.5 | mean_length 62.875
08-27-21 16:31:57 - epoch 0 | global step 250 | mode train | loss 2.0357 | accuracy 10.5263 | mean_length 63.7303
08-27-21 16:32:00 - epoch 0 | global step 250 | mode train | loss 1.8399 | accuracy 25.0 | mean_length 62.25
08-27-21 16:32:53 - epoch 0 | global step 260 | mode train | loss 2.0115 | accuracy 14.4737 | mean_length 63.7434
08-27-21 16:32:56 - epoch 0 | global step 260 | mode train | loss 2.1067 | accuracy 0.0 | mean_length 64
08-27-21 16:33:48 - epoch 0 | global step 270 | mode train | loss 2.0454 | accuracy 13.8158 | mean_length 63.6184
08-27-21 16:33:51 - epoch 0 | global step 270 | mode train | loss 2.0681 | accuracy 0.0 | mean_length 64
08-27-21 16:34:44 - epoch 0 | global step 280 | mode train | loss 2.0058 | accuracy 14.4737 | mean_length 63.6645
08-27-21 16:34:47 - epoch 0 | global step 280 | mode train | loss 1.9535 | accuracy 12.5 | mean_length 64
08-27-21 16:35:40 - epoch 0 | global step 290 | mode train | loss 1.9692 | accuracy 15.1316 | mean_length 63.2105
08-27-21 16:35:42 - epoch 0 | global step 290 | mode train | loss 1.9 | accuracy 12.5 | mean_length 64
08-27-21 16:36:34 - epoch 0 | global step 300 | mode train | loss 1.9795 | accuracy 15.1316 | mean_length 63.7434
08-27-21 16:36:37 - epoch 0 | global step 300 | mode train | loss 1.8918 | accuracy 12.5 | mean_length 64
08-27-21 16:37:29 - epoch 0 | global step 310 | mode train | loss 1.9839 | accuracy 13.1579 | mean_length 62.7697
08-27-21 16:37:32 - epoch 0 | global step 310 | mode train | loss 2.195 | accuracy 0.0 | mean_length 64
08-27-21 16:38:24 - epoch 0 | global step 320 | mode train | loss 1.9678 | accuracy 15.1316 | mean_length 62.8355
08-27-21 16:38:27 - epoch 0 | global step 320 | mode train | loss 1.7611 | accuracy 37.5 | mean_length 64
08-27-21 16:39:21 - epoch 0 | global step 330 | mode train | loss 1.945 | accuracy 14.4737 | mean_length 63.4211
