==========================================
SLURM_JOB_ID = 5708535
SLURM_JOB_NODELIST = d14-04
TMPDIR = /tmp/SLURM_5708535
==========================================
/home1/zliu9986/communication-translation
08-29-21 00:38:30 - Dataset Loaded
08-29-21 00:38:30 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad2_mbart_noBT_lr1.0e-5_7distractors_maxstep8192_seed42', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-29-21 00:38:59 - epoch 0 | global step 0 | mode train | loss 2.7459 | accuracy 12.5 | mean_length 52.5
08-29-21 00:48:33 - epoch 0 | global step 0 | mode validation | loss 3.3243 | accuracy 12.34 | mean_length 63.292
08-29-21 00:48:33 - Saving model to Output/accGrad2_mbart_noBT_lr1.0e-5_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.34, Saved to Path: Output/accGrad2_mbart_noBT_lr1.0e-5_7distractors_maxstep8192_seed42
08-29-21 00:49:36 - epoch 0 | global step 10 | mode train | loss 2.6264 | accuracy 12.5 | mean_length 60.5
08-29-21 00:49:39 - epoch 0 | global step 10 | mode train | loss 2.2603 | accuracy 37.5 | mean_length 64
08-29-21 00:50:32 - epoch 0 | global step 20 | mode train | loss 2.5559 | accuracy 15.1316 | mean_length 63.7632
08-29-21 00:50:35 - epoch 0 | global step 20 | mode train | loss 1.9712 | accuracy 0.0 | mean_length 64
08-29-21 00:51:27 - epoch 0 | global step 30 | mode train | loss 2.1227 | accuracy 11.1842 | mean_length 64
08-29-21 00:51:30 - epoch 0 | global step 30 | mode train | loss 2.0942 | accuracy 12.5 | mean_length 64
08-29-21 00:52:23 - epoch 0 | global step 40 | mode train | loss 2.1097 | accuracy 13.1579 | mean_length 64
08-29-21 00:52:26 - epoch 0 | global step 40 | mode train | loss 2.073 | accuracy 12.5 | mean_length 64
08-29-21 00:53:18 - epoch 0 | global step 50 | mode train | loss 2.116 | accuracy 8.5526 | mean_length 64
08-29-21 00:53:21 - epoch 0 | global step 50 | mode train | loss 2.0878 | accuracy 12.5 | mean_length 64
08-29-21 00:54:13 - epoch 0 | global step 60 | mode train | loss 2.0868 | accuracy 16.4474 | mean_length 64
08-29-21 00:54:16 - epoch 0 | global step 60 | mode train | loss 2.1355 | accuracy 0.0 | mean_length 64
08-29-21 00:55:07 - epoch 0 | global step 70 | mode train | loss 2.0765 | accuracy 13.1579 | mean_length 64
08-29-21 00:55:10 - epoch 0 | global step 70 | mode train | loss 2.1343 | accuracy 12.5 | mean_length 64
08-29-21 00:56:03 - epoch 0 | global step 80 | mode train | loss 2.0789 | accuracy 15.7895 | mean_length 64
08-29-21 00:56:05 - epoch 0 | global step 80 | mode train | loss 1.9915 | accuracy 12.5 | mean_length 64
08-29-21 00:56:57 - epoch 0 | global step 90 | mode train | loss 2.0968 | accuracy 6.5789 | mean_length 64
08-29-21 00:57:00 - epoch 0 | global step 90 | mode train | loss 2.0305 | accuracy 25.0 | mean_length 64
08-29-21 00:57:52 - epoch 0 | global step 100 | mode train | loss 2.0515 | accuracy 15.1316 | mean_length 64
08-29-21 00:57:54 - epoch 0 | global step 100 | mode train | loss 2.1282 | accuracy 0.0 | mean_length 64
08-29-21 00:58:46 - epoch 0 | global step 110 | mode train | loss 2.0496 | accuracy 13.8158 | mean_length 64
08-29-21 00:58:49 - epoch 0 | global step 110 | mode train | loss 1.8853 | accuracy 25.0 | mean_length 64
08-29-21 00:59:41 - epoch 0 | global step 120 | mode train | loss 2.0528 | accuracy 10.5263 | mean_length 64
08-29-21 00:59:44 - epoch 0 | global step 120 | mode train | loss 1.9027 | accuracy 25.0 | mean_length 64
08-29-21 01:00:36 - epoch 0 | global step 130 | mode train | loss 2.0213 | accuracy 15.1316 | mean_length 64
08-29-21 01:00:38 - epoch 0 | global step 130 | mode train | loss 2.1168 | accuracy 0.0 | mean_length 64
08-29-21 01:01:30 - epoch 0 | global step 140 | mode train | loss 2.0712 | accuracy 13.8158 | mean_length 64
08-29-21 01:01:33 - epoch 0 | global step 140 | mode train | loss 2.035 | accuracy 25.0 | mean_length 64
08-29-21 01:02:25 - epoch 0 | global step 150 | mode train | loss 2.0207 | accuracy 12.5 | mean_length 64
08-29-21 01:02:27 - epoch 0 | global step 150 | mode train | loss 2.0 | accuracy 12.5 | mean_length 64
08-29-21 01:03:19 - epoch 0 | global step 160 | mode train | loss 1.9901 | accuracy 17.1053 | mean_length 64
08-29-21 01:03:22 - epoch 0 | global step 160 | mode train | loss 2.0382 | accuracy 25.0 | mean_length 64
