==========================================
SLURM_JOB_ID = 5708498
SLURM_JOB_NODELIST = d13-04
TMPDIR = /tmp/SLURM_5708498
==========================================
/home1/zliu9986/communication-translation
08-28-21 23:56:56 - Dataset Loaded
08-28-21 23:56:56 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=7.5e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=44, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-28-21 23:57:26 - epoch 0 | global step 0 | mode train | loss 3.0648 | accuracy 12.5 | mean_length 59.375
08-29-21 00:07:08 - epoch 0 | global step 0 | mode validation | loss 3.3077 | accuracy 12.92 | mean_length 63.99
08-29-21 00:07:08 - Saving model to Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44
Epoch: 0, Prediction Accuracy: 12.92, Saved to Path: Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44
08-29-21 00:08:11 - epoch 0 | global step 10 | mode train | loss 2.8249 | accuracy 9.8684 | mean_length 61.9803
08-29-21 00:08:14 - epoch 0 | global step 10 | mode train | loss 2.1831 | accuracy 25.0 | mean_length 62.375
08-29-21 00:09:07 - epoch 0 | global step 20 | mode train | loss 2.5033 | accuracy 9.8684 | mean_length 63.0855
08-29-21 00:09:10 - epoch 0 | global step 20 | mode train | loss 2.2355 | accuracy 0.0 | mean_length 64
08-29-21 00:10:03 - epoch 0 | global step 30 | mode train | loss 2.5423 | accuracy 6.5789 | mean_length 63.3355
08-29-21 00:10:06 - epoch 0 | global step 30 | mode train | loss 2.4388 | accuracy 12.5 | mean_length 64
08-29-21 00:10:59 - epoch 0 | global step 40 | mode train | loss 2.4905 | accuracy 9.8684 | mean_length 63.9605
08-29-21 00:11:01 - epoch 0 | global step 40 | mode train | loss 2.719 | accuracy 12.5 | mean_length 64
08-29-21 00:11:54 - epoch 0 | global step 50 | mode train | loss 2.5209 | accuracy 16.4474 | mean_length 63.5526
08-29-21 00:11:57 - epoch 0 | global step 50 | mode train | loss 2.7667 | accuracy 12.5 | mean_length 64
08-29-21 00:12:50 - epoch 0 | global step 60 | mode train | loss 2.6036 | accuracy 9.8684 | mean_length 63.8618
08-29-21 00:12:53 - epoch 0 | global step 60 | mode train | loss 2.7353 | accuracy 12.5 | mean_length 64
08-29-21 00:13:45 - epoch 0 | global step 70 | mode train | loss 2.4983 | accuracy 11.8421 | mean_length 63.9605
08-29-21 00:13:48 - epoch 0 | global step 70 | mode train | loss 2.2062 | accuracy 0.0 | mean_length 58
08-29-21 00:14:40 - epoch 0 | global step 80 | mode train | loss 2.4102 | accuracy 10.5263 | mean_length 63.7961
08-29-21 00:14:43 - epoch 0 | global step 80 | mode train | loss 2.6198 | accuracy 0.0 | mean_length 64
08-29-21 00:15:35 - epoch 0 | global step 90 | mode train | loss 2.2818 | accuracy 13.8158 | mean_length 63.7697
08-29-21 00:15:37 - epoch 0 | global step 90 | mode train | loss 2.4077 | accuracy 12.5 | mean_length 64
08-29-21 00:16:29 - epoch 0 | global step 100 | mode train | loss 2.3557 | accuracy 14.4737 | mean_length 63.7434
08-29-21 00:16:32 - epoch 0 | global step 100 | mode train | loss 1.8569 | accuracy 25.0 | mean_length 61.75
08-29-21 00:17:24 - epoch 0 | global step 110 | mode train | loss 2.3038 | accuracy 9.8684 | mean_length 63.1842
08-29-21 00:17:26 - epoch 0 | global step 110 | mode train | loss 1.9746 | accuracy 12.5 | mean_length 64
08-29-21 00:18:19 - epoch 0 | global step 120 | mode train | loss 2.2641 | accuracy 8.5526 | mean_length 63.6053
08-29-21 00:18:22 - epoch 0 | global step 120 | mode train | loss 2.3084 | accuracy 25.0 | mean_length 64
08-29-21 00:19:14 - epoch 0 | global step 130 | mode train | loss 2.2611 | accuracy 14.4737 | mean_length 63.2961
08-29-21 00:19:17 - epoch 0 | global step 130 | mode train | loss 2.3702 | accuracy 12.5 | mean_length 64
08-29-21 00:20:09 - epoch 0 | global step 140 | mode train | loss 2.3334 | accuracy 7.8947 | mean_length 63.5724
08-29-21 00:20:12 - epoch 0 | global step 140 | mode train | loss 1.9244 | accuracy 12.5 | mean_length 60.375
08-29-21 00:21:04 - epoch 0 | global step 150 | mode train | loss 2.3092 | accuracy 13.1579 | mean_length 64
08-29-21 00:21:06 - epoch 0 | global step 150 | mode train | loss 2.3077 | accuracy 12.5 | mean_length 64
08-29-21 00:21:58 - epoch 0 | global step 160 | mode train | loss 2.251 | accuracy 14.4737 | mean_length 63.7895
08-29-21 00:22:01 - epoch 0 | global step 160 | mode train | loss 2.0143 | accuracy 50.0 | mean_length 64
08-29-21 00:22:53 - epoch 0 | global step 170 | mode train | loss 2.1881 | accuracy 17.1053 | mean_length 63.625
08-29-21 00:22:56 - epoch 0 | global step 170 | mode train | loss 2.2586 | accuracy 25.0 | mean_length 64
08-29-21 00:23:48 - epoch 0 | global step 180 | mode train | loss 2.3135 | accuracy 10.5263 | mean_length 63.3355
08-29-21 00:23:50 - epoch 0 | global step 180 | mode train | loss 2.0222 | accuracy 25.0 | mean_length 64
08-29-21 00:24:42 - epoch 0 | global step 190 | mode train | loss 2.2949 | accuracy 11.8421 | mean_length 63.3684
08-29-21 00:24:45 - epoch 0 | global step 190 | mode train | loss 2.1876 | accuracy 0.0 | mean_length 64
08-29-21 00:25:38 - epoch 0 | global step 200 | mode train | loss 2.1245 | accuracy 15.1316 | mean_length 64
08-29-21 00:25:40 - epoch 0 | global step 200 | mode train | loss 2.1526 | accuracy 0.0 | mean_length 64
08-29-21 00:26:33 - epoch 0 | global step 210 | mode train | loss 2.0886 | accuracy 8.5526 | mean_length 63.5855
08-29-21 00:26:36 - epoch 0 | global step 210 | mode train | loss 2.0814 | accuracy 25.0 | mean_length 64
08-29-21 00:27:29 - epoch 0 | global step 220 | mode train | loss 2.1047 | accuracy 12.5 | mean_length 63.8224
08-29-21 00:27:32 - epoch 0 | global step 220 | mode train | loss 2.0221 | accuracy 12.5 | mean_length 64
08-29-21 00:28:23 - epoch 0 | global step 230 | mode train | loss 2.0867 | accuracy 13.8158 | mean_length 62.5066
08-29-21 00:28:26 - epoch 0 | global step 230 | mode train | loss 2.0733 | accuracy 12.5 | mean_length 64
08-29-21 00:29:17 - epoch 0 | global step 240 | mode train | loss 2.0909 | accuracy 10.5263 | mean_length 63.8355
08-29-21 00:29:20 - epoch 0 | global step 240 | mode train | loss 2.1505 | accuracy 0.0 | mean_length 64
08-29-21 00:30:11 - epoch 0 | global step 250 | mode train | loss 2.1114 | accuracy 7.2368 | mean_length 63.3553
08-29-21 00:30:14 - epoch 0 | global step 250 | mode train | loss 2.1107 | accuracy 12.5 | mean_length 64
08-29-21 00:31:05 - epoch 0 | global step 260 | mode train | loss 2.064 | accuracy 16.4474 | mean_length 63.4474
08-29-21 00:31:08 - epoch 0 | global step 260 | mode train | loss 2.0572 | accuracy 25.0 | mean_length 64
08-29-21 00:31:59 - epoch 0 | global step 270 | mode train | loss 2.0896 | accuracy 12.5 | mean_length 63.5987
08-29-21 00:32:02 - epoch 0 | global step 270 | mode train | loss 2.1496 | accuracy 12.5 | mean_length 64
08-29-21 00:32:54 - epoch 0 | global step 280 | mode train | loss 2.1108 | accuracy 6.5789 | mean_length 63.6711
08-29-21 00:32:56 - epoch 0 | global step 280 | mode train | loss 2.1828 | accuracy 0.0 | mean_length 58.625
08-29-21 00:33:48 - epoch 0 | global step 290 | mode train | loss 2.0873 | accuracy 12.5 | mean_length 63.1316
08-29-21 00:33:50 - epoch 0 | global step 290 | mode train | loss 2.0397 | accuracy 12.5 | mean_length 64
08-29-21 00:34:44 - epoch 0 | global step 300 | mode train | loss 2.0989 | accuracy 9.8684 | mean_length 64
08-29-21 00:34:47 - epoch 0 | global step 300 | mode train | loss 2.1054 | accuracy 0.0 | mean_length 59
08-29-21 00:35:43 - epoch 0 | global step 310 | mode train | loss 2.0726 | accuracy 14.4737 | mean_length 64
08-29-21 00:35:46 - epoch 0 | global step 310 | mode train | loss 2.0351 | accuracy 37.5 | mean_length 64
08-29-21 00:36:38 - epoch 0 | global step 320 | mode train | loss 2.0795 | accuracy 16.4474 | mean_length 63.9013
08-29-21 00:36:40 - epoch 0 | global step 320 | mode train | loss 2.1073 | accuracy 25.0 | mean_length 64
08-29-21 00:37:32 - epoch 0 | global step 330 | mode train | loss 2.0964 | accuracy 12.5 | mean_length 63.6579
08-29-21 00:37:35 - epoch 0 | global step 330 | mode train | loss 2.031 | accuracy 12.5 | mean_length 64
08-29-21 00:38:27 - epoch 0 | global step 340 | mode train | loss 2.0933 | accuracy 9.8684 | mean_length 63.875
08-29-21 00:38:29 - epoch 0 | global step 340 | mode train | loss 2.1193 | accuracy 0.0 | mean_length 64
08-29-21 00:39:25 - epoch 0 | global step 350 | mode train | loss 2.0889 | accuracy 16.4474 | mean_length 63.9013
08-29-21 00:39:28 - epoch 0 | global step 350 | mode train | loss 2.0593 | accuracy 25.0 | mean_length 64
08-29-21 00:40:26 - epoch 0 | global step 360 | mode train | loss 2.0858 | accuracy 13.1579 | mean_length 64
08-29-21 00:40:28 - epoch 0 | global step 360 | mode train | loss 2.0922 | accuracy 12.5 | mean_length 64
08-29-21 00:41:26 - epoch 0 | global step 370 | mode train | loss 2.1018 | accuracy 7.2368 | mean_length 64
08-29-21 00:41:29 - epoch 0 | global step 370 | mode train | loss 2.0968 | accuracy 12.5 | mean_length 64
08-29-21 00:42:22 - epoch 0 | global step 380 | mode train | loss 2.0844 | accuracy 9.8684 | mean_length 64
08-29-21 00:42:24 - epoch 0 | global step 380 | mode train | loss 2.068 | accuracy 12.5 | mean_length 64
08-29-21 00:43:17 - epoch 0 | global step 390 | mode train | loss 2.084 | accuracy 15.7895 | mean_length 63.8618
08-29-21 00:43:20 - epoch 0 | global step 390 | mode train | loss 2.0867 | accuracy 12.5 | mean_length 64
08-29-21 00:44:13 - epoch 0 | global step 400 | mode train | loss 2.1017 | accuracy 9.8684 | mean_length 63.9276
08-29-21 00:44:16 - epoch 0 | global step 400 | mode train | loss 2.058 | accuracy 25.0 | mean_length 64
08-29-21 00:45:08 - epoch 0 | global step 410 | mode train | loss 2.0798 | accuracy 11.1842 | mean_length 64
08-29-21 00:45:11 - epoch 0 | global step 410 | mode train | loss 2.0423 | accuracy 25.0 | mean_length 64
08-29-21 00:46:02 - epoch 0 | global step 420 | mode train | loss 2.0637 | accuracy 19.0789 | mean_length 64
08-29-21 00:46:05 - epoch 0 | global step 420 | mode train | loss 2.0337 | accuracy 25.0 | mean_length 64
08-29-21 00:46:57 - epoch 0 | global step 430 | mode train | loss 2.0749 | accuracy 14.4737 | mean_length 64
08-29-21 00:46:59 - epoch 0 | global step 430 | mode train | loss 2.0278 | accuracy 25.0 | mean_length 64
08-29-21 00:47:51 - epoch 0 | global step 440 | mode train | loss 2.0746 | accuracy 13.1579 | mean_length 64
08-29-21 00:47:54 - epoch 0 | global step 440 | mode train | loss 2.0922 | accuracy 25.0 | mean_length 64
08-29-21 00:48:45 - epoch 0 | global step 450 | mode train | loss 2.0902 | accuracy 10.5263 | mean_length 64
08-29-21 00:48:48 - epoch 0 | global step 450 | mode train | loss 2.0878 | accuracy 0.0 | mean_length 64
08-29-21 00:49:39 - epoch 0 | global step 460 | mode train | loss 2.0841 | accuracy 11.8421 | mean_length 64
08-29-21 00:49:42 - epoch 0 | global step 460 | mode train | loss 2.0404 | accuracy 25.0 | mean_length 64
08-29-21 00:50:33 - epoch 0 | global step 470 | mode train | loss 2.0949 | accuracy 9.2105 | mean_length 64
08-29-21 00:50:36 - epoch 0 | global step 470 | mode train | loss 2.1026 | accuracy 0.0 | mean_length 64
08-29-21 00:51:27 - epoch 0 | global step 480 | mode train | loss 2.0854 | accuracy 13.8158 | mean_length 64
08-29-21 00:51:30 - epoch 0 | global step 480 | mode train | loss 2.072 | accuracy 25.0 | mean_length 64
08-29-21 00:52:21 - epoch 0 | global step 490 | mode train | loss 2.086 | accuracy 8.5526 | mean_length 64
08-29-21 00:52:24 - epoch 0 | global step 490 | mode train | loss 2.0976 | accuracy 12.5 | mean_length 64
08-29-21 00:53:16 - epoch 0 | global step 500 | mode train | loss 2.0801 | accuracy 12.5 | mean_length 64
08-29-21 00:53:18 - epoch 0 | global step 500 | mode train | loss 2.0242 | accuracy 37.5 | mean_length 64
08-29-21 00:54:10 - epoch 0 | global step 510 | mode train | loss 2.086 | accuracy 13.8158 | mean_length 64
08-29-21 00:54:13 - epoch 0 | global step 510 | mode train | loss 2.1339 | accuracy 0.0 | mean_length 64
08-29-21 01:03:58 - epoch 0 | global step 512 | mode validation | loss 2.0811 | accuracy 12.74 | mean_length 64
08-29-21 01:03:58 - Saving model to Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44
Epoch: 0, Prediction Accuracy: 12.74, Saved to Path: Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44
08-29-21 01:13:49 - epoch 0 | global step 512 | mode validation | loss 2.0808 | accuracy 12.44 | mean_length 64
08-29-21 01:13:49 - Saving model to Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44
Epoch: 0, Prediction Accuracy: 12.44, Saved to Path: Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed44
08-29-21 01:14:39 - epoch 0 | global step 520 | mode train | loss 2.0756 | accuracy 12.5 | mean_length 64
08-29-21 01:14:42 - epoch 0 | global step 520 | mode train | loss 2.0641 | accuracy 12.5 | mean_length 64
08-29-21 01:15:34 - epoch 0 | global step 530 | mode train | loss 2.1075 | accuracy 11.1842 | mean_length 64
08-29-21 01:15:36 - epoch 0 | global step 530 | mode train | loss 2.1672 | accuracy 0.0 | mean_length 64
08-29-21 01:16:28 - epoch 0 | global step 540 | mode train | loss 2.087 | accuracy 13.8158 | mean_length 64
08-29-21 01:16:30 - epoch 0 | global step 540 | mode train | loss 2.0486 | accuracy 12.5 | mean_length 64
08-29-21 01:17:22 - epoch 0 | global step 550 | mode train | loss 2.0855 | accuracy 9.2105 | mean_length 64
08-29-21 01:17:24 - epoch 0 | global step 550 | mode train | loss 2.139 | accuracy 0.0 | mean_length 64
08-29-21 01:18:16 - epoch 0 | global step 560 | mode train | loss 2.0827 | accuracy 12.5 | mean_length 64
08-29-21 01:18:18 - epoch 0 | global step 560 | mode train | loss 2.0638 | accuracy 12.5 | mean_length 64
08-29-21 01:19:10 - epoch 0 | global step 570 | mode train | loss 2.0809 | accuracy 17.1053 | mean_length 64
08-29-21 01:19:13 - epoch 0 | global step 570 | mode train | loss 2.0997 | accuracy 0.0 | mean_length 64
08-29-21 01:20:04 - epoch 0 | global step 580 | mode train | loss 2.0837 | accuracy 11.1842 | mean_length 64
08-29-21 01:20:07 - epoch 0 | global step 580 | mode train | loss 2.1042 | accuracy 12.5 | mean_length 64
08-29-21 01:20:58 - epoch 0 | global step 590 | mode train | loss 2.076 | accuracy 17.1053 | mean_length 64
08-29-21 01:21:01 - epoch 0 | global step 590 | mode train | loss 2.0618 | accuracy 12.5 | mean_length 64
08-29-21 01:21:52 - epoch 0 | global step 600 | mode train | loss 2.0764 | accuracy 15.1316 | mean_length 64
08-29-21 01:21:55 - epoch 0 | global step 600 | mode train | loss 2.077 | accuracy 12.5 | mean_length 64
08-29-21 01:22:46 - epoch 0 | global step 610 | mode train | loss 2.0864 | accuracy 9.8684 | mean_length 64
08-29-21 01:22:49 - epoch 0 | global step 610 | mode train | loss 2.0982 | accuracy 12.5 | mean_length 64
08-29-21 01:23:40 - epoch 0 | global step 620 | mode train | loss 2.0835 | accuracy 9.2105 | mean_length 64
08-29-21 01:23:43 - epoch 0 | global step 620 | mode train | loss 2.0475 | accuracy 12.5 | mean_length 64
08-29-21 01:24:34 - epoch 0 | global step 630 | mode train | loss 2.0729 | accuracy 15.7895 | mean_length 64
08-29-21 01:24:37 - epoch 0 | global step 630 | mode train | loss 2.1044 | accuracy 12.5 | mean_length 64
08-29-21 01:25:28 - epoch 0 | global step 640 | mode train | loss 2.0884 | accuracy 11.8421 | mean_length 64
08-29-21 01:25:31 - epoch 0 | global step 640 | mode train | loss 2.1133 | accuracy 12.5 | mean_length 64
08-29-21 01:26:22 - epoch 0 | global step 650 | mode train | loss 2.0788 | accuracy 15.7895 | mean_length 64
08-29-21 01:26:25 - epoch 0 | global step 650 | mode train | loss 2.0871 | accuracy 12.5 | mean_length 64
08-29-21 01:27:16 - epoch 0 | global step 660 | mode train | loss 2.0869 | accuracy 7.2368 | mean_length 64
08-29-21 01:27:19 - epoch 0 | global step 660 | mode train | loss 2.0585 | accuracy 12.5 | mean_length 64
08-29-21 01:28:10 - epoch 0 | global step 670 | mode train | loss 2.0841 | accuracy 13.1579 | mean_length 64
08-29-21 01:28:13 - epoch 0 | global step 670 | mode train | loss 2.0892 | accuracy 0.0 | mean_length 64
08-29-21 01:29:04 - epoch 0 | global step 680 | mode train | loss 2.0808 | accuracy 12.5 | mean_length 64
08-29-21 01:29:07 - epoch 0 | global step 680 | mode train | loss 2.1094 | accuracy 12.5 | mean_length 64
08-29-21 01:29:58 - epoch 0 | global step 690 | mode train | loss 2.0755 | accuracy 12.5 | mean_length 64
08-29-21 01:30:01 - epoch 0 | global step 690 | mode train | loss 2.0591 | accuracy 25.0 | mean_length 64
08-29-21 01:30:52 - epoch 0 | global step 700 | mode train | loss 2.0832 | accuracy 15.7895 | mean_length 64
08-29-21 01:30:55 - epoch 0 | global step 700 | mode train | loss 2.1147 | accuracy 12.5 | mean_length 64
08-29-21 01:31:47 - epoch 0 | global step 710 | mode train | loss 2.0798 | accuracy 14.4737 | mean_length 64
08-29-21 01:31:49 - epoch 0 | global step 710 | mode train | loss 2.0943 | accuracy 0.0 | mean_length 64
08-29-21 01:32:41 - epoch 0 | global step 720 | mode train | loss 2.0862 | accuracy 13.1579 | mean_length 64
08-29-21 01:32:43 - epoch 0 | global step 720 | mode train | loss 2.056 | accuracy 12.5 | mean_length 64
08-29-21 01:33:35 - epoch 0 | global step 730 | mode train | loss 2.084 | accuracy 9.2105 | mean_length 64
08-29-21 01:33:37 - epoch 0 | global step 730 | mode train | loss 2.083 | accuracy 25.0 | mean_length 64
08-29-21 01:34:29 - epoch 0 | global step 740 | mode train | loss 2.0642 | accuracy 18.4211 | mean_length 64
08-29-21 01:34:31 - epoch 0 | global step 740 | mode train | loss 2.0849 | accuracy 25.0 | mean_length 64
08-29-21 01:35:23 - epoch 0 | global step 750 | mode train | loss 2.0797 | accuracy 13.8158 | mean_length 64
08-29-21 01:35:25 - epoch 0 | global step 750 | mode train | loss 2.066 | accuracy 0.0 | mean_length 64
08-29-21 01:36:17 - epoch 0 | global step 760 | mode train | loss 2.0816 | accuracy 13.1579 | mean_length 64
08-29-21 01:36:19 - epoch 0 | global step 760 | mode train | loss 2.0573 | accuracy 25.0 | mean_length 64
08-29-21 01:37:11 - epoch 0 | global step 770 | mode train | loss 2.0732 | accuracy 18.4211 | mean_length 64
