==========================================
SLURM_JOB_ID = 5959021
SLURM_JOB_NODELIST = d11-04
TMPDIR = /tmp/SLURM_5959021
==========================================
/home1/zliu9986/communication-translation
09-19-21 15:58:30 - Dataset Loaded
09-19-21 15:58:30 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/en-zh_ec_captions.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1.5e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/bt_en-zh_captions', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_BTen+zh-captions_lr1.5e-5_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-19-21 16:08:13 - epoch 0 | global step 0 | mode validation | loss 2.3707 | accuracy 12.74 | mean_length 33.7326
09-19-21 16:08:13 - Saving model to Output/accGrad4_mbart_BTen+zh-captions_lr1.5e-5_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.74, Saved to Path: Output/accGrad4_mbart_BTen+zh-captions_lr1.5e-5_7distractors_maxstep8192_seed43
09-19-21 16:10:10 - epoch 0 | global step 10 | mode train | loss 2.1361 | accuracy 15.9375 | mean_length 53.1938
09-19-21 16:11:58 - epoch 0 | global step 20 | mode train | loss 2.0786 | accuracy 15.9375 | mean_length 63.6562
09-19-21 16:13:45 - epoch 0 | global step 30 | mode train | loss 2.1106 | accuracy 12.8125 | mean_length 64
09-19-21 16:15:33 - epoch 0 | global step 40 | mode train | loss 2.0944 | accuracy 12.5 | mean_length 63.8188
09-19-21 16:17:21 - epoch 0 | global step 50 | mode train | loss 2.0612 | accuracy 12.8125 | mean_length 63.15
09-19-21 16:19:08 - epoch 0 | global step 60 | mode train | loss 2.0659 | accuracy 14.0625 | mean_length 64
09-19-21 16:20:56 - epoch 0 | global step 70 | mode train | loss 2.055 | accuracy 14.0625 | mean_length 64
09-19-21 16:22:43 - epoch 0 | global step 80 | mode train | loss 2.0253 | accuracy 15.3125 | mean_length 64
09-19-21 16:24:30 - epoch 0 | global step 90 | mode train | loss 2.0483 | accuracy 10.625 | mean_length 64
09-19-21 16:26:18 - epoch 0 | global step 100 | mode train | loss 1.9909 | accuracy 15.9375 | mean_length 64
09-19-21 16:28:05 - epoch 0 | global step 110 | mode train | loss 2.0435 | accuracy 12.8125 | mean_length 64
09-19-21 16:29:53 - epoch 0 | global step 120 | mode train | loss 2.0842 | accuracy 11.875 | mean_length 64
09-19-21 16:31:40 - epoch 0 | global step 130 | mode train | loss 2.0775 | accuracy 13.4375 | mean_length 64
09-19-21 16:33:28 - epoch 0 | global step 140 | mode train | loss 2.0729 | accuracy 13.4375 | mean_length 64
09-19-21 16:35:15 - epoch 0 | global step 150 | mode train | loss 2.0721 | accuracy 12.8125 | mean_length 64
09-19-21 16:37:02 - epoch 0 | global step 160 | mode train | loss 2.08 | accuracy 15.625 | mean_length 64
09-19-21 16:38:50 - epoch 0 | global step 170 | mode train | loss 2.0785 | accuracy 15.625 | mean_length 64
09-19-21 16:40:37 - epoch 0 | global step 180 | mode train | loss 2.08 | accuracy 12.1875 | mean_length 64
09-19-21 16:42:25 - epoch 0 | global step 190 | mode train | loss 2.0848 | accuracy 10.0 | mean_length 64
09-19-21 16:44:12 - epoch 0 | global step 200 | mode train | loss 2.0734 | accuracy 12.8125 | mean_length 64
09-19-21 16:45:59 - epoch 0 | global step 210 | mode train | loss 2.0539 | accuracy 14.6875 | mean_length 64
09-19-21 16:47:47 - epoch 0 | global step 220 | mode train | loss 2.0602 | accuracy 14.375 | mean_length 64
09-19-21 16:49:34 - epoch 0 | global step 230 | mode train | loss 2.0535 | accuracy 12.8125 | mean_length 64
09-19-21 16:51:22 - epoch 0 | global step 240 | mode train | loss 2.0591 | accuracy 10.9375 | mean_length 64
09-19-21 16:53:09 - epoch 0 | global step 250 | mode train | loss 2.0731 | accuracy 9.0625 | mean_length 64
09-19-21 16:54:56 - epoch 0 | global step 260 | mode train | loss 2.0483 | accuracy 13.4375 | mean_length 64
09-19-21 16:56:44 - epoch 0 | global step 270 | mode train | loss 2.3755 | accuracy 10.9375 | mean_length 63.8094
09-19-21 16:58:31 - epoch 0 | global step 280 | mode train | loss 2.1451 | accuracy 10.625 | mean_length 64
09-19-21 17:00:18 - epoch 0 | global step 290 | mode train | loss 2.1 | accuracy 13.75 | mean_length 64
09-19-21 17:02:04 - epoch 0 | global step 300 | mode train | loss 2.114 | accuracy 9.375 | mean_length 64
09-19-21 17:03:51 - epoch 0 | global step 310 | mode train | loss 2.085 | accuracy 12.1875 | mean_length 64
09-19-21 17:05:37 - epoch 0 | global step 320 | mode train | loss 2.0724 | accuracy 16.5625 | mean_length 64
09-19-21 17:07:24 - epoch 0 | global step 330 | mode train | loss 2.0826 | accuracy 12.1875 | mean_length 64
09-19-21 17:09:10 - epoch 0 | global step 340 | mode train | loss 2.0806 | accuracy 12.5 | mean_length 64
09-19-21 17:10:57 - epoch 0 | global step 350 | mode train | loss 2.0824 | accuracy 11.25 | mean_length 64
09-19-21 17:12:43 - epoch 0 | global step 360 | mode train | loss 2.0786 | accuracy 14.375 | mean_length 64
09-19-21 17:14:30 - epoch 0 | global step 370 | mode train | loss 2.072 | accuracy 14.375 | mean_length 63.8344
09-19-21 17:16:16 - epoch 0 | global step 380 | mode train | loss 2.0707 | accuracy 14.0625 | mean_length 64
09-19-21 17:18:03 - epoch 0 | global step 390 | mode train | loss 2.0651 | accuracy 16.25 | mean_length 64
09-19-21 17:19:49 - epoch 0 | global step 400 | mode train | loss 2.0797 | accuracy 13.4375 | mean_length 64
09-19-21 17:21:36 - epoch 0 | global step 410 | mode train | loss 2.0649 | accuracy 12.8125 | mean_length 64
09-19-21 17:23:22 - epoch 0 | global step 420 | mode train | loss 2.0725 | accuracy 14.375 | mean_length 64
09-19-21 17:25:08 - epoch 0 | global step 430 | mode train | loss 2.0597 | accuracy 13.4375 | mean_length 64
09-19-21 17:26:55 - epoch 0 | global step 440 | mode train | loss 2.0606 | accuracy 15.9375 | mean_length 64
09-19-21 17:28:41 - epoch 0 | global step 450 | mode train | loss 2.0479 | accuracy 13.4375 | mean_length 64
09-19-21 17:30:28 - epoch 0 | global step 460 | mode train | loss 2.0698 | accuracy 15.0 | mean_length 64
09-19-21 17:32:14 - epoch 0 | global step 470 | mode train | loss 2.034 | accuracy 12.5 | mean_length 64
09-19-21 17:34:01 - epoch 0 | global step 480 | mode train | loss 2.074 | accuracy 12.1875 | mean_length 64
09-19-21 17:35:47 - epoch 0 | global step 490 | mode train | loss 2.0756 | accuracy 13.125 | mean_length 64
09-19-21 17:37:34 - epoch 0 | global step 500 | mode train | loss 2.0658 | accuracy 16.5625 | mean_length 64
09-19-21 17:39:20 - epoch 0 | global step 510 | mode train | loss 2.0527 | accuracy 13.125 | mean_length 64
09-19-21 17:49:06 - epoch 0 | global step 512 | mode validation | loss 1.9658 | accuracy 14.98 | mean_length 63.9896
09-19-21 17:49:06 - Saving model to Output/accGrad4_mbart_BTen+zh-captions_lr1.5e-5_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 14.98, Saved to Path: Output/accGrad4_mbart_BTen+zh-captions_lr1.5e-5_7distractors_maxstep8192_seed43
09-19-21 17:50:41 - epoch 0 | global step 520 | mode train | loss 2.0182 | accuracy 13.4375 | mean_length 64
09-19-21 17:52:27 - epoch 0 | global step 530 | mode train | loss 2.0474 | accuracy 12.5 | mean_length 64
09-19-21 17:54:13 - epoch 0 | global step 540 | mode train | loss 2.025 | accuracy 12.8125 | mean_length 64
09-19-21 17:56:00 - epoch 0 | global step 550 | mode train | loss 2.0496 | accuracy 12.5 | mean_length 64
09-19-21 17:57:47 - epoch 0 | global step 560 | mode train | loss 2.0409 | accuracy 14.375 | mean_length 64
09-19-21 17:59:33 - epoch 0 | global step 570 | mode train | loss 2.0218 | accuracy 17.8125 | mean_length 64
09-19-21 18:01:20 - epoch 0 | global step 580 | mode train | loss 2.011 | accuracy 15.625 | mean_length 64
09-19-21 18:03:06 - epoch 0 | global step 590 | mode train | loss 1.9744 | accuracy 15.9375 | mean_length 64
09-19-21 18:04:53 - epoch 0 | global step 600 | mode train | loss 2.0019 | accuracy 16.5625 | mean_length 64
09-19-21 18:06:39 - epoch 0 | global step 610 | mode train | loss 2.0128 | accuracy 17.5 | mean_length 64
09-19-21 18:08:26 - epoch 0 | global step 620 | mode train | loss 1.9826 | accuracy 14.375 | mean_length 64
09-19-21 18:10:12 - epoch 0 | global step 630 | mode train | loss 1.9523 | accuracy 19.6875 | mean_length 64
09-19-21 18:11:58 - epoch 0 | global step 640 | mode train | loss 1.9862 | accuracy 20.3125 | mean_length 64
09-19-21 18:13:45 - epoch 0 | global step 650 | mode train | loss 1.9613 | accuracy 20.9375 | mean_length 64
09-19-21 18:15:31 - epoch 0 | global step 660 | mode train | loss 1.9893 | accuracy 20.9375 | mean_length 64
09-19-21 18:17:18 - epoch 0 | global step 670 | mode train | loss 1.9299 | accuracy 21.875 | mean_length 64
09-19-21 18:19:04 - epoch 0 | global step 680 | mode train | loss 1.9335 | accuracy 21.25 | mean_length 64
09-19-21 18:20:50 - epoch 0 | global step 690 | mode train | loss 1.9499 | accuracy 21.5625 | mean_length 64
09-19-21 18:22:37 - epoch 0 | global step 700 | mode train | loss 1.938 | accuracy 26.25 | mean_length 64
09-19-21 18:24:23 - epoch 0 | global step 710 | mode train | loss 2.0132 | accuracy 15.625 | mean_length 63.8312
09-19-21 18:26:10 - epoch 0 | global step 720 | mode train | loss 1.9864 | accuracy 24.375 | mean_length 64
09-19-21 18:27:56 - epoch 0 | global step 730 | mode train | loss 2.3464 | accuracy 16.25 | mean_length 64
09-19-21 18:29:42 - epoch 0 | global step 740 | mode train | loss 2.1895 | accuracy 10.0 | mean_length 64
09-19-21 18:31:29 - epoch 0 | global step 750 | mode train | loss 2.1188 | accuracy 10.625 | mean_length 64
09-19-21 18:33:15 - epoch 0 | global step 760 | mode train | loss 2.0935 | accuracy 10.0 | mean_length 64
09-19-21 18:35:02 - epoch 0 | global step 770 | mode train | loss 2.0999 | accuracy 14.375 | mean_length 64
09-19-21 18:36:49 - epoch 0 | global step 780 | mode train | loss 2.0716 | accuracy 14.0625 | mean_length 64
09-19-21 18:38:35 - epoch 0 | global step 790 | mode train | loss 2.0762 | accuracy 12.1875 | mean_length 64
09-19-21 18:40:22 - epoch 0 | global step 800 | mode train | loss 2.0664 | accuracy 11.5625 | mean_length 64
09-19-21 18:42:08 - epoch 0 | global step 810 | mode train | loss 2.0314 | accuracy 16.25 | mean_length 64
09-19-21 18:43:55 - epoch 0 | global step 820 | mode train | loss 2.0622 | accuracy 14.375 | mean_length 64
09-19-21 18:45:42 - epoch 0 | global step 830 | mode train | loss 2.0803 | accuracy 12.5 | mean_length 64
09-19-21 18:47:28 - epoch 0 | global step 840 | mode train | loss 2.0775 | accuracy 12.1875 | mean_length 64
09-19-21 18:49:15 - epoch 0 | global step 850 | mode train | loss 2.0746 | accuracy 14.0625 | mean_length 64
