==========================================
SLURM_JOB_ID = 5959016
SLURM_JOB_NODELIST = d14-17
TMPDIR = /tmp/SLURM_5959016
==========================================
/home1/zliu9986/communication-translation
09-19-21 15:53:07 - Dataset Loaded
09-19-21 15:53:07 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/en-zh_ec_captions.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=2e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/bt_en-zh_captions', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_BTen+zh-captions_lr2.0e-5_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-19-21 16:02:56 - epoch 0 | global step 0 | mode validation | loss 2.3707 | accuracy 12.74 | mean_length 33.7326
09-19-21 16:02:56 - Saving model to Output/accGrad4_mbart_BTen+zh-captions_lr2.0e-5_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.74, Saved to Path: Output/accGrad4_mbart_BTen+zh-captions_lr2.0e-5_7distractors_maxstep8192_seed43
09-19-21 16:04:54 - epoch 0 | global step 10 | mode train | loss 2.1282 | accuracy 14.375 | mean_length 56.225
09-19-21 16:06:42 - epoch 0 | global step 20 | mode train | loss 2.0761 | accuracy 15.3125 | mean_length 64
09-19-21 16:08:30 - epoch 0 | global step 30 | mode train | loss 2.1036 | accuracy 12.1875 | mean_length 64
09-19-21 16:10:18 - epoch 0 | global step 40 | mode train | loss 2.0922 | accuracy 12.5 | mean_length 64
09-19-21 16:12:06 - epoch 0 | global step 50 | mode train | loss 2.0677 | accuracy 13.75 | mean_length 64
09-19-21 16:13:53 - epoch 0 | global step 60 | mode train | loss 2.0586 | accuracy 13.75 | mean_length 64
09-19-21 16:15:41 - epoch 0 | global step 70 | mode train | loss 2.1461 | accuracy 12.1875 | mean_length 64
09-19-21 16:17:29 - epoch 0 | global step 80 | mode train | loss 2.0734 | accuracy 14.6875 | mean_length 64
09-19-21 16:19:18 - epoch 0 | global step 90 | mode train | loss 2.0926 | accuracy 11.875 | mean_length 64
09-19-21 16:21:06 - epoch 0 | global step 100 | mode train | loss 2.0835 | accuracy 11.25 | mean_length 64
09-19-21 16:22:54 - epoch 0 | global step 110 | mode train | loss 2.0855 | accuracy 11.25 | mean_length 64
09-19-21 16:24:42 - epoch 0 | global step 120 | mode train | loss 2.0897 | accuracy 11.25 | mean_length 64
