==========================================
SLURM_JOB_ID = 5984731
SLURM_JOB_NODELIST = d14-14
TMPDIR = /tmp/SLURM_5984731
==========================================
/home1/zliu9986/communication-translation
09-21-21 23:01:36 - Dataset Loaded
09-21-21 23:01:36 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/en-zh_ec_captions.yml', cpu=False, csv_headers=['mode', 'epoch', 'global step', 'loss', 'accuracy', 'mean_length'], decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=4e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/bt_en-zh_captions', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_BTen+zh-captions_lr4.0e-6_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-21-21 23:11:05 - epoch 0 | global step 0 | mode validation | loss 2.3707 | accuracy 12.74 | mean_length 33.7326
09-21-21 23:11:05 - Saving model to Output/accGrad4_mbart_BTen+zh-captions_lr4.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.74, Saved to Path: Output/accGrad4_mbart_BTen+zh-captions_lr4.0e-6_7distractors_maxstep8192_seed43
09-21-21 23:13:00 - epoch 0 | global step 10 | mode train | loss 2.2491 | accuracy 13.75 | mean_length 33.7156
09-21-21 23:14:43 - epoch 0 | global step 20 | mode train | loss 2.1668 | accuracy 14.6875 | mean_length 45.6125
09-21-21 23:16:29 - epoch 0 | global step 30 | mode train | loss 2.118 | accuracy 12.8125 | mean_length 53.9031
09-21-21 23:18:15 - epoch 0 | global step 40 | mode train | loss 2.1399 | accuracy 11.25 | mean_length 59.2062
09-21-21 23:20:00 - epoch 0 | global step 50 | mode train | loss 2.0912 | accuracy 13.75 | mean_length 60.3031
09-21-21 23:21:46 - epoch 0 | global step 60 | mode train | loss 2.1014 | accuracy 11.25 | mean_length 61.4281
09-21-21 23:23:31 - epoch 0 | global step 70 | mode train | loss 2.0839 | accuracy 12.8125 | mean_length 61.925
09-21-21 23:25:18 - epoch 0 | global step 80 | mode train | loss 2.0823 | accuracy 15.0 | mean_length 62.1281
09-21-21 23:27:04 - epoch 0 | global step 90 | mode train | loss 2.1089 | accuracy 10.3125 | mean_length 61.4562
09-21-21 23:28:49 - epoch 0 | global step 100 | mode train | loss 2.0936 | accuracy 14.0625 | mean_length 59.9094
09-21-21 23:30:35 - epoch 0 | global step 110 | mode train | loss 2.0554 | accuracy 16.875 | mean_length 59.8813
09-21-21 23:32:21 - epoch 0 | global step 120 | mode train | loss 2.0941 | accuracy 11.875 | mean_length 61.1125
