==========================================
SLURM_JOB_ID = 5860788
SLURM_JOB_NODELIST = d14-05
TMPDIR = /tmp/SLURM_5860788
==========================================
/home1/zliu9986/communication-translation
09-12-21 22:32:51 - Dataset Loaded
09-12-21 22:32:51 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec_en+zh.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1.5e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_BTen+zh_lr1.5e-5_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-12-21 22:42:41 - epoch 0 | global step 0 | mode validation | loss 2.5007 | accuracy 12.38 | mean_length 53.3506
09-12-21 22:42:41 - Saving model to Output/accGrad4_mbart_BTen+zh_lr1.5e-5_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.38, Saved to Path: Output/accGrad4_mbart_BTen+zh_lr1.5e-5_7distractors_maxstep8192_seed43
09-12-21 22:43:45 - epoch 0 | global step 10 | mode train | loss 2.4211 | accuracy 17.8125 | mean_length 20.8281
09-12-21 22:44:07 - epoch 0 | global step 20 | mode train | loss 2.4219 | accuracy 16.25 | mean_length 8.1062
09-12-21 22:44:29 - epoch 0 | global step 30 | mode train | loss 2.4239 | accuracy 12.8125 | mean_length 8.0813
09-12-21 22:45:05 - epoch 0 | global step 40 | mode train | loss 2.3075 | accuracy 12.1875 | mean_length 13.5281
09-12-21 22:45:52 - epoch 0 | global step 50 | mode train | loss 2.2265 | accuracy 13.4375 | mean_length 17.0813
09-12-21 22:46:16 - epoch 0 | global step 60 | mode train | loss 2.2491 | accuracy 9.375 | mean_length 8.625
09-12-21 22:46:30 - epoch 0 | global step 70 | mode train | loss 2.2236 | accuracy 12.8125 | mean_length 5.625
09-12-21 22:47:25 - epoch 0 | global step 80 | mode train | loss 2.177 | accuracy 13.125 | mean_length 15.2562
09-12-21 22:49:12 - epoch 0 | global step 90 | mode train | loss 2.2222 | accuracy 11.5625 | mean_length 36.1875
09-12-21 22:50:59 - epoch 0 | global step 100 | mode train | loss 2.1299 | accuracy 12.1875 | mean_length 40.6125
09-12-21 22:52:43 - epoch 0 | global step 110 | mode train | loss 2.1069 | accuracy 12.5 | mean_length 38.0125
09-12-21 22:54:26 - epoch 0 | global step 120 | mode train | loss 2.1414 | accuracy 11.875 | mean_length 34.9344
09-12-21 22:56:10 - epoch 0 | global step 130 | mode train | loss 2.0955 | accuracy 12.8125 | mean_length 34.15
09-12-21 22:57:52 - epoch 0 | global step 140 | mode train | loss 2.0972 | accuracy 12.5 | mean_length 33.3563
09-12-21 22:59:36 - epoch 0 | global step 150 | mode train | loss 2.1123 | accuracy 11.25 | mean_length 35.4688
09-12-21 23:01:19 - epoch 0 | global step 160 | mode train | loss 2.1139 | accuracy 11.875 | mean_length 34.3875
09-12-21 23:03:04 - epoch 0 | global step 170 | mode train | loss 2.0919 | accuracy 13.75 | mean_length 33.8094
09-12-21 23:04:46 - epoch 0 | global step 180 | mode train | loss 2.0823 | accuracy 13.75 | mean_length 35.525
09-12-21 23:06:29 - epoch 0 | global step 190 | mode train | loss 2.098 | accuracy 12.1875 | mean_length 35.7219
09-12-21 23:08:10 - epoch 0 | global step 200 | mode train | loss 2.0904 | accuracy 13.75 | mean_length 35.2188
09-12-21 23:09:57 - epoch 0 | global step 210 | mode train | loss 2.0649 | accuracy 14.375 | mean_length 39.2875
09-12-21 23:11:42 - epoch 0 | global step 220 | mode train | loss 2.0838 | accuracy 12.5 | mean_length 36.6437
09-12-21 23:13:28 - epoch 0 | global step 230 | mode train | loss 2.1051 | accuracy 11.25 | mean_length 40.1688
09-12-21 23:15:13 - epoch 0 | global step 240 | mode train | loss 2.0813 | accuracy 11.875 | mean_length 40.275
09-12-21 23:17:00 - epoch 0 | global step 250 | mode train | loss 2.067 | accuracy 12.8125 | mean_length 40.3062
09-12-21 23:18:47 - epoch 0 | global step 260 | mode train | loss 2.0645 | accuracy 12.5 | mean_length 42.825
09-12-21 23:20:34 - epoch 0 | global step 270 | mode train | loss 2.0725 | accuracy 12.1875 | mean_length 43.05
09-12-21 23:22:22 - epoch 0 | global step 280 | mode train | loss 2.0689 | accuracy 12.1875 | mean_length 44.4375
09-12-21 23:24:09 - epoch 0 | global step 290 | mode train | loss 2.0584 | accuracy 11.25 | mean_length 47.575
09-12-21 23:25:57 - epoch 0 | global step 300 | mode train | loss 2.0829 | accuracy 9.375 | mean_length 48.0094
09-12-21 23:27:44 - epoch 0 | global step 310 | mode train | loss 2.061 | accuracy 11.875 | mean_length 46.7375
