==========================================
SLURM_JOB_ID = 6120729
SLURM_JOB_NODELIST = d14-05
TMPDIR = /tmp/SLURM_6120729
==========================================
/home1/zliu9986/communication-translation
10-05-21 23:29:28 - Dataset Loaded
10-05-21 23:29:28 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=1, config='Configs/en-zh_ec.yml', cpu=False, csv_headers=['mode', 'epoch', 'global step', 'loss', 'accuracy', 'mean_length'], decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, load_entire_agent=False, lr=6e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/bt_en-zh_baseline/best/', n_gpu=1, no_share_bhd=True, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_warmup_steps=0, output_dir='Output/accGrad4_mbart_BTen+zh_lr6.0e-6_7distractors_maxstep8192_seed43', print_every=32, recurrent_hidden_aggregation=False, recurrent_image_unroll=False, repetition_penalty=1.0, save_output_txt=True, save_pretrain_seperately=True, schedule='constant_w_warmup', seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val')
Not sharing visual system for each agent.
10-05-21 23:40:21 - epoch 0 | global step 0 | mode validation | loss 2.428 | accuracy 12.52 | mean_length 61.3902
10-05-21 23:40:21 - Saving model to Output/accGrad4_mbart_BTen+zh_lr6.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.52, Saved to Path: Output/accGrad4_mbart_BTen+zh_lr6.0e-6_7distractors_maxstep8192_seed43
10-05-21 23:46:12 - epoch 0 | global step 32 | mode train | loss 2.1773 | accuracy 13.5742 | mean_length 62.9229
10-05-21 23:51:53 - epoch 0 | global step 64 | mode train | loss 2.1061 | accuracy 13.2812 | mean_length 64
10-05-21 23:57:34 - epoch 0 | global step 96 | mode train | loss 2.091 | accuracy 13.3789 | mean_length 64
10-06-21 00:03:14 - epoch 0 | global step 128 | mode train | loss 2.0895 | accuracy 12.793 | mean_length 64
10-06-21 00:08:55 - epoch 0 | global step 160 | mode train | loss 2.0907 | accuracy 13.0859 | mean_length 64
10-06-21 00:14:35 - epoch 0 | global step 192 | mode train | loss 2.0629 | accuracy 13.6719 | mean_length 61.875
10-06-21 00:20:16 - epoch 0 | global step 224 | mode train | loss 2.0835 | accuracy 12.9883 | mean_length 53.668
10-06-21 00:25:56 - epoch 0 | global step 256 | mode train | loss 2.0795 | accuracy 13.3789 | mean_length 64
10-06-21 00:31:49 - epoch 0 | global step 288 | mode train | loss 2.0821 | accuracy 14.3555 | mean_length 64
10-06-21 00:37:30 - epoch 0 | global step 320 | mode train | loss 2.0831 | accuracy 11.7188 | mean_length 64
10-06-21 00:43:09 - epoch 0 | global step 352 | mode train | loss 2.074 | accuracy 14.5508 | mean_length 64
10-06-21 00:48:48 - epoch 0 | global step 384 | mode train | loss 2.0829 | accuracy 11.5234 | mean_length 64
10-06-21 00:54:28 - epoch 0 | global step 416 | mode train | loss 2.0842 | accuracy 12.8906 | mean_length 63.9453
