==========================================
SLURM_JOB_ID = 5749451
SLURM_JOB_NODELIST = d13-10
TMPDIR = /tmp/SLURM_5749451
==========================================
/home1/zliu9986/communication-translation
09-01-21 17:54:11 - Dataset Loaded
09-01-21 17:54:11 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=7.5e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed42', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-01-21 17:54:38 - epoch 0 | global step 0 | mode train | loss 2.743 | accuracy 12.5 | mean_length 36.25
09-01-21 18:04:15 - epoch 0 | global step 0 | mode validation | loss 2.7588 | accuracy 12.7 | mean_length 48.111
09-01-21 18:04:15 - Saving model to Output/accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.7, Saved to Path: Output/accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed42
09-01-21 18:04:28 - epoch 0 | global step 0 | mode train | loss 2.5809 | accuracy 25.0 | mean_length 36.25
09-01-21 18:14:07 - epoch 0 | global step 0 | mode validation | loss 2.767 | accuracy 12.34 | mean_length 48.0264
09-01-21 18:14:10 - epoch 0 | global step 0 | mode train | loss 3.5135 | accuracy 0.0 | mean_length 40.875
09-01-21 18:25:23 - epoch 0 | global step 0 | mode validation | loss 2.7545 | accuracy 12.8 | mean_length 47.81
09-01-21 18:25:23 - Saving model to Output/accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.8, Saved to Path: Output/accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed42
09-01-21 18:27:21 - epoch 0 | global step 10 | mode train | loss 2.4804 | accuracy 13.5135 | mean_length 55.6284
09-01-21 18:27:24 - epoch 0 | global step 10 | mode train | loss 1.894 | accuracy 12.5 | mean_length 64
09-01-21 18:27:27 - epoch 0 | global step 10 | mode train | loss 2.2301 | accuracy 12.5 | mean_length 56.625
09-01-21 18:27:30 - epoch 0 | global step 10 | mode train | loss 2.1171 | accuracy 25.0 | mean_length 59
09-01-21 18:29:17 - epoch 0 | global step 20 | mode train | loss 2.227 | accuracy 12.8378 | mean_length 61.1926
09-01-21 18:29:20 - epoch 0 | global step 20 | mode train | loss 2.1394 | accuracy 12.5 | mean_length 61.375
09-01-21 18:29:23 - epoch 0 | global step 20 | mode train | loss 2.0698 | accuracy 12.5 | mean_length 64
09-01-21 18:29:26 - epoch 0 | global step 20 | mode train | loss 2.0475 | accuracy 25.0 | mean_length 62.125
09-01-21 18:31:12 - epoch 0 | global step 30 | mode train | loss 2.1546 | accuracy 10.8108 | mean_length 61.5203
09-01-21 18:31:14 - epoch 0 | global step 30 | mode train | loss 2.1653 | accuracy 0.0 | mean_length 54.125
09-01-21 18:31:17 - epoch 0 | global step 30 | mode train | loss 2.1415 | accuracy 25.0 | mean_length 64
09-01-21 18:31:20 - epoch 0 | global step 30 | mode train | loss 1.9424 | accuracy 37.5 | mean_length 54.75
09-01-21 18:33:05 - epoch 0 | global step 40 | mode train | loss 2.0974 | accuracy 15.8784 | mean_length 58.3784
09-01-21 18:33:08 - epoch 0 | global step 40 | mode train | loss 2.0083 | accuracy 12.5 | mean_length 58.875
09-01-21 18:33:11 - epoch 0 | global step 40 | mode train | loss 2.2526 | accuracy 12.5 | mean_length 64
09-01-21 18:33:13 - epoch 0 | global step 40 | mode train | loss 2.2125 | accuracy 0.0 | mean_length 49
09-01-21 18:34:55 - epoch 0 | global step 50 | mode train | loss 2.1083 | accuracy 13.5135 | mean_length 56.0169
09-01-21 18:34:57 - epoch 0 | global step 50 | mode train | loss 2.1419 | accuracy 0.0 | mean_length 57
09-01-21 18:35:00 - epoch 0 | global step 50 | mode train | loss 2.1394 | accuracy 0.0 | mean_length 54.125
09-01-21 18:35:03 - epoch 0 | global step 50 | mode train | loss 2.1231 | accuracy 12.5 | mean_length 53.25
09-01-21 18:36:44 - epoch 0 | global step 60 | mode train | loss 2.099 | accuracy 13.5135 | mean_length 55.7128
09-01-21 18:36:46 - epoch 0 | global step 60 | mode train | loss 2.078 | accuracy 0.0 | mean_length 55.75
09-01-21 18:36:49 - epoch 0 | global step 60 | mode train | loss 2.0973 | accuracy 12.5 | mean_length 52.375
09-01-21 18:36:52 - epoch 0 | global step 60 | mode train | loss 2.0414 | accuracy 0.0 | mean_length 61
09-01-21 18:38:32 - epoch 0 | global step 70 | mode train | loss 2.0988 | accuracy 13.5135 | mean_length 57.5608
09-01-21 18:38:35 - epoch 0 | global step 70 | mode train | loss 2.0539 | accuracy 25.0 | mean_length 61.375
09-01-21 18:38:38 - epoch 0 | global step 70 | mode train | loss 2.1428 | accuracy 0.0 | mean_length 62.5
09-01-21 18:38:41 - epoch 0 | global step 70 | mode train | loss 2.275 | accuracy 0.0 | mean_length 53
09-01-21 18:40:23 - epoch 0 | global step 80 | mode train | loss 2.095 | accuracy 12.8378 | mean_length 59.0912
09-01-21 18:40:26 - epoch 0 | global step 80 | mode train | loss 2.0819 | accuracy 25.0 | mean_length 62.5
09-01-21 18:40:28 - epoch 0 | global step 80 | mode train | loss 1.9924 | accuracy 25.0 | mean_length 57.5
09-01-21 18:40:31 - epoch 0 | global step 80 | mode train | loss 2.0921 | accuracy 12.5 | mean_length 62.5
09-01-21 18:42:13 - epoch 0 | global step 90 | mode train | loss 2.113 | accuracy 10.8108 | mean_length 59.4088
09-01-21 18:42:16 - epoch 0 | global step 90 | mode train | loss 1.9957 | accuracy 25.0 | mean_length 62.75
09-01-21 18:42:18 - epoch 0 | global step 90 | mode train | loss 2.2088 | accuracy 0.0 | mean_length 64
09-01-21 18:42:21 - epoch 0 | global step 90 | mode train | loss 2.1104 | accuracy 12.5 | mean_length 58.125
09-01-21 18:44:03 - epoch 0 | global step 100 | mode train | loss 2.1068 | accuracy 8.1081 | mean_length 62.0236
09-01-21 18:44:06 - epoch 0 | global step 100 | mode train | loss 2.1673 | accuracy 12.5 | mean_length 64
09-01-21 18:44:08 - epoch 0 | global step 100 | mode train | loss 2.1339 | accuracy 12.5 | mean_length 64
09-01-21 18:44:11 - epoch 0 | global step 100 | mode train | loss 2.0529 | accuracy 12.5 | mean_length 60.5
09-01-21 18:45:53 - epoch 0 | global step 110 | mode train | loss 2.094 | accuracy 13.5135 | mean_length 62.1284
09-01-21 18:45:56 - epoch 0 | global step 110 | mode train | loss 2.1015 | accuracy 12.5 | mean_length 62.5
09-01-21 18:45:58 - epoch 0 | global step 110 | mode train | loss 2.0382 | accuracy 12.5 | mean_length 64
09-01-21 18:46:01 - epoch 0 | global step 110 | mode train | loss 2.1406 | accuracy 0.0 | mean_length 63.5
09-01-21 18:47:43 - epoch 0 | global step 120 | mode train | loss 2.0943 | accuracy 12.1622 | mean_length 62.527
