==========================================
SLURM_JOB_ID = 5860915
SLURM_JOB_NODELIST = d14-07
TMPDIR = /tmp/SLURM_5860915
==========================================
/home1/zliu9986/communication-translation
09-12-21 22:35:34 - Dataset Loaded
09-12-21 22:35:34 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec_en+zh.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=9e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-12-21 22:45:23 - epoch 0 | global step 0 | mode validation | loss 2.5007 | accuracy 12.38 | mean_length 53.3506
09-12-21 22:45:23 - Saving model to Output/accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.38, Saved to Path: Output/accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
09-12-21 22:47:01 - epoch 0 | global step 10 | mode train | loss 2.3822 | accuracy 13.125 | mean_length 32.5812
09-12-21 22:48:48 - epoch 0 | global step 20 | mode train | loss 2.1199 | accuracy 13.125 | mean_length 60.0719
09-12-21 22:50:35 - epoch 0 | global step 30 | mode train | loss 2.1223 | accuracy 10.0 | mean_length 63.85
09-12-21 22:52:22 - epoch 0 | global step 40 | mode train | loss 2.1248 | accuracy 9.375 | mean_length 64
09-12-21 22:54:09 - epoch 0 | global step 50 | mode train | loss 2.0922 | accuracy 17.1875 | mean_length 64
09-12-21 22:55:56 - epoch 0 | global step 60 | mode train | loss 2.0863 | accuracy 11.5625 | mean_length 64
09-12-21 22:57:43 - epoch 0 | global step 70 | mode train | loss 2.0821 | accuracy 10.625 | mean_length 64
09-12-21 22:59:30 - epoch 0 | global step 80 | mode train | loss 2.0805 | accuracy 15.0 | mean_length 64
09-12-21 23:01:17 - epoch 0 | global step 90 | mode train | loss 2.1113 | accuracy 9.0625 | mean_length 64
09-12-21 23:03:04 - epoch 0 | global step 100 | mode train | loss 2.0917 | accuracy 11.875 | mean_length 64
09-12-21 23:04:52 - epoch 0 | global step 110 | mode train | loss 2.0766 | accuracy 15.0 | mean_length 64
09-12-21 23:06:39 - epoch 0 | global step 120 | mode train | loss 2.0917 | accuracy 11.25 | mean_length 64
09-12-21 23:08:26 - epoch 0 | global step 130 | mode train | loss 2.0836 | accuracy 13.75 | mean_length 64
09-12-21 23:10:13 - epoch 0 | global step 140 | mode train | loss 2.0837 | accuracy 12.1875 | mean_length 64
09-12-21 23:12:00 - epoch 0 | global step 150 | mode train | loss 2.0863 | accuracy 11.25 | mean_length 64
09-12-21 23:13:47 - epoch 0 | global step 160 | mode train | loss 2.0864 | accuracy 15.3125 | mean_length 64
09-12-21 23:15:34 - epoch 0 | global step 170 | mode train | loss 2.0806 | accuracy 13.125 | mean_length 64
09-12-21 23:17:21 - epoch 0 | global step 180 | mode train | loss 2.0779 | accuracy 14.0625 | mean_length 64
09-12-21 23:19:08 - epoch 0 | global step 190 | mode train | loss 2.0853 | accuracy 10.625 | mean_length 64
09-12-21 23:20:55 - epoch 0 | global step 200 | mode train | loss 2.0928 | accuracy 12.1875 | mean_length 64
09-12-21 23:22:42 - epoch 0 | global step 210 | mode train | loss 2.0779 | accuracy 11.875 | mean_length 64
09-12-21 23:24:29 - epoch 0 | global step 220 | mode train | loss 2.0837 | accuracy 13.125 | mean_length 64
09-12-21 23:26:16 - epoch 0 | global step 230 | mode train | loss 2.0949 | accuracy 11.5625 | mean_length 64
09-12-21 23:28:02 - epoch 0 | global step 240 | mode train | loss 2.0819 | accuracy 12.8125 | mean_length 64
09-12-21 23:29:49 - epoch 0 | global step 250 | mode train | loss 2.0835 | accuracy 11.25 | mean_length 63.9688
09-12-21 23:31:36 - epoch 0 | global step 260 | mode train | loss 2.0843 | accuracy 13.4375 | mean_length 64
09-12-21 23:33:23 - epoch 0 | global step 270 | mode train | loss 2.0851 | accuracy 12.1875 | mean_length 64
09-12-21 23:35:10 - epoch 0 | global step 280 | mode train | loss 2.0791 | accuracy 12.1875 | mean_length 64
09-12-21 23:36:57 - epoch 0 | global step 290 | mode train | loss 2.0697 | accuracy 14.6875 | mean_length 64
09-12-21 23:38:44 - epoch 0 | global step 300 | mode train | loss 2.0888 | accuracy 8.125 | mean_length 64
09-12-21 23:40:31 - epoch 0 | global step 310 | mode train | loss 2.0569 | accuracy 14.375 | mean_length 64
09-12-21 23:42:17 - epoch 0 | global step 320 | mode train | loss 1.9832 | accuracy 15.625 | mean_length 64
09-12-21 23:44:04 - epoch 0 | global step 330 | mode train | loss 2.0042 | accuracy 14.6875 | mean_length 64
09-12-21 23:45:51 - epoch 0 | global step 340 | mode train | loss 2.071 | accuracy 12.1875 | mean_length 64
09-12-21 23:47:38 - epoch 0 | global step 350 | mode train | loss 2.0824 | accuracy 12.5 | mean_length 64
09-12-21 23:49:24 - epoch 0 | global step 360 | mode train | loss 2.0839 | accuracy 10.9375 | mean_length 64
09-12-21 23:51:11 - epoch 0 | global step 370 | mode train | loss 2.0828 | accuracy 11.5625 | mean_length 63.9937
09-12-21 23:52:58 - epoch 0 | global step 380 | mode train | loss 2.0809 | accuracy 13.75 | mean_length 64
09-12-21 23:54:45 - epoch 0 | global step 390 | mode train | loss 2.0786 | accuracy 13.4375 | mean_length 64
09-12-21 23:56:31 - epoch 0 | global step 400 | mode train | loss 2.0912 | accuracy 9.6875 | mean_length 64
09-12-21 23:58:18 - epoch 0 | global step 410 | mode train | loss 2.0787 | accuracy 16.875 | mean_length 64
09-13-21 00:00:05 - epoch 0 | global step 420 | mode train | loss 2.0855 | accuracy 10.3125 | mean_length 64
09-13-21 00:01:52 - epoch 0 | global step 430 | mode train | loss 2.0734 | accuracy 14.6875 | mean_length 64
09-13-21 00:03:39 - epoch 0 | global step 440 | mode train | loss 2.0801 | accuracy 10.625 | mean_length 64
09-13-21 00:05:26 - epoch 0 | global step 450 | mode train | loss 2.0817 | accuracy 10.625 | mean_length 64
09-13-21 00:07:13 - epoch 0 | global step 460 | mode train | loss 2.0654 | accuracy 12.1875 | mean_length 64
09-13-21 00:09:00 - epoch 0 | global step 470 | mode train | loss 2.1243 | accuracy 16.5625 | mean_length 63.8937
09-13-21 00:10:46 - epoch 0 | global step 480 | mode train | loss 2.0849 | accuracy 11.5625 | mean_length 64
09-13-21 00:12:33 - epoch 0 | global step 490 | mode train | loss 2.0869 | accuracy 12.1875 | mean_length 64
09-13-21 00:14:20 - epoch 0 | global step 500 | mode train | loss 2.0762 | accuracy 14.6875 | mean_length 64
09-13-21 00:16:07 - epoch 0 | global step 510 | mode train | loss 2.0797 | accuracy 14.0625 | mean_length 64
09-13-21 00:25:59 - epoch 0 | global step 512 | mode validation | loss 2.082 | accuracy 12.14 | mean_length 64
09-13-21 00:25:59 - Saving model to Output/accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.14, Saved to Path: Output/accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
09-13-21 00:27:34 - epoch 0 | global step 520 | mode train | loss 2.0891 | accuracy 10.625 | mean_length 64
09-13-21 00:29:21 - epoch 0 | global step 530 | mode train | loss 2.0855 | accuracy 11.25 | mean_length 64
09-13-21 00:31:08 - epoch 0 | global step 540 | mode train | loss 2.0838 | accuracy 11.875 | mean_length 64
09-13-21 00:32:54 - epoch 0 | global step 550 | mode train | loss 2.0776 | accuracy 14.0625 | mean_length 64
09-13-21 00:34:41 - epoch 0 | global step 560 | mode train | loss 2.0796 | accuracy 11.5625 | mean_length 64
09-13-21 00:36:28 - epoch 0 | global step 570 | mode train | loss 2.0831 | accuracy 11.875 | mean_length 64
09-13-21 00:38:15 - epoch 0 | global step 580 | mode train | loss 2.0809 | accuracy 11.5625 | mean_length 64
09-13-21 00:40:01 - epoch 0 | global step 590 | mode train | loss 2.079 | accuracy 13.4375 | mean_length 64
09-13-21 00:41:48 - epoch 0 | global step 600 | mode train | loss 2.0866 | accuracy 11.25 | mean_length 64
