==========================================
SLURM_JOB_ID = 5808292
SLURM_JOB_NODELIST = d13-06
TMPDIR = /tmp/SLURM_5808292
==========================================
/home1/zliu9986/communication-translation
09-08-21 17:43:36 - Dataset Loaded
09-08-21 17:43:36 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec_noBT.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1.5e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_noBT_lr1.5e-5_7distractors_maxstep8192_seed42', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-08-21 17:53:41 - epoch 0 | global step 0 | mode validation | loss 3.3249 | accuracy 12.64 | mean_length 63.292
09-08-21 17:53:41 - Saving model to Output/accGrad4_mbart_noBT_lr1.5e-5_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.64, Saved to Path: Output/accGrad4_mbart_noBT_lr1.5e-5_7distractors_maxstep8192_seed42
09-08-21 17:55:39 - epoch 0 | global step 10 | mode train | loss 2.7071 | accuracy 12.5 | mean_length 59.3563
09-08-21 17:57:27 - epoch 0 | global step 20 | mode train | loss 2.5054 | accuracy 12.1875 | mean_length 64
09-08-21 17:59:14 - epoch 0 | global step 30 | mode train | loss 2.5716 | accuracy 13.4375 | mean_length 64
09-08-21 18:01:02 - epoch 0 | global step 40 | mode train | loss 2.4295 | accuracy 15.3125 | mean_length 64
09-08-21 18:02:50 - epoch 0 | global step 50 | mode train | loss 2.2341 | accuracy 11.875 | mean_length 64
09-08-21 18:04:38 - epoch 0 | global step 60 | mode train | loss 2.0911 | accuracy 13.75 | mean_length 64
09-08-21 18:06:26 - epoch 0 | global step 70 | mode train | loss 2.091 | accuracy 13.125 | mean_length 64
09-08-21 18:08:13 - epoch 0 | global step 80 | mode train | loss 2.088 | accuracy 14.6875 | mean_length 64
09-08-21 18:10:01 - epoch 0 | global step 90 | mode train | loss 2.0935 | accuracy 12.1875 | mean_length 64
09-08-21 18:11:49 - epoch 0 | global step 100 | mode train | loss 2.0908 | accuracy 11.5625 | mean_length 64
09-08-21 18:13:37 - epoch 0 | global step 110 | mode train | loss 2.0904 | accuracy 13.125 | mean_length 64
09-08-21 18:15:24 - epoch 0 | global step 120 | mode train | loss 2.0843 | accuracy 12.5 | mean_length 64
09-08-21 18:17:12 - epoch 0 | global step 130 | mode train | loss 2.0869 | accuracy 15.625 | mean_length 64
09-08-21 18:19:00 - epoch 0 | global step 140 | mode train | loss 2.0905 | accuracy 10.3125 | mean_length 64
09-08-21 18:20:48 - epoch 0 | global step 150 | mode train | loss 2.0909 | accuracy 12.1875 | mean_length 64
09-08-21 18:22:35 - epoch 0 | global step 160 | mode train | loss 2.0927 | accuracy 15.625 | mean_length 64
09-08-21 18:24:23 - epoch 0 | global step 170 | mode train | loss 2.0781 | accuracy 13.75 | mean_length 64
09-08-21 18:26:11 - epoch 0 | global step 180 | mode train | loss 2.0758 | accuracy 15.625 | mean_length 64
09-08-21 18:27:58 - epoch 0 | global step 190 | mode train | loss 2.0893 | accuracy 10.625 | mean_length 64
09-08-21 18:29:46 - epoch 0 | global step 200 | mode train | loss 2.0745 | accuracy 14.6875 | mean_length 64
09-08-21 18:31:33 - epoch 0 | global step 210 | mode train | loss 2.0792 | accuracy 12.8125 | mean_length 64
09-08-21 18:33:21 - epoch 0 | global step 220 | mode train | loss 2.0798 | accuracy 11.875 | mean_length 64
09-08-21 18:35:08 - epoch 0 | global step 230 | mode train | loss 2.0832 | accuracy 14.0625 | mean_length 64
09-08-21 18:36:56 - epoch 0 | global step 240 | mode train | loss 2.0904 | accuracy 8.125 | mean_length 64
09-08-21 18:38:44 - epoch 0 | global step 250 | mode train | loss 2.0854 | accuracy 13.4375 | mean_length 64
09-08-21 18:40:31 - epoch 0 | global step 260 | mode train | loss 2.0799 | accuracy 15.0 | mean_length 64
09-08-21 18:42:19 - epoch 0 | global step 270 | mode train | loss 2.0828 | accuracy 13.4375 | mean_length 64
09-08-21 18:44:07 - epoch 0 | global step 280 | mode train | loss 2.084 | accuracy 12.5 | mean_length 64
09-08-21 18:45:54 - epoch 0 | global step 290 | mode train | loss 2.0752 | accuracy 14.375 | mean_length 64
09-08-21 18:47:42 - epoch 0 | global step 300 | mode train | loss 2.0759 | accuracy 14.6875 | mean_length 64
09-08-21 18:49:29 - epoch 0 | global step 310 | mode train | loss 2.0842 | accuracy 11.25 | mean_length 64
09-08-21 18:51:16 - epoch 0 | global step 320 | mode train | loss 2.0825 | accuracy 10.625 | mean_length 64
09-08-21 18:53:03 - epoch 0 | global step 330 | mode train | loss 2.0785 | accuracy 12.8125 | mean_length 64
09-08-21 18:54:51 - epoch 0 | global step 340 | mode train | loss 2.0818 | accuracy 12.1875 | mean_length 64
09-08-21 18:56:38 - epoch 0 | global step 350 | mode train | loss 2.086 | accuracy 10.9375 | mean_length 64
09-08-21 18:58:25 - epoch 0 | global step 360 | mode train | loss 2.0814 | accuracy 13.4375 | mean_length 64
09-08-21 19:00:13 - epoch 0 | global step 370 | mode train | loss 2.0809 | accuracy 12.5 | mean_length 64
09-08-21 19:02:00 - epoch 0 | global step 380 | mode train | loss 2.0809 | accuracy 10.625 | mean_length 64
09-08-21 19:03:47 - epoch 0 | global step 390 | mode train | loss 2.0895 | accuracy 12.1875 | mean_length 64
09-08-21 19:05:34 - epoch 0 | global step 400 | mode train | loss 2.0871 | accuracy 9.6875 | mean_length 64
09-08-21 19:07:22 - epoch 0 | global step 410 | mode train | loss 2.0825 | accuracy 7.8125 | mean_length 64
09-08-21 19:09:09 - epoch 0 | global step 420 | mode train | loss 2.0805 | accuracy 11.5625 | mean_length 64
09-08-21 19:10:56 - epoch 0 | global step 430 | mode train | loss 2.0828 | accuracy 13.125 | mean_length 64
09-08-21 19:12:44 - epoch 0 | global step 440 | mode train | loss 2.0866 | accuracy 10.625 | mean_length 64
09-08-21 19:14:31 - epoch 0 | global step 450 | mode train | loss 2.0797 | accuracy 13.4375 | mean_length 64
09-08-21 19:16:18 - epoch 0 | global step 460 | mode train | loss 2.0815 | accuracy 14.0625 | mean_length 64
09-08-21 19:18:06 - epoch 0 | global step 470 | mode train | loss 2.0812 | accuracy 12.8125 | mean_length 64
09-08-21 19:19:53 - epoch 0 | global step 480 | mode train | loss 2.0751 | accuracy 16.25 | mean_length 64
09-08-21 19:21:40 - epoch 0 | global step 490 | mode train | loss 2.0738 | accuracy 14.6875 | mean_length 64
09-08-21 19:23:28 - epoch 0 | global step 500 | mode train | loss 2.0819 | accuracy 12.5 | mean_length 64
09-08-21 19:25:15 - epoch 0 | global step 510 | mode train | loss 2.072 | accuracy 15.0 | mean_length 64
09-08-21 19:35:13 - epoch 0 | global step 512 | mode validation | loss 2.0802 | accuracy 12.36 | mean_length 64
09-08-21 19:35:13 - Saving model to Output/accGrad4_mbart_noBT_lr1.5e-5_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.36, Saved to Path: Output/accGrad4_mbart_noBT_lr1.5e-5_7distractors_maxstep8192_seed42
09-08-21 19:36:49 - epoch 0 | global step 520 | mode train | loss 2.0764 | accuracy 13.125 | mean_length 64
09-08-21 19:38:37 - epoch 0 | global step 530 | mode train | loss 2.0654 | accuracy 13.125 | mean_length 64
09-08-21 19:40:24 - epoch 0 | global step 540 | mode train | loss 2.0893 | accuracy 15.3125 | mean_length 64
09-08-21 19:42:12 - epoch 0 | global step 550 | mode train | loss 2.0983 | accuracy 13.125 | mean_length 64
09-08-21 19:44:00 - epoch 0 | global step 560 | mode train | loss 2.0729 | accuracy 17.1875 | mean_length 64
09-08-21 19:45:47 - epoch 0 | global step 570 | mode train | loss 2.0998 | accuracy 11.5625 | mean_length 64
09-08-21 19:47:34 - epoch 0 | global step 580 | mode train | loss 2.1134 | accuracy 8.125 | mean_length 64
09-08-21 19:49:22 - epoch 0 | global step 590 | mode train | loss 2.0906 | accuracy 12.1875 | mean_length 64
09-08-21 19:51:09 - epoch 0 | global step 600 | mode train | loss 2.0985 | accuracy 10.9375 | mean_length 64
09-08-21 19:52:56 - epoch 0 | global step 610 | mode train | loss 2.0871 | accuracy 11.5625 | mean_length 64
09-08-21 19:54:43 - epoch 0 | global step 620 | mode train | loss 2.0833 | accuracy 11.25 | mean_length 64
09-08-21 19:56:31 - epoch 0 | global step 630 | mode train | loss 2.0781 | accuracy 13.4375 | mean_length 64
09-08-21 19:58:18 - epoch 0 | global step 640 | mode train | loss 2.0809 | accuracy 13.4375 | mean_length 64
09-08-21 20:00:05 - epoch 0 | global step 650 | mode train | loss 2.0791 | accuracy 14.0625 | mean_length 64
09-08-21 20:01:52 - epoch 0 | global step 660 | mode train | loss 2.0899 | accuracy 9.0625 | mean_length 64
09-08-21 20:03:39 - epoch 0 | global step 670 | mode train | loss 2.0779 | accuracy 12.8125 | mean_length 64
09-08-21 20:05:27 - epoch 0 | global step 680 | mode train | loss 2.08 | accuracy 12.5 | mean_length 64
