==========================================
SLURM_JOB_ID = 5765103
SLURM_JOB_NODELIST = d13-07
TMPDIR = /tmp/SLURM_5765103
==========================================
/home1/zliu9986/communication-translation
09-03-21 17:26:55 - Dataset Loaded
09-03-21 17:26:55 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec_noBT.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=9e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad4_mbart_noBT_lr9.0e-6_7distractors_maxstep8192_seed43', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
09-03-21 17:37:05 - epoch 0 | global step 0 | mode validation | loss 3.1148 | accuracy 12.42 | mean_length 63.6134
09-03-21 17:37:05 - Saving model to Output/accGrad4_mbart_noBT_lr9.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.42, Saved to Path: Output/accGrad4_mbart_noBT_lr9.0e-6_7distractors_maxstep8192_seed43
09-03-21 17:39:07 - epoch 0 | global step 10 | mode train | loss 2.3432 | accuracy 17.1875 | mean_length 52.2437
09-03-21 17:40:50 - epoch 0 | global step 20 | mode train | loss 2.2967 | accuracy 13.125 | mean_length 36.7844
09-03-21 17:42:09 - epoch 0 | global step 30 | mode train | loss 2.2391 | accuracy 14.0625 | mean_length 20.1281
09-03-21 17:43:32 - epoch 0 | global step 40 | mode train | loss 2.2068 | accuracy 12.5 | mean_length 16.8188
09-03-21 17:45:05 - epoch 0 | global step 50 | mode train | loss 2.1197 | accuracy 12.1875 | mean_length 22.7281
09-03-21 17:46:50 - epoch 0 | global step 60 | mode train | loss 2.1093 | accuracy 13.125 | mean_length 30.4969
09-03-21 17:48:38 - epoch 0 | global step 70 | mode train | loss 2.0967 | accuracy 15.0 | mean_length 40.3281
09-03-21 17:50:26 - epoch 0 | global step 80 | mode train | loss 2.0889 | accuracy 13.4375 | mean_length 43.8969
09-03-21 17:52:16 - epoch 0 | global step 90 | mode train | loss 2.1296 | accuracy 9.0625 | mean_length 44.5344
09-03-21 17:54:07 - epoch 0 | global step 100 | mode train | loss 2.0906 | accuracy 13.75 | mean_length 40.2719
09-03-21 17:55:56 - epoch 0 | global step 110 | mode train | loss 2.0836 | accuracy 13.4375 | mean_length 37.6688
09-03-21 17:57:49 - epoch 0 | global step 120 | mode train | loss 2.1074 | accuracy 11.875 | mean_length 32.9469
09-03-21 17:59:38 - epoch 0 | global step 130 | mode train | loss 2.0957 | accuracy 12.1875 | mean_length 35.4094
09-03-21 18:01:26 - epoch 0 | global step 140 | mode train | loss 2.0843 | accuracy 12.5 | mean_length 31.1187
09-03-21 18:03:12 - epoch 0 | global step 150 | mode train | loss 2.0911 | accuracy 12.5 | mean_length 29.9406
09-03-21 18:05:04 - epoch 0 | global step 160 | mode train | loss 2.0908 | accuracy 13.75 | mean_length 29.2125
09-03-21 18:06:56 - epoch 0 | global step 170 | mode train | loss 2.0888 | accuracy 13.75 | mean_length 35.6719
09-03-21 18:08:45 - epoch 0 | global step 180 | mode train | loss 2.071 | accuracy 15.3125 | mean_length 49.0875
09-03-21 18:10:42 - epoch 0 | global step 190 | mode train | loss 2.0887 | accuracy 10.0 | mean_length 58.9469
09-03-21 18:12:31 - epoch 0 | global step 200 | mode train | loss 2.0922 | accuracy 14.0625 | mean_length 59.4312
09-03-21 18:14:28 - epoch 0 | global step 210 | mode train | loss 2.0684 | accuracy 15.3125 | mean_length 60.2188
09-03-21 18:16:25 - epoch 0 | global step 220 | mode train | loss 2.0875 | accuracy 11.25 | mean_length 61.7406
09-03-21 18:18:22 - epoch 0 | global step 230 | mode train | loss 2.0988 | accuracy 11.875 | mean_length 62.8813
09-03-21 18:20:10 - epoch 0 | global step 240 | mode train | loss 2.1006 | accuracy 9.6875 | mean_length 63.4281
09-03-21 18:22:08 - epoch 0 | global step 250 | mode train | loss 2.0929 | accuracy 10.3125 | mean_length 63.4281
09-03-21 18:24:02 - epoch 0 | global step 260 | mode train | loss 2.0964 | accuracy 12.1875 | mean_length 63.4031
09-03-21 18:26:00 - epoch 0 | global step 270 | mode train | loss 2.0932 | accuracy 10.625 | mean_length 63.4281
09-03-21 18:27:48 - epoch 0 | global step 280 | mode train | loss 2.0878 | accuracy 11.25 | mean_length 63.8094
09-03-21 18:29:46 - epoch 0 | global step 290 | mode train | loss 2.0849 | accuracy 10.9375 | mean_length 63.8094
09-03-21 18:31:42 - epoch 0 | global step 300 | mode train | loss 2.109 | accuracy 9.375 | mean_length 64
09-03-21 18:33:39 - epoch 0 | global step 310 | mode train | loss 2.0877 | accuracy 9.375 | mean_length 63.6187
09-03-21 18:35:27 - epoch 0 | global step 320 | mode train | loss 2.0781 | accuracy 15.3125 | mean_length 63.8094
09-03-21 18:37:15 - epoch 0 | global step 330 | mode train | loss 2.0939 | accuracy 13.125 | mean_length 63.8094
09-03-21 18:39:10 - epoch 0 | global step 340 | mode train | loss 2.0823 | accuracy 14.0625 | mean_length 63.6187
09-03-21 18:40:58 - epoch 0 | global step 350 | mode train | loss 2.0864 | accuracy 14.0625 | mean_length 63.8094
09-03-21 18:42:55 - epoch 0 | global step 360 | mode train | loss 2.0843 | accuracy 12.5 | mean_length 63.8094
09-03-21 18:44:52 - epoch 0 | global step 370 | mode train | loss 2.0852 | accuracy 10.9375 | mean_length 63.6187
09-03-21 18:46:49 - epoch 0 | global step 380 | mode train | loss 2.0818 | accuracy 12.8125 | mean_length 63.4656
09-03-21 18:48:46 - epoch 0 | global step 390 | mode train | loss 2.0816 | accuracy 15.625 | mean_length 62.6844
09-03-21 18:50:43 - epoch 0 | global step 400 | mode train | loss 2.0903 | accuracy 12.1875 | mean_length 63.8094
09-03-21 18:52:40 - epoch 0 | global step 410 | mode train | loss 2.0752 | accuracy 12.1875 | mean_length 63.4312
09-03-21 18:54:37 - epoch 0 | global step 420 | mode train | loss 2.0829 | accuracy 16.875 | mean_length 62.5
09-03-21 18:56:34 - epoch 0 | global step 430 | mode train | loss 2.0747 | accuracy 14.375 | mean_length 63.125
09-03-21 18:58:30 - epoch 0 | global step 440 | mode train | loss 2.0843 | accuracy 15.3125 | mean_length 63.075
09-03-21 19:00:18 - epoch 0 | global step 450 | mode train | loss 2.0861 | accuracy 12.8125 | mean_length 62.3875
09-03-21 19:02:15 - epoch 0 | global step 460 | mode train | loss 2.0767 | accuracy 13.4375 | mean_length 62.8625
09-03-21 19:04:12 - epoch 0 | global step 470 | mode train | loss 2.0802 | accuracy 11.5625 | mean_length 61.7
09-03-21 19:06:09 - epoch 0 | global step 480 | mode train | loss 2.0786 | accuracy 15.0 | mean_length 62.825
09-03-21 19:08:06 - epoch 0 | global step 490 | mode train | loss 2.0616 | accuracy 14.0625 | mean_length 62.4844
09-03-21 19:09:55 - epoch 0 | global step 500 | mode train | loss 2.0568 | accuracy 16.5625 | mean_length 61.5875
09-03-21 19:11:43 - epoch 0 | global step 510 | mode train | loss 2.0606 | accuracy 13.125 | mean_length 61.4813
09-03-21 19:23:32 - epoch 0 | global step 512 | mode validation | loss 2.041 | accuracy 14.4 | mean_length 63.1896
09-03-21 19:23:32 - Saving model to Output/accGrad4_mbart_noBT_lr9.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 14.4, Saved to Path: Output/accGrad4_mbart_noBT_lr9.0e-6_7distractors_maxstep8192_seed43
