==========================================
SLURM_JOB_ID = 6073063
SLURM_JOB_NODELIST = d14-13
TMPDIR = /tmp/SLURM_6073063
==========================================
/home1/zliu9986/communication-translation
09-29-21 17:41:04 - Dataset Loaded
09-29-21 17:41:04 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, config='Configs/en-zh_ec.yml', cpu=False, csv_headers=['mode', 'epoch', 'global step', 'loss', 'accuracy', 'mean_length'], decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=7.5e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/bt_en-zh_baseline/best/', n_gpu=1, no_share_bhd=True, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, output_dir='Output/bf_accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed43', print_every=32, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val')
Not sharing visual system for each agent.
09-29-21 17:51:03 - epoch 0 | global step 0 | mode validation | loss 2.428 | accuracy 12.52 | mean_length 61.3902
09-29-21 17:51:03 - Saving model to Output/bf_accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.52, Saved to Path: Output/bf_accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed43
09-29-21 17:56:55 - epoch 0 | global step 32 | mode train | loss 2.1613 | accuracy 13.3789 | mean_length 63.0879
09-29-21 18:02:37 - epoch 0 | global step 64 | mode train | loss 2.101 | accuracy 13.5742 | mean_length 64
09-29-21 18:08:19 - epoch 0 | global step 96 | mode train | loss 2.0928 | accuracy 13.7695 | mean_length 63.9844
09-29-21 18:14:00 - epoch 0 | global step 128 | mode train | loss 2.0875 | accuracy 12.4023 | mean_length 64
09-29-21 18:19:42 - epoch 0 | global step 160 | mode train | loss 2.0888 | accuracy 13.2812 | mean_length 64
09-29-21 18:25:23 - epoch 0 | global step 192 | mode train | loss 2.0785 | accuracy 12.8906 | mean_length 64
09-29-21 18:31:05 - epoch 0 | global step 224 | mode train | loss 2.061 | accuracy 13.5742 | mean_length 64
09-29-21 18:36:47 - epoch 0 | global step 256 | mode train | loss 2.0632 | accuracy 14.0625 | mean_length 64
09-29-21 18:42:28 - epoch 0 | global step 288 | mode train | loss 2.0446 | accuracy 14.3555 | mean_length 64
09-29-21 18:48:09 - epoch 0 | global step 320 | mode train | loss 2.0402 | accuracy 12.0117 | mean_length 64
09-29-21 18:53:49 - epoch 0 | global step 352 | mode train | loss 2.0189 | accuracy 14.6484 | mean_length 64
09-29-21 18:59:29 - epoch 0 | global step 384 | mode train | loss 2.0685 | accuracy 12.4023 | mean_length 64
09-29-21 19:05:08 - epoch 0 | global step 416 | mode train | loss 2.0016 | accuracy 13.8672 | mean_length 63.9473
09-29-21 19:10:48 - epoch 0 | global step 448 | mode train | loss 1.9995 | accuracy 14.4531 | mean_length 64
09-29-21 19:16:29 - epoch 0 | global step 480 | mode train | loss 1.9677 | accuracy 16.3086 | mean_length 63.9355
09-29-21 19:22:09 - epoch 0 | global step 512 | mode train | loss 1.9399 | accuracy 18.457 | mean_length 63.8418
09-29-21 19:31:40 - epoch 0 | global step 512 | mode validation | loss 1.9653 | accuracy 18.92 | mean_length 64
09-29-21 19:31:40 - Saving model to Output/bf_accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 18.92, Saved to Path: Output/bf_accGrad4_mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192_seed43
09-29-21 19:37:31 - epoch 0 | global step 544 | mode train | loss 1.9559 | accuracy 16.7969 | mean_length 63.4238
09-29-21 19:43:11 - epoch 0 | global step 576 | mode train | loss 2.0078 | accuracy 15.0391 | mean_length 57.3711
09-29-21 19:48:52 - epoch 0 | global step 608 | mode train | loss 2.0148 | accuracy 15.2344 | mean_length 58.8867
09-29-21 19:54:32 - epoch 0 | global step 640 | mode train | loss 1.9266 | accuracy 20.4102 | mean_length 47.1455
