==========================================
SLURM_JOB_ID = 6073831
SLURM_JOB_NODELIST = d11-03
TMPDIR = /tmp/SLURM_6073831
==========================================
/home1/zliu9986/communication-translation
09-29-21 21:47:30 - Dataset Loaded
09-29-21 21:47:30 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, config='Configs/en-zh_ec.yml', cpu=False, csv_headers=['mode', 'epoch', 'global step', 'loss', 'accuracy', 'mean_length'], decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=4, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=9e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/bt_en-zh_baseline/best/', n_gpu=1, no_share_bhd=True, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, output_dir='Output/bf_accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43', print_every=32, save_output_txt=True, save_pretrain_seperately=True, seed=43, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val')
Not sharing visual system for each agent.
09-29-21 21:57:24 - epoch 0 | global step 0 | mode validation | loss 2.428 | accuracy 12.52 | mean_length 61.3902
09-29-21 21:57:24 - Saving model to Output/bf_accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 12.52, Saved to Path: Output/bf_accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
09-29-21 22:03:13 - epoch 0 | global step 32 | mode train | loss 2.1458 | accuracy 13.1836 | mean_length 63.79
09-29-21 22:08:53 - epoch 0 | global step 64 | mode train | loss 2.0967 | accuracy 12.8906 | mean_length 64
09-29-21 22:14:33 - epoch 0 | global step 96 | mode train | loss 2.0789 | accuracy 13.4766 | mean_length 64
09-29-21 22:20:13 - epoch 0 | global step 128 | mode train | loss 2.0756 | accuracy 12.5977 | mean_length 64
09-29-21 22:25:53 - epoch 0 | global step 160 | mode train | loss 2.0836 | accuracy 12.8906 | mean_length 64
09-29-21 22:31:33 - epoch 0 | global step 192 | mode train | loss 2.0128 | accuracy 13.1836 | mean_length 64
09-29-21 22:37:13 - epoch 0 | global step 224 | mode train | loss 2.0226 | accuracy 14.5508 | mean_length 64
09-29-21 22:42:53 - epoch 0 | global step 256 | mode train | loss 2.0238 | accuracy 16.4062 | mean_length 64
09-29-21 22:48:32 - epoch 0 | global step 288 | mode train | loss 2.0789 | accuracy 14.1602 | mean_length 64
09-29-21 22:54:11 - epoch 0 | global step 320 | mode train | loss 2.0811 | accuracy 12.207 | mean_length 64
09-29-21 22:59:49 - epoch 0 | global step 352 | mode train | loss 2.0714 | accuracy 14.2578 | mean_length 64
09-29-21 23:05:28 - epoch 0 | global step 384 | mode train | loss 1.9894 | accuracy 16.2109 | mean_length 64
09-29-21 23:11:06 - epoch 0 | global step 416 | mode train | loss 1.9664 | accuracy 17.9688 | mean_length 64
09-29-21 23:16:45 - epoch 0 | global step 448 | mode train | loss 2.0489 | accuracy 16.0156 | mean_length 64
09-29-21 23:22:24 - epoch 0 | global step 480 | mode train | loss 2.0304 | accuracy 15.7227 | mean_length 64
09-29-21 23:28:02 - epoch 0 | global step 512 | mode train | loss 1.9539 | accuracy 19.1406 | mean_length 64
09-29-21 23:37:27 - epoch 0 | global step 512 | mode validation | loss 1.9843 | accuracy 18.32 | mean_length 64
09-29-21 23:37:27 - Saving model to Output/bf_accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
Epoch: 0, Prediction Accuracy: 18.32, Saved to Path: Output/bf_accGrad4_mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192_seed43
09-29-21 23:43:16 - epoch 0 | global step 544 | mode train | loss 1.951 | accuracy 19.3359 | mean_length 64
09-29-21 23:48:55 - epoch 0 | global step 576 | mode train | loss 1.9803 | accuracy 17.9688 | mean_length 64
09-29-21 23:54:33 - epoch 0 | global step 608 | mode train | loss 1.9621 | accuracy 16.4062 | mean_length 64
09-30-21 00:00:11 - epoch 0 | global step 640 | mode train | loss 1.9506 | accuracy 20.2148 | mean_length 64
09-30-21 00:05:49 - epoch 0 | global step 672 | mode train | loss 1.9565 | accuracy 18.9453 | mean_length 64
09-30-21 00:11:28 - epoch 0 | global step 704 | mode train | loss 1.9909 | accuracy 16.0156 | mean_length 64
09-30-21 00:17:06 - epoch 0 | global step 736 | mode train | loss 1.9444 | accuracy 20.7031 | mean_length 64
09-30-21 00:22:44 - epoch 0 | global step 768 | mode train | loss 1.9569 | accuracy 19.3359 | mean_length 63.9971
09-30-21 00:28:23 - epoch 0 | global step 800 | mode train | loss 2.0343 | accuracy 14.1602 | mean_length 63.9844
09-30-21 00:34:01 - epoch 0 | global step 832 | mode train | loss 2.0645 | accuracy 13.0859 | mean_length 64
09-30-21 00:39:39 - epoch 0 | global step 864 | mode train | loss 2.0735 | accuracy 13.1836 | mean_length 64
09-30-21 00:45:18 - epoch 0 | global step 896 | mode train | loss 2.0688 | accuracy 14.1602 | mean_length 64
09-30-21 00:50:56 - epoch 0 | global step 928 | mode train | loss 2.0681 | accuracy 14.8438 | mean_length 64
09-30-21 00:56:37 - epoch 0 | global step 960 | mode train | loss 2.0807 | accuracy 11.7188 | mean_length 64
09-30-21 01:02:21 - epoch 0 | global step 992 | mode train | loss 2.0731 | accuracy 12.5 | mean_length 64
09-30-21 01:08:05 - epoch 0 | global step 1024 | mode train | loss 2.0726 | accuracy 13.1836 | mean_length 64
09-30-21 01:17:45 - epoch 0 | global step 1024 | mode validation | loss 2.0648 | accuracy 13.46 | mean_length 64
09-30-21 01:23:23 - epoch 0 | global step 1056 | mode train | loss 2.0731 | accuracy 12.4023 | mean_length 64
09-30-21 01:29:01 - epoch 0 | global step 1088 | mode train | loss 2.0747 | accuracy 13.1836 | mean_length 64
09-30-21 01:34:43 - epoch 0 | global step 1120 | mode train | loss 2.0717 | accuracy 11.9141 | mean_length 64
09-30-21 01:40:24 - epoch 0 | global step 1152 | mode train | loss 2.0741 | accuracy 12.9883 | mean_length 64
09-30-21 01:46:06 - epoch 0 | global step 1184 | mode train | loss 2.0732 | accuracy 12.5 | mean_length 64
09-30-21 01:51:47 - epoch 0 | global step 1216 | mode train | loss 2.0623 | accuracy 13.9648 | mean_length 64
09-30-21 01:57:29 - epoch 0 | global step 1248 | mode train | loss 2.0695 | accuracy 12.1094 | mean_length 64
09-30-21 02:03:10 - epoch 0 | global step 1280 | mode train | loss 2.0676 | accuracy 13.0859 | mean_length 64
09-30-21 02:08:52 - epoch 0 | global step 1312 | mode train | loss 2.0775 | accuracy 12.5 | mean_length 64
