==========================================
SLURM_JOB_ID = 5534546
SLURM_JOB_NODELIST = d14-13
TMPDIR = /tmp/SLURM_5534546
==========================================
/home1/zliu9986/communication-translation
08-16-21 16:01:39 - Dataset Loaded
08-16-21 16:01:39 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=12, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=2e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_BTen+zh_lr2e-5_7distractors', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=100, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-16-21 16:02:38 - epoch 0 | global step 10 | mode train | loss 2.4964 | accuracy 11.25 | mean_length 52.975
08-16-21 16:03:06 - epoch 0 | global step 20 | mode train | loss 2.2688 | accuracy 13.75 | mean_length 38.4
08-16-21 16:03:35 - epoch 0 | global step 30 | mode train | loss 2.2422 | accuracy 11.25 | mean_length 60.5625
08-16-21 16:04:02 - epoch 0 | global step 40 | mode train | loss 2.3033 | accuracy 7.5 | mean_length 63.3625
08-16-21 16:04:30 - epoch 0 | global step 50 | mode train | loss 2.2759 | accuracy 20.0 | mean_length 62.8875
08-16-21 16:04:57 - epoch 0 | global step 60 | mode train | loss 2.2788 | accuracy 8.75 | mean_length 63.65
08-16-21 16:05:25 - epoch 0 | global step 70 | mode train | loss 2.3297 | accuracy 11.25 | mean_length 63.5375
08-16-21 16:05:52 - epoch 0 | global step 80 | mode train | loss 2.2756 | accuracy 7.5 | mean_length 64
08-16-21 16:06:20 - epoch 0 | global step 90 | mode train | loss 2.2439 | accuracy 8.75 | mean_length 64
08-16-21 16:06:47 - epoch 0 | global step 100 | mode train | loss 2.1717 | accuracy 11.25 | mean_length 64
08-16-21 16:16:28 - epoch 0 | global step 100 | mode validation | loss 2.4486 | accuracy 12.78 | mean_length 64
08-16-21 16:16:28 - Saving model to Output/mbart_BTen+zh_lr2e-5_7distractors
Epoch: 0, Prediction Accuracy: 12.78, Saved to Path: Output/mbart_BTen+zh_lr2e-5_7distractors
08-16-21 16:17:08 - epoch 0 | global step 110 | mode train | loss 2.0828 | accuracy 12.5 | mean_length 64
08-16-21 16:17:38 - epoch 0 | global step 120 | mode train | loss 2.1072 | accuracy 16.25 | mean_length 64
08-16-21 16:18:07 - epoch 0 | global step 130 | mode train | loss 2.0887 | accuracy 13.75 | mean_length 64
08-16-21 16:18:34 - epoch 0 | global step 140 | mode train | loss 2.1165 | accuracy 13.75 | mean_length 64
08-16-21 16:19:02 - epoch 0 | global step 150 | mode train | loss 2.1063 | accuracy 11.25 | mean_length 63.7625
08-16-21 16:19:29 - epoch 0 | global step 160 | mode train | loss 2.0701 | accuracy 18.75 | mean_length 64
08-16-21 16:19:57 - epoch 0 | global step 170 | mode train | loss 2.0975 | accuracy 17.5 | mean_length 63.6125
08-16-21 16:20:25 - epoch 0 | global step 180 | mode train | loss 2.0822 | accuracy 13.75 | mean_length 63.45
08-16-21 16:20:52 - epoch 0 | global step 190 | mode train | loss 2.0478 | accuracy 25.0 | mean_length 63.225
08-16-21 16:21:20 - epoch 0 | global step 200 | mode train | loss 2.0733 | accuracy 16.25 | mean_length 61.8625
08-16-21 16:31:03 - epoch 0 | global step 200 | mode validation | loss 2.2736 | accuracy 13.12 | mean_length 62.7774
08-16-21 16:31:03 - Saving model to Output/mbart_BTen+zh_lr2e-5_7distractors
Epoch: 0, Prediction Accuracy: 13.12, Saved to Path: Output/mbart_BTen+zh_lr2e-5_7distractors
08-16-21 16:31:42 - epoch 0 | global step 210 | mode train | loss 2.0899 | accuracy 10.0 | mean_length 61.8625
08-16-21 16:32:11 - epoch 0 | global step 220 | mode train | loss 2.0704 | accuracy 16.25 | mean_length 63.2875
08-16-21 16:32:39 - epoch 0 | global step 230 | mode train | loss 2.0498 | accuracy 15.0 | mean_length 60.9625
08-16-21 16:33:06 - epoch 0 | global step 240 | mode train | loss 2.113 | accuracy 18.75 | mean_length 63.5
08-16-21 16:33:33 - epoch 0 | global step 250 | mode train | loss 2.1251 | accuracy 17.5 | mean_length 63.2875
08-16-21 16:34:01 - epoch 0 | global step 260 | mode train | loss 2.2383 | accuracy 13.75 | mean_length 63.075
08-16-21 16:34:28 - epoch 0 | global step 270 | mode train | loss 2.1861 | accuracy 12.5 | mean_length 64
08-16-21 16:34:56 - epoch 0 | global step 280 | mode train | loss 2.1965 | accuracy 12.5 | mean_length 64
08-16-21 16:35:23 - epoch 0 | global step 290 | mode train | loss 2.2061 | accuracy 12.5 | mean_length 64
08-16-21 16:35:50 - epoch 0 | global step 300 | mode train | loss 2.2122 | accuracy 7.5 | mean_length 63.55
08-16-21 16:45:31 - epoch 0 | global step 300 | mode validation | loss 2.2291 | accuracy 12.96 | mean_length 64
08-16-21 16:45:31 - Saving model to Output/mbart_BTen+zh_lr2e-5_7distractors
Epoch: 0, Prediction Accuracy: 12.96, Saved to Path: Output/mbart_BTen+zh_lr2e-5_7distractors
08-16-21 16:46:11 - epoch 0 | global step 310 | mode train | loss 2.1476 | accuracy 11.25 | mean_length 64
08-16-21 16:46:39 - epoch 0 | global step 320 | mode train | loss 2.0371 | accuracy 13.75 | mean_length 63.25
08-16-21 16:47:08 - epoch 0 | global step 330 | mode train | loss 2.0778 | accuracy 13.75 | mean_length 64
08-16-21 16:47:36 - epoch 0 | global step 340 | mode train | loss 2.0987 | accuracy 7.5 | mean_length 64
08-16-21 16:48:05 - epoch 0 | global step 350 | mode train | loss 2.0777 | accuracy 15.0 | mean_length 64
08-16-21 16:48:34 - epoch 0 | global step 360 | mode train | loss 2.0784 | accuracy 20.0 | mean_length 64
08-16-21 16:49:04 - epoch 0 | global step 370 | mode train | loss 2.087 | accuracy 6.25 | mean_length 64
08-16-21 16:49:34 - epoch 0 | global step 380 | mode train | loss 2.0767 | accuracy 15.0 | mean_length 64
08-16-21 16:50:04 - epoch 0 | global step 390 | mode train | loss 2.0859 | accuracy 7.5 | mean_length 64
08-16-21 16:50:33 - epoch 0 | global step 400 | mode train | loss 2.0803 | accuracy 15.0 | mean_length 64
08-16-21 17:00:16 - epoch 0 | global step 400 | mode validation | loss 2.0801 | accuracy 12.88 | mean_length 64
08-16-21 17:00:16 - Saving model to Output/mbart_BTen+zh_lr2e-5_7distractors
Epoch: 0, Prediction Accuracy: 12.88, Saved to Path: Output/mbart_BTen+zh_lr2e-5_7distractors
08-16-21 17:00:55 - epoch 0 | global step 410 | mode train | loss 2.0827 | accuracy 13.75 | mean_length 64
08-16-21 17:01:22 - epoch 0 | global step 420 | mode train | loss 2.0851 | accuracy 11.25 | mean_length 64
08-16-21 17:01:50 - epoch 0 | global step 430 | mode train | loss 2.0792 | accuracy 8.75 | mean_length 64
08-16-21 17:02:17 - epoch 0 | global step 440 | mode train | loss 2.0765 | accuracy 16.25 | mean_length 64
08-16-21 17:02:45 - epoch 0 | global step 450 | mode train | loss 2.0725 | accuracy 13.75 | mean_length 64
08-16-21 17:03:12 - epoch 0 | global step 460 | mode train | loss 2.0792 | accuracy 11.25 | mean_length 64
08-16-21 17:03:39 - epoch 0 | global step 470 | mode train | loss 2.09 | accuracy 5.0 | mean_length 64
08-16-21 17:04:07 - epoch 0 | global step 480 | mode train | loss 2.0783 | accuracy 8.75 | mean_length 64
08-16-21 17:04:34 - epoch 0 | global step 490 | mode train | loss 2.0797 | accuracy 15.0 | mean_length 64
08-16-21 17:05:02 - epoch 0 | global step 500 | mode train | loss 2.0857 | accuracy 8.75 | mean_length 64
08-16-21 17:14:41 - epoch 0 | global step 500 | mode validation | loss 2.0801 | accuracy 13.2 | mean_length 64
