==========================================
SLURM_JOB_ID = 5535009
SLURM_JOB_NODELIST = d13-03
TMPDIR = /tmp/SLURM_5535009
==========================================
/home1/zliu9986/communication-translation
08-17-21 01:00:36 - Dataset Loaded
08-17-21 01:00:36 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=12, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=2e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_BTen+zh_lr5e-6_7distractors', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=100, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-17-21 01:01:35 - epoch 0 | global step 10 | mode train | loss 2.2547 | accuracy 12.5 | mean_length 59.475
08-17-21 01:02:04 - epoch 0 | global step 20 | mode train | loss 2.0827 | accuracy 13.75 | mean_length 64
08-17-21 01:02:32 - epoch 0 | global step 30 | mode train | loss 2.1398 | accuracy 10.0 | mean_length 64
08-17-21 01:03:01 - epoch 0 | global step 40 | mode train | loss 2.1043 | accuracy 10.0 | mean_length 64
08-17-21 01:03:29 - epoch 0 | global step 50 | mode train | loss 2.0669 | accuracy 18.75 | mean_length 64
08-17-21 01:03:57 - epoch 0 | global step 60 | mode train | loss 2.0969 | accuracy 8.75 | mean_length 64
08-17-21 01:04:25 - epoch 0 | global step 70 | mode train | loss 2.085 | accuracy 8.75 | mean_length 64
08-17-21 01:04:53 - epoch 0 | global step 80 | mode train | loss 2.0891 | accuracy 11.25 | mean_length 64
08-17-21 01:05:20 - epoch 0 | global step 90 | mode train | loss 2.0851 | accuracy 11.25 | mean_length 64
08-17-21 01:05:48 - epoch 0 | global step 100 | mode train | loss 2.0905 | accuracy 12.5 | mean_length 64
08-17-21 01:15:29 - epoch 0 | global step 100 | mode validation | loss 2.0822 | accuracy 12.46 | mean_length 64
08-17-21 01:15:29 - Saving model to Output/mbart_BTen+zh_lr5e-6_7distractors
Epoch: 0, Prediction Accuracy: 12.46, Saved to Path: Output/mbart_BTen+zh_lr5e-6_7distractors
08-17-21 01:16:07 - epoch 0 | global step 110 | mode train | loss 2.0652 | accuracy 15.0 | mean_length 64
08-17-21 01:16:34 - epoch 0 | global step 120 | mode train | loss 2.0802 | accuracy 13.75 | mean_length 64
