==========================================
SLURM_JOB_ID = 5604688
SLURM_JOB_NODELIST = d14-11
TMPDIR = /tmp/SLURM_5604688
==========================================
/home1/zliu9986/communication-translation
08-20-21 21:27:52 - Dataset Loaded
08-20-21 21:27:52 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=7.5e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-20-21 21:28:19 - epoch 0 | global step 0 | mode train | loss 2.743 | accuracy 12.5 | mean_length 36.25
08-20-21 21:38:07 - epoch 0 | global step 0 | mode validation | loss 2.7588 | accuracy 12.7 | mean_length 48.111
08-20-21 21:38:07 - Saving model to Output/mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192
Epoch: 0, Prediction Accuracy: 12.7, Saved to Path: Output/mbart_BTen+zh_lr7.5e-6_7distractors_maxstep8192
08-20-21 21:39:10 - epoch 0 | global step 10 | mode train | loss 2.4623 | accuracy 13.1579 | mean_length 43.0526
08-20-21 21:39:13 - epoch 0 | global step 10 | mode train | loss 2.1683 | accuracy 25.0 | mean_length 52.625
08-20-21 21:40:06 - epoch 0 | global step 20 | mode train | loss 2.2677 | accuracy 10.5263 | mean_length 54.2171
08-20-21 21:40:09 - epoch 0 | global step 20 | mode train | loss 1.8269 | accuracy 25.0 | mean_length 61.875
08-20-21 21:41:02 - epoch 0 | global step 30 | mode train | loss 2.1264 | accuracy 12.5 | mean_length 61.2697
08-20-21 21:41:05 - epoch 0 | global step 30 | mode train | loss 2.131 | accuracy 0.0 | mean_length 59
08-20-21 21:41:58 - epoch 0 | global step 40 | mode train | loss 2.11 | accuracy 13.1579 | mean_length 62.8882
08-20-21 21:42:01 - epoch 0 | global step 40 | mode train | loss 2.1051 | accuracy 12.5 | mean_length 64
08-20-21 21:42:53 - epoch 0 | global step 50 | mode train | loss 2.0979 | accuracy 9.8684 | mean_length 62.9342
08-20-21 21:42:56 - epoch 0 | global step 50 | mode train | loss 2.0824 | accuracy 12.5 | mean_length 64
08-20-21 21:43:49 - epoch 0 | global step 60 | mode train | loss 2.0881 | accuracy 14.4737 | mean_length 63.2303
