==========================================
SLURM_JOB_ID = 5634914
SLURM_JOB_NODELIST = d14-08
TMPDIR = /tmp/SLURM_5634914
==========================================
/home1/zliu9986/communication-translation
08-24-21 07:52:16 - Dataset Loaded
08-24-21 07:52:16 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=9e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-24-21 07:52:44 - epoch 0 | global step 0 | mode train | loss 2.743 | accuracy 12.5 | mean_length 36.25
08-24-21 08:02:30 - epoch 0 | global step 0 | mode validation | loss 2.7588 | accuracy 12.7 | mean_length 48.111
08-24-21 08:02:30 - Saving model to Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192
Epoch: 0, Prediction Accuracy: 12.7, Saved to Path: Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192
08-24-21 08:03:33 - epoch 0 | global step 10 | mode train | loss 2.4056 | accuracy 13.1579 | mean_length 49.9737
08-24-21 08:03:36 - epoch 0 | global step 10 | mode train | loss 2.1708 | accuracy 25.0 | mean_length 62
08-24-21 08:04:29 - epoch 0 | global step 20 | mode train | loss 2.2369 | accuracy 10.5263 | mean_length 63.1711
08-24-21 08:04:32 - epoch 0 | global step 20 | mode train | loss 1.8605 | accuracy 25.0 | mean_length 64
08-24-21 08:05:25 - epoch 0 | global step 30 | mode train | loss 2.1203 | accuracy 13.1579 | mean_length 64
08-24-21 08:05:27 - epoch 0 | global step 30 | mode train | loss 2.1296 | accuracy 0.0 | mean_length 64
08-24-21 08:06:20 - epoch 0 | global step 40 | mode train | loss 2.1083 | accuracy 12.5 | mean_length 64
08-24-21 08:06:22 - epoch 0 | global step 40 | mode train | loss 2.1064 | accuracy 12.5 | mean_length 64
08-24-21 08:07:15 - epoch 0 | global step 50 | mode train | loss 2.0955 | accuracy 9.8684 | mean_length 64
08-24-21 08:07:17 - epoch 0 | global step 50 | mode train | loss 2.0805 | accuracy 12.5 | mean_length 64
08-24-21 08:08:10 - epoch 0 | global step 60 | mode train | loss 2.0858 | accuracy 16.4474 | mean_length 64
08-24-21 08:08:13 - epoch 0 | global step 60 | mode train | loss 2.1021 | accuracy 0.0 | mean_length 64
08-24-21 08:09:05 - epoch 0 | global step 70 | mode train | loss 2.071 | accuracy 13.1579 | mean_length 64
08-24-21 08:09:08 - epoch 0 | global step 70 | mode train | loss 2.1371 | accuracy 12.5 | mean_length 64
08-24-21 08:10:00 - epoch 0 | global step 80 | mode train | loss 2.0753 | accuracy 15.1316 | mean_length 64
08-24-21 08:10:03 - epoch 0 | global step 80 | mode train | loss 2.0634 | accuracy 12.5 | mean_length 64
08-24-21 08:10:56 - epoch 0 | global step 90 | mode train | loss 2.1013 | accuracy 13.1579 | mean_length 64
08-24-21 08:10:59 - epoch 0 | global step 90 | mode train | loss 2.0298 | accuracy 37.5 | mean_length 64
08-24-21 08:11:52 - epoch 0 | global step 100 | mode train | loss 2.0597 | accuracy 14.4737 | mean_length 64
08-24-21 08:11:55 - epoch 0 | global step 100 | mode train | loss 2.1678 | accuracy 0.0 | mean_length 64
08-24-21 08:12:48 - epoch 0 | global step 110 | mode train | loss 2.0641 | accuracy 17.7632 | mean_length 64
08-24-21 08:12:51 - epoch 0 | global step 110 | mode train | loss 1.9807 | accuracy 37.5 | mean_length 64
08-24-21 08:13:43 - epoch 0 | global step 120 | mode train | loss 2.0825 | accuracy 13.8158 | mean_length 64
08-24-21 08:13:46 - epoch 0 | global step 120 | mode train | loss 2.0362 | accuracy 25.0 | mean_length 64
08-24-21 08:14:39 - epoch 0 | global step 130 | mode train | loss 2.0444 | accuracy 12.5 | mean_length 64
08-24-21 08:14:42 - epoch 0 | global step 130 | mode train | loss 2.1276 | accuracy 12.5 | mean_length 64
08-24-21 08:15:35 - epoch 0 | global step 140 | mode train | loss 2.0876 | accuracy 13.1579 | mean_length 64
08-24-21 08:15:38 - epoch 0 | global step 140 | mode train | loss 2.0763 | accuracy 12.5 | mean_length 64
08-24-21 08:16:32 - epoch 0 | global step 150 | mode train | loss 2.0951 | accuracy 11.8421 | mean_length 64
08-24-21 08:16:34 - epoch 0 | global step 150 | mode train | loss 2.0862 | accuracy 0.0 | mean_length 64
08-24-21 08:17:27 - epoch 0 | global step 160 | mode train | loss 2.0868 | accuracy 15.1316 | mean_length 64
08-24-21 08:17:30 - epoch 0 | global step 160 | mode train | loss 2.0809 | accuracy 12.5 | mean_length 64
08-24-21 08:18:23 - epoch 0 | global step 170 | mode train | loss 2.093 | accuracy 13.1579 | mean_length 64
08-24-21 08:18:26 - epoch 0 | global step 170 | mode train | loss 2.0044 | accuracy 50.0 | mean_length 64
08-24-21 08:19:19 - epoch 0 | global step 180 | mode train | loss 2.0898 | accuracy 14.4737 | mean_length 64
08-24-21 08:19:22 - epoch 0 | global step 180 | mode train | loss 2.058 | accuracy 12.5 | mean_length 64
08-24-21 08:20:15 - epoch 0 | global step 190 | mode train | loss 2.0992 | accuracy 10.5263 | mean_length 64
08-24-21 08:20:18 - epoch 0 | global step 190 | mode train | loss 2.0859 | accuracy 0.0 | mean_length 64
08-24-21 08:21:10 - epoch 0 | global step 200 | mode train | loss 2.0898 | accuracy 9.8684 | mean_length 64
08-24-21 08:21:13 - epoch 0 | global step 200 | mode train | loss 2.1582 | accuracy 0.0 | mean_length 64
08-24-21 08:22:05 - epoch 0 | global step 210 | mode train | loss 2.0864 | accuracy 13.8158 | mean_length 64
08-24-21 08:22:07 - epoch 0 | global step 210 | mode train | loss 2.1033 | accuracy 0.0 | mean_length 64
08-24-21 08:22:59 - epoch 0 | global step 220 | mode train | loss 2.082 | accuracy 11.8421 | mean_length 64
08-24-21 08:23:02 - epoch 0 | global step 220 | mode train | loss 2.0513 | accuracy 25.0 | mean_length 64
08-24-21 08:23:54 - epoch 0 | global step 230 | mode train | loss 2.0743 | accuracy 14.4737 | mean_length 64
08-24-21 08:23:57 - epoch 0 | global step 230 | mode train | loss 2.0768 | accuracy 12.5 | mean_length 64
08-24-21 08:24:49 - epoch 0 | global step 240 | mode train | loss 2.0902 | accuracy 9.8684 | mean_length 64
08-24-21 08:24:52 - epoch 0 | global step 240 | mode train | loss 2.1307 | accuracy 12.5 | mean_length 64
08-24-21 08:25:45 - epoch 0 | global step 250 | mode train | loss 2.085 | accuracy 7.8947 | mean_length 64
08-24-21 08:25:48 - epoch 0 | global step 250 | mode train | loss 2.0277 | accuracy 37.5 | mean_length 64
08-24-21 08:26:41 - epoch 0 | global step 260 | mode train | loss 2.0769 | accuracy 11.8421 | mean_length 64
08-24-21 08:26:43 - epoch 0 | global step 260 | mode train | loss 2.0583 | accuracy 25.0 | mean_length 64
08-24-21 08:27:36 - epoch 0 | global step 270 | mode train | loss 2.0922 | accuracy 9.8684 | mean_length 64
08-24-21 08:27:39 - epoch 0 | global step 270 | mode train | loss 2.1509 | accuracy 0.0 | mean_length 64
08-24-21 08:28:32 - epoch 0 | global step 280 | mode train | loss 2.082 | accuracy 13.1579 | mean_length 64
08-24-21 08:28:35 - epoch 0 | global step 280 | mode train | loss 2.0932 | accuracy 12.5 | mean_length 64
08-24-21 08:29:28 - epoch 0 | global step 290 | mode train | loss 2.087 | accuracy 13.1579 | mean_length 64
08-24-21 08:29:31 - epoch 0 | global step 290 | mode train | loss 2.1177 | accuracy 12.5 | mean_length 64
08-24-21 08:30:24 - epoch 0 | global step 300 | mode train | loss 2.0863 | accuracy 9.2105 | mean_length 64
08-24-21 08:30:27 - epoch 0 | global step 300 | mode train | loss 2.0596 | accuracy 37.5 | mean_length 64
08-24-21 08:31:20 - epoch 0 | global step 310 | mode train | loss 2.0818 | accuracy 17.1053 | mean_length 64
08-24-21 08:31:22 - epoch 0 | global step 310 | mode train | loss 2.1126 | accuracy 0.0 | mean_length 64
08-24-21 08:32:16 - epoch 0 | global step 320 | mode train | loss 2.0932 | accuracy 12.5 | mean_length 64
08-24-21 08:32:18 - epoch 0 | global step 320 | mode train | loss 2.0387 | accuracy 25.0 | mean_length 64
08-24-21 08:33:11 - epoch 0 | global step 330 | mode train | loss 2.0797 | accuracy 15.1316 | mean_length 64
08-24-21 08:33:14 - epoch 0 | global step 330 | mode train | loss 2.0697 | accuracy 25.0 | mean_length 64
08-24-21 08:34:07 - epoch 0 | global step 340 | mode train | loss 2.0779 | accuracy 16.4474 | mean_length 64
08-24-21 08:34:09 - epoch 0 | global step 340 | mode train | loss 2.0978 | accuracy 12.5 | mean_length 64
08-24-21 08:35:01 - epoch 0 | global step 350 | mode train | loss 2.0803 | accuracy 10.5263 | mean_length 64
08-24-21 08:35:04 - epoch 0 | global step 350 | mode train | loss 2.0926 | accuracy 0.0 | mean_length 64
08-24-21 08:35:56 - epoch 0 | global step 360 | mode train | loss 2.072 | accuracy 17.7632 | mean_length 64
08-24-21 08:35:59 - epoch 0 | global step 360 | mode train | loss 2.115 | accuracy 0.0 | mean_length 64
08-24-21 08:36:52 - epoch 0 | global step 370 | mode train | loss 2.0869 | accuracy 12.5 | mean_length 64
08-24-21 08:36:54 - epoch 0 | global step 370 | mode train | loss 2.0387 | accuracy 25.0 | mean_length 64
08-24-21 08:37:48 - epoch 0 | global step 380 | mode train | loss 2.0871 | accuracy 13.8158 | mean_length 64
08-24-21 08:37:50 - epoch 0 | global step 380 | mode train | loss 2.0721 | accuracy 25.0 | mean_length 64
08-24-21 08:38:44 - epoch 0 | global step 390 | mode train | loss 2.076 | accuracy 14.4737 | mean_length 64
08-24-21 08:38:46 - epoch 0 | global step 390 | mode train | loss 2.0941 | accuracy 37.5 | mean_length 64
08-24-21 08:39:39 - epoch 0 | global step 400 | mode train | loss 2.0765 | accuracy 11.8421 | mean_length 64
08-24-21 08:39:42 - epoch 0 | global step 400 | mode train | loss 2.0751 | accuracy 12.5 | mean_length 64
08-24-21 08:40:35 - epoch 0 | global step 410 | mode train | loss 2.0737 | accuracy 13.1579 | mean_length 64
08-24-21 08:40:38 - epoch 0 | global step 410 | mode train | loss 2.1268 | accuracy 0.0 | mean_length 64
08-24-21 08:41:32 - epoch 0 | global step 420 | mode train | loss 2.0832 | accuracy 15.1316 | mean_length 64
08-24-21 08:41:34 - epoch 0 | global step 420 | mode train | loss 2.0837 | accuracy 12.5 | mean_length 64
08-24-21 08:42:26 - epoch 0 | global step 430 | mode train | loss 2.072 | accuracy 15.7895 | mean_length 64
08-24-21 08:42:29 - epoch 0 | global step 430 | mode train | loss 2.1243 | accuracy 0.0 | mean_length 64
08-24-21 08:43:21 - epoch 0 | global step 440 | mode train | loss 2.0867 | accuracy 9.8684 | mean_length 64
08-24-21 08:43:24 - epoch 0 | global step 440 | mode train | loss 2.0553 | accuracy 25.0 | mean_length 64
08-24-21 08:44:16 - epoch 0 | global step 450 | mode train | loss 2.0837 | accuracy 13.8158 | mean_length 64
08-24-21 08:44:18 - epoch 0 | global step 450 | mode train | loss 2.1126 | accuracy 12.5 | mean_length 64
08-24-21 08:45:10 - epoch 0 | global step 460 | mode train | loss 2.0772 | accuracy 15.1316 | mean_length 64
08-24-21 08:45:13 - epoch 0 | global step 460 | mode train | loss 2.0895 | accuracy 37.5 | mean_length 64
08-24-21 08:46:05 - epoch 0 | global step 470 | mode train | loss 2.0936 | accuracy 10.5263 | mean_length 64
08-24-21 08:46:08 - epoch 0 | global step 470 | mode train | loss 2.0072 | accuracy 25.0 | mean_length 64
08-24-21 08:47:00 - epoch 0 | global step 480 | mode train | loss 2.0977 | accuracy 9.8684 | mean_length 64
08-24-21 08:47:03 - epoch 0 | global step 480 | mode train | loss 2.1087 | accuracy 0.0 | mean_length 64
08-24-21 08:47:54 - epoch 0 | global step 490 | mode train | loss 2.0674 | accuracy 14.4737 | mean_length 64
08-24-21 08:47:57 - epoch 0 | global step 490 | mode train | loss 2.0226 | accuracy 37.5 | mean_length 64
08-24-21 08:48:50 - epoch 0 | global step 500 | mode train | loss 2.0637 | accuracy 13.1579 | mean_length 64
08-24-21 08:48:53 - epoch 0 | global step 500 | mode train | loss 2.0566 | accuracy 25.0 | mean_length 64
08-24-21 08:49:44 - epoch 0 | global step 510 | mode train | loss 2.0497 | accuracy 13.8158 | mean_length 64
08-24-21 08:49:47 - epoch 0 | global step 510 | mode train | loss 2.0639 | accuracy 25.0 | mean_length 64
08-24-21 08:59:44 - epoch 0 | global step 512 | mode validation | loss 2.0509 | accuracy 12.16 | mean_length 64
08-24-21 08:59:44 - Saving model to Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192
Epoch: 0, Prediction Accuracy: 12.16, Saved to Path: Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192
08-24-21 09:09:39 - epoch 0 | global step 512 | mode validation | loss 2.0494 | accuracy 12.14 | mean_length 64
08-24-21 09:09:39 - Saving model to Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192
Epoch: 0, Prediction Accuracy: 12.14, Saved to Path: Output/mbart_BTen+zh_lr9.0e-6_7distractors_maxstep8192
08-24-21 09:10:30 - epoch 0 | global step 520 | mode train | loss 2.0315 | accuracy 13.1579 | mean_length 64
08-24-21 09:10:33 - epoch 0 | global step 520 | mode train | loss 2.0464 | accuracy 25.0 | mean_length 64
08-24-21 09:11:25 - epoch 0 | global step 530 | mode train | loss 2.0408 | accuracy 15.7895 | mean_length 64
08-24-21 09:11:27 - epoch 0 | global step 530 | mode train | loss 1.9494 | accuracy 12.5 | mean_length 64
08-24-21 09:12:19 - epoch 0 | global step 540 | mode train | loss 2.011 | accuracy 12.5 | mean_length 64
08-24-21 09:12:22 - epoch 0 | global step 540 | mode train | loss 2.082 | accuracy 12.5 | mean_length 64
08-24-21 09:13:14 - epoch 0 | global step 550 | mode train | loss 2.0661 | accuracy 15.7895 | mean_length 64
08-24-21 09:13:17 - epoch 0 | global step 550 | mode train | loss 2.1274 | accuracy 12.5 | mean_length 64
08-24-21 09:14:08 - epoch 0 | global step 560 | mode train | loss 2.0729 | accuracy 10.5263 | mean_length 64
08-24-21 09:14:11 - epoch 0 | global step 560 | mode train | loss 2.1103 | accuracy 25.0 | mean_length 64
08-24-21 09:15:03 - epoch 0 | global step 570 | mode train | loss 2.0819 | accuracy 9.8684 | mean_length 64
08-24-21 09:15:06 - epoch 0 | global step 570 | mode train | loss 2.0183 | accuracy 37.5 | mean_length 64
08-24-21 09:15:59 - epoch 0 | global step 580 | mode train | loss 2.0754 | accuracy 5.2632 | mean_length 64
08-24-21 09:16:01 - epoch 0 | global step 580 | mode train | loss 2.0698 | accuracy 12.5 | mean_length 64
08-24-21 09:16:54 - epoch 0 | global step 590 | mode train | loss 2.0709 | accuracy 16.4474 | mean_length 64
08-24-21 09:16:57 - epoch 0 | global step 590 | mode train | loss 2.0907 | accuracy 25.0 | mean_length 64
08-24-21 09:17:51 - epoch 0 | global step 600 | mode train | loss 2.0623 | accuracy 7.8947 | mean_length 64
08-24-21 09:17:53 - epoch 0 | global step 600 | mode train | loss 2.1466 | accuracy 0.0 | mean_length 64
08-24-21 09:18:46 - epoch 0 | global step 610 | mode train | loss 2.0342 | accuracy 10.5263 | mean_length 64
08-24-21 09:18:49 - epoch 0 | global step 610 | mode train | loss 2.0129 | accuracy 0.0 | mean_length 64
08-24-21 09:19:42 - epoch 0 | global step 620 | mode train | loss 2.0324 | accuracy 10.5263 | mean_length 64
08-24-21 09:19:45 - epoch 0 | global step 620 | mode train | loss 2.124 | accuracy 0.0 | mean_length 64
08-24-21 09:20:38 - epoch 0 | global step 630 | mode train | loss 2.0093 | accuracy 19.0789 | mean_length 64
08-24-21 09:20:41 - epoch 0 | global step 630 | mode train | loss 2.0851 | accuracy 37.5 | mean_length 64
08-24-21 09:21:34 - epoch 0 | global step 640 | mode train | loss 2.0066 | accuracy 12.5 | mean_length 64
08-24-21 09:21:37 - epoch 0 | global step 640 | mode train | loss 2.0402 | accuracy 12.5 | mean_length 64
08-24-21 09:22:30 - epoch 0 | global step 650 | mode train | loss 1.9677 | accuracy 12.5 | mean_length 64
08-24-21 09:22:33 - epoch 0 | global step 650 | mode train | loss 1.8962 | accuracy 0.0 | mean_length 64
08-24-21 09:23:26 - epoch 0 | global step 660 | mode train | loss 1.9449 | accuracy 13.1579 | mean_length 64
08-24-21 09:23:29 - epoch 0 | global step 660 | mode train | loss 1.9617 | accuracy 25.0 | mean_length 64
