==========================================
SLURM_JOB_ID = 5534477
SLURM_JOB_NODELIST = d14-16
TMPDIR = /tmp/SLURM_5534477
==========================================
/home1/zliu9986/communication-translation
08-16-21 15:55:34 - Dataset Loaded
08-16-21 15:55:34 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=12, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=5e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_noBT_lr5e-6_7distractors', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=100, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-16-21 15:56:32 - epoch 0 | global step 10 | mode train | loss 2.6342 | accuracy 11.25 | mean_length 54.4875
08-16-21 15:57:01 - epoch 0 | global step 20 | mode train | loss 2.5161 | accuracy 12.5 | mean_length 59.3875
08-16-21 15:57:29 - epoch 0 | global step 30 | mode train | loss 2.4593 | accuracy 12.5 | mean_length 62.5875
08-16-21 15:57:58 - epoch 0 | global step 40 | mode train | loss 2.2374 | accuracy 8.75 | mean_length 63.225
08-16-21 15:58:26 - epoch 0 | global step 50 | mode train | loss 2.1024 | accuracy 25.0 | mean_length 63.0
08-16-21 15:58:55 - epoch 0 | global step 60 | mode train | loss 2.1634 | accuracy 7.5 | mean_length 64
08-16-21 15:59:23 - epoch 0 | global step 70 | mode train | loss 2.1181 | accuracy 11.25 | mean_length 64
08-16-21 15:59:52 - epoch 0 | global step 80 | mode train | loss 2.1089 | accuracy 8.75 | mean_length 64
08-16-21 16:00:21 - epoch 0 | global step 90 | mode train | loss 2.1679 | accuracy 8.75 | mean_length 63.6875
08-16-21 16:00:49 - epoch 0 | global step 100 | mode train | loss 2.2321 | accuracy 11.25 | mean_length 64
08-16-21 16:11:17 - epoch 0 | global step 100 | mode validation | loss 2.6065 | accuracy 12.16 | mean_length 63.88
08-16-21 16:11:17 - Saving model to Output/mbart_noBT_lr5e-6_7distractors
Epoch: 0, Prediction Accuracy: 12.16, Saved to Path: Output/mbart_noBT_lr5e-6_7distractors
08-16-21 16:11:58 - epoch 0 | global step 110 | mode train | loss 2.0999 | accuracy 10.0 | mean_length 64
08-16-21 16:12:26 - epoch 0 | global step 120 | mode train | loss 2.0937 | accuracy 17.5 | mean_length 64
08-16-21 16:12:54 - epoch 0 | global step 130 | mode train | loss 2.1071 | accuracy 16.25 | mean_length 63.325
08-16-21 16:13:23 - epoch 0 | global step 140 | mode train | loss 2.202 | accuracy 10.0 | mean_length 64
08-16-21 16:13:51 - epoch 0 | global step 150 | mode train | loss 2.1541 | accuracy 12.5 | mean_length 63.9875
08-16-21 16:14:19 - epoch 0 | global step 160 | mode train | loss 2.0535 | accuracy 21.25 | mean_length 63.325
08-16-21 16:14:48 - epoch 0 | global step 170 | mode train | loss 2.1477 | accuracy 16.25 | mean_length 63.8125
08-16-21 16:15:16 - epoch 0 | global step 180 | mode train | loss 2.1133 | accuracy 12.5 | mean_length 63.825
08-16-21 16:15:44 - epoch 0 | global step 190 | mode train | loss 2.0347 | accuracy 23.75 | mean_length 63.2375
08-16-21 16:16:12 - epoch 0 | global step 200 | mode train | loss 2.0845 | accuracy 10.0 | mean_length 62.55
08-16-21 16:26:31 - epoch 0 | global step 200 | mode validation | loss 2.0986 | accuracy 12.72 | mean_length 63.8932
08-16-21 16:26:31 - Saving model to Output/mbart_noBT_lr5e-6_7distractors
Epoch: 0, Prediction Accuracy: 12.72, Saved to Path: Output/mbart_noBT_lr5e-6_7distractors
08-16-21 16:27:10 - epoch 0 | global step 210 | mode train | loss 2.0949 | accuracy 6.25 | mean_length 63.75
08-16-21 16:27:38 - epoch 0 | global step 220 | mode train | loss 2.0648 | accuracy 20.0 | mean_length 62.975
08-16-21 16:28:06 - epoch 0 | global step 230 | mode train | loss 2.0763 | accuracy 16.25 | mean_length 64
08-16-21 16:28:34 - epoch 0 | global step 240 | mode train | loss 2.0567 | accuracy 22.5 | mean_length 64
08-16-21 16:29:02 - epoch 0 | global step 250 | mode train | loss 2.0574 | accuracy 15.0 | mean_length 61.9625
08-16-21 16:29:30 - epoch 0 | global step 260 | mode train | loss 2.0947 | accuracy 10.0 | mean_length 63.5125
08-16-21 16:29:58 - epoch 0 | global step 270 | mode train | loss 2.0834 | accuracy 13.75 | mean_length 63.7
08-16-21 16:30:26 - epoch 0 | global step 280 | mode train | loss 2.0878 | accuracy 15.0 | mean_length 64
