mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,16.4163,4.2755,12.1408,6.25
train,0,64,14.6308,3.4384,11.1924,5.4688
train,0,96,14.6483,3.5264,11.1219,6.25
train,0,128,14.1781,3.0878,11.0903,7.0312
train,0,160,14.108,2.9873,11.1207,5.8594
train,0,192,14.0321,2.9345,11.0976,6.25
train,0,224,13.9375,2.8477,11.0898,5.0781
train,0,256,13.9428,2.8463,11.0965,5.0781
train,0,288,13.926,2.8276,11.0984,5.8594
train,0,320,13.8771,2.7789,11.0982,7.6172
train,0,352,13.9277,2.82,11.1077,5.8594
train,0,384,13.8017,2.7387,11.063,8.0078
train,0,416,13.733,2.7632,10.9698,8.3984
train,0,448,13.733,2.754,10.979,8.3984
train,0,480,13.3734,2.6946,10.6788,11.1328
train,0,512,12.9813,2.7753,10.206,12.6953
validation,0,512,12.7384,2.7328,10.0055,12.4201
train,0,544,12.7764,2.8216,9.9548,12.8906
train,0,576,12.6901,2.7185,9.9716,12.3047
train,0,608,12.3003,2.7935,9.5068,17.7734
train,0,640,12.1186,2.6003,9.5184,16.2109
train,0,672,11.8259,2.6216,9.2043,17.7734
train,0,704,11.2044,2.6125,8.5919,24.0234
train,0,736,11.0223,2.6911,8.3312,25.1953
train,0,768,10.8334,2.662,8.1714,25.9766
train,0,800,10.7161,2.7143,8.0018,31.0547
train,0,832,10.5447,2.7015,7.8433,33.7891
train,0,864,10.382,2.7268,7.6552,29.6875
train,0,896,10.2488,2.5601,7.6886,33.0078
train,0,928,9.8994,2.62,7.2795,35.9375
train,0,960,9.4819,2.5776,6.9043,37.6953
train,0,992,9.2505,2.4829,6.7676,39.8438
train,0,1024,9.3007,2.5051,6.7956,39.6484
validation,0,1024,8.936,2.4746,6.4614,42.2764
train,0,1056,8.8351,2.4434,6.3917,41.4062
train,0,1088,9.2789,2.5087,6.7702,42.7734
train,0,1120,8.5366,2.4316,6.105,45.5078
train,0,1152,8.352,2.432,5.92,49.6094
train,0,1184,8.3143,2.353,5.9613,45.1172
train,0,1216,8.0045,2.3428,5.6617,49.4141
train,0,1248,8.065,2.2863,5.7787,46.6797
train,0,1280,7.8129,2.2812,5.5316,49.8047
train,0,1312,7.6922,2.2159,5.4763,49.8047
train,0,1344,7.4122,2.3007,5.1115,55.2734
train,0,1376,7.4913,2.3272,5.1642,53.7109
train,0,1408,7.4513,2.2748,5.1765,54.2969
train,0,1440,7.4551,2.2091,5.246,53.7109
train,0,1472,7.2308,2.2117,5.0192,56.0547
train,0,1504,6.7932,2.1971,4.5961,59.375
train,0,1536,6.7502,2.2664,4.4838,58.7891
validation,0,1536,6.7516,2.1668,4.5848,59.7244
train,0,1568,6.8699,2.2348,4.635,60.1562
train,0,1600,6.6799,2.188,4.4919,58.2031
train,0,1632,6.7885,2.2467,4.5418,59.375
train,0,1664,6.4802,2.2508,4.2293,62.1094
train,0,1696,6.6249,2.1876,4.4373,61.3281
train,0,1728,6.421,2.1209,4.3001,61.5234
train,0,1760,6.6535,2.1555,4.4979,62.6953
train,0,1792,6.3043,2.2029,4.1014,62.8906
train,0,1824,6.6441,2.1686,4.4755,60.5469
train,0,1856,6.5968,2.1743,4.4225,61.7188
train,0,1888,6.13,2.1709,3.9591,65.4297
train,0,1920,6.2686,2.1441,4.1245,63.8672
train,0,1952,6.3264,2.1757,4.1507,62.1094
train,0,1984,6.4386,2.1569,4.2817,61.3281
train,0,2016,6.0692,2.1498,3.9194,65.8203
train,0,2048,6.3657,2.1368,4.229,61.3281
validation,0,2048,6.111,2.1243,3.9867,65.1238
