mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,15.7167,4.2902,11.4265,6.4453
train,0,64,14.2101,3.2334,10.9767,8.9844
train,0,96,13.2748,3.0271,10.2477,16.4062
train,0,128,12.0877,2.9625,9.1251,22.6562
train,0,160,10.6292,3.0021,7.6271,34.7656
train,0,192,9.5079,2.8729,6.6351,41.2109
train,0,224,9.0512,2.9622,6.089,48.8281
train,0,256,8.6668,3.1,5.5669,50.0
train,0,288,7.3044,2.8177,4.4868,60.3516
train,0,320,7.0479,2.7618,4.2861,60.1562
train,0,352,7.081,2.8549,4.2261,62.1094
train,0,384,6.7904,2.809,3.9815,62.5
train,0,416,6.6541,2.8283,3.8258,67.1875
train,0,448,6.0875,2.737,3.3505,72.2656
train,0,480,6.4468,2.7638,3.683,67.3828
train,0,512,6.0268,2.7243,3.3025,69.9219
validation,0,512,5.7043,2.6562,3.0481,73.2987
train,0,544,5.9832,2.6917,3.2915,71.2891
train,0,576,5.7355,2.6876,3.0479,75.0
train,0,608,5.3968,2.6741,2.7227,79.4922
train,0,640,5.3369,2.6716,2.6652,77.1484
train,0,672,5.7267,2.6632,3.0635,71.0938
train,0,704,5.2512,2.5958,2.6554,79.1016
train,0,736,5.311,2.5895,2.7215,75.7812
train,0,768,4.8904,2.5723,2.318,80.6641
train,0,800,4.9517,2.6076,2.3441,80.8594
train,0,832,4.7881,2.6062,2.1819,83.0078
train,0,864,5.1001,2.6217,2.4784,80.4688
train,0,896,4.9156,2.6023,2.3133,79.2969
train,0,928,4.8718,2.576,2.2958,81.0547
train,0,960,4.9799,2.6292,2.3508,78.3203
train,0,992,4.7189,2.5873,2.1316,82.6172
train,0,1024,4.8387,2.5528,2.286,83.2031
validation,0,1024,4.6826,2.5201,2.1625,81.222
