mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,18.7399,7.2593,11.4807,7.4219
train,0,64,17.3105,6.1688,11.1417,8.5938
train,0,96,16.6986,5.9148,10.7839,11.7188
train,0,128,15.7664,5.674,10.0924,18.5547
train,0,160,14.301,5.3492,8.9517,25.9766
train,0,192,13.0171,5.1539,7.8632,33.9844
train,0,224,11.6072,4.8544,6.7528,41.0156
train,0,256,11.1096,4.7718,6.3378,40.625
train,0,288,10.7316,4.586,6.1456,45.3125
train,0,320,9.5158,4.3505,5.1653,52.5391
train,0,352,9.1191,4.3577,4.7614,57.4219
train,0,384,8.8283,4.2458,4.5825,59.7656
train,0,416,8.371,4.1529,4.218,63.6719
train,0,448,8.0492,4.1259,3.9233,65.0391
train,0,480,7.818,4.1015,3.7165,67.5781
train,0,512,7.4846,4.0189,3.4657,66.4062
validation,0,512,7.2559,3.8399,3.416,68.75
train,0,544,7.2573,3.9701,3.2873,68.9453
train,0,576,7.0376,3.9636,3.074,71.4844
train,0,608,6.9948,3.8822,3.1126,72.4609
train,0,640,6.7922,3.8137,2.9785,76.3672
train,0,672,6.6171,3.7025,2.9146,77.1484
train,0,704,6.3695,3.641,2.7285,75.5859
train,0,736,6.2786,3.7097,2.569,79.6875
train,0,768,6.3405,3.6931,2.6474,78.7109
train,0,800,5.6881,3.5086,2.1795,80.4688
train,0,832,6.1233,3.5801,2.5432,77.7344
train,0,864,5.8243,3.5582,2.2661,78.5156
train,0,896,5.7352,3.5579,2.1773,81.8359
train,0,928,5.6582,3.5674,2.0909,83.5938
train,0,960,5.7465,3.5469,2.1996,82.8125
train,0,992,5.5087,3.5145,1.9942,83.2031
train,0,1024,5.524,3.4555,2.0685,83.5938
validation,0,1024,5.3275,3.3321,1.9954,82.3682
train,0,1056,5.4723,3.4361,2.0362,81.25
train,0,1088,5.3518,3.326,2.0258,83.3984
train,0,1120,5.4257,3.4091,2.0166,84.5703
train,0,1152,5.4986,3.3971,2.1016,81.8359
train,0,1184,4.9349,3.2136,1.7213,84.9609
train,0,1216,5.3527,3.3366,2.0161,83.3984
train,0,1248,4.9046,3.2808,1.6238,88.4766
train,0,1280,4.9831,3.3171,1.666,86.3281
train,0,1312,5.1017,3.2456,1.8561,84.5703
train,0,1344,4.9127,3.181,1.7317,85.3516
train,0,1376,5.008,3.2531,1.7549,84.7656
train,0,1408,4.9519,3.216,1.736,85.3516
train,0,1440,4.7774,3.2445,1.5329,86.9141
train,0,1472,4.8727,3.1567,1.716,85.1562
train,0,1504,4.9131,3.1467,1.7663,86.9141
train,0,1536,4.7173,3.1402,1.5771,86.3281
validation,0,1536,4.5271,2.9576,1.5695,86.5256
train,0,1568,4.6583,3.1273,1.531,88.0859
train,0,1600,4.7505,3.0413,1.7092,83.9844
train,0,1632,4.4889,3.0533,1.4355,88.4766
train,0,1664,4.6776,3.1063,1.5712,87.5
train,0,1696,4.522,2.9798,1.5422,86.9141
train,0,1728,4.5343,2.9496,1.5847,85.3516
train,0,1760,4.2687,2.9771,1.2916,89.4531
train,0,1792,4.5374,3.0414,1.496,87.8906
train,0,1824,4.3726,2.9857,1.3869,90.0391
train,0,1856,4.4326,2.9237,1.5089,87.5
train,0,1888,4.5042,2.9712,1.533,87.5
train,0,1920,4.617,2.9973,1.6196,87.3047
train,0,1952,4.3118,2.8816,1.4301,88.0859
train,0,1984,4.2989,2.7395,1.5594,87.5
train,0,2016,4.4214,2.8968,1.5246,87.1094
train,0,2048,4.3544,2.9648,1.3896,87.5
validation,0,2048,4.127,2.7405,1.3865,87.8195
