mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,18.8678,7.2593,11.6085,7.2266
train,0,64,17.5334,6.1688,11.3646,7.8125
train,0,96,17.3181,5.9148,11.4033,6.25
train,0,128,17.0253,5.6747,11.3506,6.0547
train,0,160,16.7294,5.3529,11.3766,7.0312
train,0,192,16.4691,5.1714,11.2976,5.4688
train,0,224,16.1524,4.8832,11.2692,7.0312
train,0,256,15.9789,4.7319,11.247,6.6406
train,0,288,15.8919,4.6299,11.2619,6.25
train,0,320,15.6771,4.3569,11.3202,5.8594
train,0,352,15.6298,4.3829,11.2469,6.6406
train,0,384,15.497,4.2412,11.2558,6.4453
train,0,416,15.5025,4.1358,11.3667,5.2734
train,0,448,15.4443,4.1184,11.326,4.6875
train,0,480,15.2689,4.0831,11.1857,5.4688
train,0,512,15.3699,3.9982,11.3717,5.0781
validation,0,512,15.0919,3.8229,11.2689,6.0663
train,0,544,15.2043,3.9704,11.2339,5.2734
train,0,576,15.1987,3.9465,11.2521,6.25
train,0,608,15.1767,3.8901,11.2866,5.8594
train,0,640,15.0815,3.8203,11.2611,6.0547
train,0,672,14.8629,3.7226,11.1402,7.6172
train,0,704,14.9157,3.6816,11.2341,5.0781
train,0,736,14.9568,3.7149,11.2418,5.6641
train,0,768,15.0726,3.7156,11.3571,3.7109
train,0,800,14.8951,3.5657,11.3294,3.5156
train,0,832,14.8194,3.5944,11.2249,5.8594
train,0,864,14.8046,3.5767,11.2279,6.4453
train,0,896,14.8899,3.5957,11.2942,4.8828
train,0,928,14.7926,3.6065,11.1861,6.6406
train,0,960,14.8232,3.5816,11.2417,5.6641
train,0,992,14.8155,3.5628,11.2526,4.1016
train,0,1024,14.7122,3.4699,11.2423,5.8594
validation,0,1024,14.5571,3.3471,11.21,6.0264
train,0,1056,14.7609,3.4961,11.2649,5.8594
train,0,1088,14.5928,3.3841,11.2087,6.25
train,0,1120,14.6474,3.4627,11.1847,5.6641
train,0,1152,14.6519,3.4489,11.203,6.4453
train,0,1184,14.5461,3.2951,11.251,5.2734
train,0,1216,14.6479,3.3739,11.274,4.4922
train,0,1248,14.5125,3.33,11.1824,6.25
train,0,1280,14.657,3.3742,11.2828,4.4922
train,0,1312,14.4881,3.319,11.1691,6.8359
train,0,1344,14.4884,3.2321,11.2562,3.9062
train,0,1376,14.5044,3.3037,11.2007,6.0547
train,0,1408,14.4769,3.2717,11.2052,7.0312
train,0,1440,14.5333,3.2921,11.2412,4.8828
train,0,1472,14.5097,3.2453,11.2644,5.4688
train,0,1504,14.4597,3.2184,11.2413,5.2734
train,0,1536,14.3996,3.2147,11.1849,6.6406
validation,0,1536,14.2462,3.0617,11.1845,5.9704
train,0,1568,14.4215,3.1994,11.2221,4.8828
train,0,1600,14.3699,3.1121,11.2579,6.0547
train,0,1632,14.3208,3.1452,11.1756,5.4688
train,0,1664,14.4159,3.1965,11.2195,7.2266
train,0,1696,14.3013,3.0706,11.2307,3.3203
train,0,1728,14.2917,3.0213,11.2704,4.8828
train,0,1760,14.2771,3.0712,11.2059,6.4453
train,0,1792,14.3332,3.0963,11.2369,4.2969
train,0,1824,14.2823,3.0598,11.2225,4.6875
train,0,1856,14.2574,3.0033,11.2541,5.8594
train,0,1888,14.2504,3.0534,11.1969,5.0781
train,0,1920,14.3862,3.0864,11.2998,3.7109
train,0,1952,14.1482,2.9698,11.1784,5.2734
train,0,1984,14.0829,2.8341,11.2487,3.3203
train,0,2016,14.2108,2.9872,11.2236,4.4922
train,0,2048,14.3047,3.0718,11.2329,5.2734
validation,0,2048,14.0187,2.8376,11.1811,6.4257
