mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,20.2595,7.8154,12.4442,8.3984
train,0,64,18.6181,7.3923,11.2259,4.8828
train,0,96,17.8355,6.681,11.1545,7.2266
train,0,128,17.4284,6.2977,11.1307,6.0547
train,0,160,17.0932,5.9888,11.1044,5.4688
train,0,192,16.8037,5.6854,11.1182,6.4453
train,0,224,16.5069,5.3884,11.1185,7.4219
train,0,256,16.1762,5.0724,11.1038,7.4219
train,0,288,16.0176,4.9021,11.1154,5.2734
train,0,320,15.7867,4.6893,11.0973,5.2734
train,0,352,15.7421,4.6308,11.1113,6.4453
train,0,384,15.6951,4.5986,11.0965,6.0547
train,0,416,15.5881,4.4883,11.0998,6.25
train,0,448,15.4804,4.3793,11.1011,7.8125
train,0,480,15.4765,4.3834,11.0931,7.6172
train,0,512,15.4084,4.3104,11.098,5.8594
