mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,16.5284,4.6985,11.8299,7.6172
train,0,64,17.0133,5.7766,11.2367,8.9844
train,0,96,16.8089,5.8998,10.9091,8.2031
train,0,128,15.5166,6.1567,9.3599,25.1953
train,0,160,12.9671,6.0182,6.9489,39.4531
train,0,192,11.858,5.9518,5.9062,48.2422
train,0,224,11.421,5.8848,5.5362,47.6562
train,0,256,10.2049,5.7853,4.4195,61.3281
train,0,288,9.9459,5.7484,4.1975,62.3047
train,0,320,9.39,5.6441,3.7459,68.1641
train,0,352,9.0476,5.478,3.5697,68.9453
train,0,384,8.8662,5.3554,3.5107,70.3125
train,0,416,8.2242,5.3014,2.9228,74.6094
train,0,448,7.9427,5.3068,2.6359,75.9766
train,0,480,7.7835,5.308,2.4755,79.1016
train,0,512,7.6713,4.9598,2.7115,77.3438
validation,0,512,7.3307,4.9249,2.4058,78.7979
train,0,544,7.2376,4.8114,2.4262,78.125
train,0,576,6.7992,4.4188,2.3803,79.2969
train,0,608,5.4822,3.0975,2.3847,79.2969
train,0,640,5.2481,2.9415,2.3066,79.4922
train,0,672,4.8022,2.8393,1.9629,81.8359
train,0,704,4.8635,2.7945,2.0691,80.0781
train,0,736,4.6281,2.6355,1.9926,83.7891
train,0,768,4.5379,2.7594,1.7786,83.9844
train,0,800,4.4791,2.697,1.7822,85.1562
train,0,832,4.5303,2.6556,1.8747,83.7891
train,0,864,4.2637,2.5962,1.6676,85.5469
train,0,896,4.2576,2.5815,1.6761,85.9375
train,0,928,4.1788,2.6054,1.5734,87.1094
train,0,960,4.1598,2.5371,1.6227,85.3516
train,0,992,4.0359,2.5834,1.4525,87.3047
train,0,1024,3.8483,2.469,1.3793,87.8906
validation,0,1024,4.0639,2.4836,1.5804,86.0064
train,0,1056,4.2386,2.5377,1.7009,86.3281
train,0,1088,4.2772,2.5129,1.7644,85.3516
train,0,1120,4.1243,2.5321,1.5923,86.1328
train,0,1152,4.0531,2.5466,1.5065,86.3281
train,0,1184,4.1527,2.4793,1.6734,86.7188
train,0,1216,3.8824,2.4792,1.4032,86.3281
train,0,1248,3.9911,2.4884,1.5027,87.1094
train,0,1280,3.9273,2.5113,1.4159,88.8672
train,0,1312,3.897,2.4724,1.4247,88.4766
train,0,1344,3.5872,2.3854,1.2018,89.2578
train,0,1376,3.5109,2.4029,1.1079,90.625
train,0,1408,3.7787,2.4083,1.3705,86.5234
train,0,1440,3.6221,2.3978,1.2243,89.2578
train,0,1472,3.5764,2.347,1.2294,90.2344
train,0,1504,3.6751,2.4451,1.23,88.6719
train,0,1536,3.5228,2.3475,1.1754,88.4766
validation,0,1536,3.5929,2.3431,1.2497,88.0431
train,0,1568,3.5497,2.3519,1.1977,89.2578
train,0,1600,3.8054,2.3851,1.4203,87.6953
train,0,1632,3.5492,2.3755,1.1737,90.2344
train,0,1664,3.7755,2.315,1.4604,87.8906
train,0,1696,3.568,2.3949,1.1731,90.2344
train,0,1728,3.6238,2.3272,1.2966,88.8672
train,0,1760,3.5177,2.3858,1.1319,90.625
train,0,1792,3.6626,2.3675,1.2951,88.4766
train,0,1824,3.4991,2.3521,1.147,90.625
train,0,1856,3.3782,2.3323,1.046,89.0625
train,0,1888,3.8609,2.3773,1.4837,87.1094
train,0,1920,3.4297,2.3001,1.1296,89.6484
train,0,1952,3.5035,2.3153,1.1881,92.1875
train,0,1984,3.5769,2.341,1.2359,88.2812
train,0,2016,3.5592,2.3292,1.23,89.6484
train,0,2048,3.5257,2.3705,1.1551,90.4297
validation,0,2048,3.4351,2.283,1.1521,89.1454
