mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,3.2108,20.8333,12.4635,2.6205,0.5903
train,0,64,2.7377,28.9062,19.5286,2.2193,0.5184
train,0,96,2.6136,30.7292,23.4167,2.0941,0.5195
train,0,128,2.4761,30.9896,23.8411,1.9742,0.502
train,0,160,2.318,36.1979,25.349,1.8405,0.4774
train,0,192,2.2398,37.2396,26.1641,1.7803,0.4595
train,0,224,2.1294,41.9271,26.388,1.6958,0.4336
train,0,256,2.1432,39.5833,26.987,1.725,0.4182
validation,0,256,1.9599,44.5312,27.6901,1.5454,0.4145
train,0,288,1.9272,47.6562,26.6875,1.5099,0.4173
train,0,320,2.0526,41.6667,26.5417,1.6525,0.4001
train,0,352,2.1078,40.3646,26.2057,1.6967,0.4111
train,0,384,2.1819,37.5,25.7474,1.7563,0.4257
train,0,416,1.9446,45.3125,26.5469,1.5229,0.4217
train,0,448,2.1282,40.8854,25.7891,1.7021,0.4261
train,0,480,2.061,41.1458,26.0495,1.6519,0.4091
train,0,512,2.0732,39.5833,25.1224,1.6628,0.4105
validation,0,512,1.9281,48.9583,25.9792,1.5095,0.4186
train,0,544,1.8657,51.0417,27.1849,1.4593,0.4064
train,0,576,1.9107,45.5729,26.3594,1.5033,0.4074
train,0,608,1.7943,51.3021,26.5182,1.4053,0.3891
train,0,640,1.7872,52.3438,26.474,1.3977,0.3896
train,0,672,1.7368,53.125,26.8281,1.3524,0.3844
train,0,704,1.7377,51.8229,26.5833,1.3578,0.3799
train,0,736,1.7914,51.8229,26.737,1.4132,0.3782
train,0,768,1.6824,53.6458,26.7292,1.2994,0.383
validation,0,768,1.6736,55.7292,27.4453,1.2828,0.3908
train,0,800,1.531,59.8958,27.7188,1.1526,0.3784
train,0,832,1.7347,55.7292,27.7734,1.3693,0.3654
train,0,864,1.7272,50.7812,27.1406,1.3638,0.3634
train,0,896,1.6476,55.9896,27.7083,1.2786,0.3689
train,0,928,1.5551,56.7708,28.1432,1.1872,0.3679
train,0,960,1.7318,51.3021,27.8646,1.3625,0.3693
train,0,992,1.6776,52.0833,27.1328,1.3109,0.3667
train,0,1024,1.5683,57.2917,26.6146,1.2021,0.3662
validation,0,1024,1.5803,59.375,27.3568,1.2211,0.3592
train,0,1056,1.646,54.1667,27.4896,1.2831,0.3629
train,0,1088,1.5545,55.9896,27.4948,1.1899,0.3646
train,0,1120,1.535,58.5938,26.849,1.1771,0.3579
train,0,1152,1.6174,53.9062,27.2682,1.2576,0.3597
train,0,1184,1.4728,60.6771,27.0885,1.1182,0.3546
train,0,1216,1.5575,54.1667,27.9453,1.2039,0.3536
train,0,1248,1.5019,59.8958,27.8724,1.1467,0.3552
train,0,1280,1.4379,59.1146,27.6953,1.0808,0.3571
validation,0,1280,1.5995,57.2917,28.2344,1.2404,0.359
train,0,1312,1.4279,63.2812,27.5573,1.0723,0.3557
train,0,1344,1.3838,61.7188,28.1562,1.0298,0.354
train,0,1376,1.4568,61.9792,27.4062,1.0939,0.3629
train,0,1408,1.4413,60.1562,27.9922,1.0847,0.3566
train,0,1440,1.3732,62.5,27.9609,1.0216,0.3516
train,0,1472,1.4396,61.9792,27.5417,1.0899,0.3496
train,0,1504,1.3262,66.1458,27.5234,0.9791,0.3471
train,0,1536,1.4604,59.375,28.2943,1.1099,0.3505
validation,0,1536,1.51,60.4167,28.5286,1.1658,0.3442
train,0,1568,1.3615,62.7604,28.8906,1.0211,0.3404
train,0,1600,1.445,59.1146,28.2865,1.1019,0.3431
train,0,1632,1.3302,66.4062,28.7214,0.9908,0.3393
train,0,1664,1.3281,64.3229,28.7057,0.9897,0.3384
train,0,1696,1.4353,61.4583,28.3906,1.0905,0.3448
train,0,1728,1.3437,64.3229,28.7526,1.0033,0.3404
train,0,1760,1.3942,60.9375,27.7682,1.0512,0.343
train,0,1792,1.3557,62.5,28.0703,1.0206,0.335
validation,0,1792,1.3588,64.5833,29.0859,1.0173,0.3415
train,0,1824,1.4152,62.7604,28.112,1.0765,0.3388
train,0,1856,1.3413,63.0208,28.7083,1.0106,0.3307
train,0,1888,1.4594,59.375,28.1354,1.1133,0.3461
train,0,1920,1.3775,61.1979,28.237,1.0357,0.3418
train,0,1952,1.3934,63.2812,28.5234,1.0552,0.3382
train,0,1984,1.3464,63.8021,28.5859,1.0041,0.3423
train,0,2016,1.3831,63.2812,28.5026,1.0415,0.3416
train,0,2048,1.3209,65.3646,28.4818,0.9794,0.3415
validation,0,2048,1.2873,64.8438,28.987,0.9519,0.3354
