mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,1824,2.9875,6.25,24.474,2.775,0.2125
train,0,32,3.0952,15.8854,16.0443,2.7745,0.3206
train,0,1856,2.9815,7.2917,24.3802,2.7716,0.2099
train,0,64,2.7625,20.0521,19.6068,2.5048,0.2577
train,0,1888,2.9791,5.2083,24.026,2.7737,0.2054
train,0,96,2.371,29.6875,23.138,2.1282,0.2428
train,0,128,2.1316,31.25,23.5156,1.8948,0.2368
train,0,1920,2.9801,8.8542,24.1667,2.7739,0.2062
train,0,160,1.8881,40.625,24.7656,1.6521,0.236
train,0,1952,2.9849,6.25,24.6354,2.7753,0.2096
train,0,192,1.7719,44.0104,26.6484,1.5382,0.2336
train,0,1984,2.9863,5.7292,24.2396,2.7722,0.214
train,0,224,1.6839,45.8333,26.4688,1.4561,0.2278
train,0,2016,2.987,4.4271,23.5417,2.7761,0.2109
train,0,256,1.5009,52.0833,27.1354,1.2821,0.2188
validation,0,256,1.4306,57.2917,25.4661,1.2453,0.1853
train,0,2048,2.973,8.3333,24.776,2.7697,0.2033
validation,0,2048,2.9642,7.8125,23.0443,2.7759,0.1883
train,0,288,1.5695,48.1771,25.7005,1.3601,0.2094
train,0,320,1.5391,52.3438,25.0885,1.3227,0.2164
train,0,352,1.4263,48.4375,27.4062,1.2163,0.21
train,0,384,1.4052,51.3021,26.5156,1.2007,0.2045
train,0,416,1.411,53.3854,25.9557,1.1994,0.2116
train,0,448,1.3511,54.4271,24.9479,1.1381,0.213
train,0,480,1.363,54.1667,25.1198,1.1564,0.2066
train,0,512,1.3263,55.2083,26.1406,1.1237,0.2025
validation,0,512,1.1592,64.0625,25.4557,0.9837,0.1755
train,0,544,1.3244,54.1667,25.1536,1.1205,0.2038
train,0,576,1.2336,56.7708,25.7057,1.0322,0.2014
train,0,608,1.2928,54.1667,25.8047,1.1003,0.1925
train,0,640,1.2611,57.0312,26.6094,1.0677,0.1934
train,0,672,1.1759,62.2396,26.9349,0.9775,0.1984
train,0,704,1.2821,57.5521,23.6875,1.076,0.2061
train,0,736,1.1754,62.2396,25.4531,0.9733,0.2022
train,0,768,1.1817,60.1562,25.487,0.9852,0.1965
validation,0,768,1.0808,66.1458,25.3151,0.9115,0.1693
train,0,800,1.1606,59.8958,27.2318,0.9661,0.1945
train,0,832,1.1396,59.375,27.9401,0.9502,0.1894
train,0,864,1.1783,57.0312,27.5547,0.9868,0.1916
train,0,896,1.1684,61.1979,27.5391,0.9819,0.1865
train,0,928,1.1635,58.0729,26.3255,0.9722,0.1913
train,0,960,1.1197,61.9792,26.4453,0.9297,0.19
train,0,992,1.17,60.4167,25.6172,0.9801,0.1899
train,0,1024,1.0484,65.8854,25.8333,0.8553,0.1931
validation,0,1024,0.915,73.4375,26.0026,0.754,0.161
train,0,1056,1.1793,58.3333,25.4922,0.9903,0.189
train,0,1088,1.0864,62.2396,24.4974,0.9011,0.1852
train,0,1120,1.1343,62.2396,25.8984,0.9513,0.183
train,0,1152,1.0694,65.3646,26.3802,0.8889,0.1804
train,0,1184,1.1126,61.1979,25.5547,0.9286,0.1841
train,0,1216,1.0632,66.4062,24.8594,0.8811,0.1821
train,0,1248,1.1317,59.6354,24.1172,0.9495,0.1822
train,0,1280,1.1186,64.0625,24.6276,0.937,0.1816
validation,0,1280,0.8264,74.7396,24.8828,0.671,0.1554
train,0,1312,1.0507,66.1458,25.0833,0.8691,0.1817
train,0,1344,0.9886,67.1875,25.224,0.8092,0.1794
train,0,1376,1.1017,58.3333,25.3646,0.9263,0.1753
train,0,1408,1.103,64.3229,24.8073,0.9275,0.1755
train,0,1440,0.9988,66.6667,25.7396,0.824,0.1748
train,0,1472,1.0974,60.4167,26.151,0.9242,0.1733
train,0,1504,1.0082,64.5833,26.1823,0.8317,0.1765
train,0,1536,0.9962,68.2292,24.9557,0.8199,0.1763
validation,0,1536,0.8238,76.5625,25.3984,0.6724,0.1514
train,0,1568,1.0532,64.3229,25.6771,0.8756,0.1776
train,0,1600,1.0167,66.1458,26.6719,0.8432,0.1735
train,0,1632,1.0645,59.8958,25.6849,0.8894,0.175
train,0,1664,1.0167,60.4167,26.0547,0.8425,0.1742
train,0,1696,0.9728,68.4896,26.1719,0.8015,0.1713
train,0,1728,1.0724,60.6771,25.7734,0.9023,0.1701
train,0,1760,1.0616,65.3646,25.0182,0.8874,0.1742
train,0,1792,1.0711,63.0208,24.8646,0.8984,0.1727
validation,0,1792,0.7713,76.8229,24.8438,0.6241,0.1471
train,0,1824,0.9752,70.0521,25.8854,0.8022,0.173
train,0,1856,1.0632,67.4479,25.4688,0.8899,0.1733
train,0,1888,1.0967,61.4583,25.1068,0.9246,0.1721
train,0,1920,0.9773,66.9271,25.9948,0.8021,0.1752
train,0,1952,1.0473,65.625,25.612,0.8769,0.1704
train,0,1984,1.0548,62.2396,25.6562,0.8821,0.1727
train,0,2016,1.0743,61.9792,25.224,0.9029,0.1714
train,0,2048,1.0426,64.5833,25.5885,0.87,0.1726
validation,0,2048,0.7684,77.6042,25.5964,0.6212,0.1472
