mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,0.3047,14.3229,24.2839,2.9989,0.3047
train,0,64,0.2411,10.9375,25.1589,3.1579,0.2411
train,0,96,0.2163,9.6354,25.5625,3.2154,0.2163
train,0,128,0.2023,11.1979,24.7526,3.2069,0.2023
train,0,160,0.1864,7.0312,23.8828,3.4487,0.1864
train,0,192,0.1702,10.1562,23.7552,3.1572,0.1702
train,0,224,0.1595,10.9375,24.013,3.1879,0.1595
train,0,256,0.1522,8.0729,24.849,3.2889,0.1522
validation,0,256,0.1267,14.3229,23.2474,3.3246,0.1267
train,0,288,0.1429,9.375,23.5885,3.3978,0.1429
train,0,320,0.2193,5.7292,25.1016,3.4824,0.2193
train,0,352,0.1737,8.8542,23.6198,3.3734,0.1737
train,0,384,0.1477,8.5937,24.2917,3.4183,0.1477
train,0,416,0.1378,8.5937,23.0104,3.2966,0.1378
train,0,448,0.1336,7.5521,25.0781,3.4581,0.1336
train,0,480,0.1277,6.25,22.9375,3.5701,0.1277
train,0,512,0.1223,7.2917,23.487,3.3759,0.1223
validation,0,512,0.1002,11.1979,22.9167,3.4978,0.1002
train,0,544,0.1171,8.5937,23.4714,3.3026,0.1171
train,0,576,0.1139,9.375,23.3099,3.3242,0.1139
train,0,608,0.111,6.5104,22.5339,3.4418,0.111
train,0,640,0.1066,7.8125,23.4896,3.3527,0.1066
train,0,672,0.1041,8.8542,23.974,3.3798,0.1041
train,0,704,0.1026,10.4167,23.112,3.2974,0.1026
train,0,736,0.0963,7.0312,22.901,3.3817,0.0963
train,0,768,0.0982,7.5521,22.3359,3.3847,0.0982
validation,0,768,0.0659,9.6354,22.0755,3.5715,0.0659
train,0,800,0.0926,7.0312,22.4297,3.457,0.0926
train,0,832,0.0905,7.5521,22.5312,3.4208,0.0905
train,0,864,0.0928,6.5104,23.7682,3.5771,0.0928
train,0,896,0.0897,6.7708,23.513,3.4147,0.0897
train,0,928,0.0861,5.9896,23.4557,3.4163,0.0861
train,0,960,0.0855,8.8542,22.5938,3.4711,0.0855
train,0,992,0.0834,8.8542,23.5807,3.3803,0.0834
train,0,1024,0.0815,7.0312,24.2083,3.3408,0.0815
validation,0,1024,0.0534,10.4167,22.7422,3.5622,0.0534
train,0,1056,0.0827,8.5937,23.0911,3.3065,0.0827
train,0,1088,0.0809,7.0312,22.5365,3.4732,0.0809
train,0,1120,0.0805,9.6354,23.1849,3.3473,0.0805
train,0,1152,0.0777,8.3333,23.7943,3.4413,0.0777
train,0,1184,0.081,8.8542,22.9115,3.3916,0.081
train,0,1216,0.076,6.7708,22.2161,3.5463,0.076
train,0,1248,0.0765,7.0312,22.901,3.4785,0.0765
train,0,1280,0.0777,10.1562,22.8932,3.3832,0.0777
validation,0,1280,0.0456,8.5938,23.0547,3.6087,0.0456
train,0,1312,0.0787,7.2917,22.8672,3.5059,0.0787
train,0,1344,0.0737,7.5521,23.4557,3.498,0.0737
train,0,1376,0.0717,8.8542,22.3958,3.3252,0.0717
train,0,1408,0.0747,7.2917,22.8177,3.5122,0.0747
train,0,1440,0.0721,6.7708,22.4635,3.4571,0.0721
train,0,1472,0.0729,5.4687,22.1875,3.5427,0.0729
train,0,1504,0.0729,6.25,22.8698,3.5097,0.0729
train,0,1536,0.0725,4.4271,22.0443,3.4504,0.0725
validation,0,1536,0.0402,8.8542,21.6328,3.6147,0.0402
train,0,1568,0.0706,4.9479,22.2318,3.522,0.0706
train,0,1600,0.0703,6.7708,22.3411,3.5387,0.0703
train,0,1632,0.0689,5.9896,22.3073,3.4337,0.0689
train,0,1664,0.071,7.5521,22.0469,3.403,0.071
train,0,1696,0.0703,8.5937,23.1198,3.4125,0.0703
train,0,1728,0.0706,5.4687,22.1693,3.4983,0.0706
train,0,1760,0.0702,8.0729,22.3177,3.3587,0.0702
train,0,1792,0.0685,7.0312,22.3021,3.3892,0.0685
validation,0,1792,0.0364,9.375,22.2318,3.5684,0.0364
train,0,1824,0.0665,7.0312,23.4974,3.4932,0.0665
train,0,1856,0.0675,8.0729,23.2578,3.4105,0.0675
train,0,1888,0.0689,4.4271,23.0365,3.4441,0.0689
train,0,1920,0.0686,8.0729,22.4635,3.3989,0.0686
train,0,1952,0.067,6.25,22.7396,3.3641,0.067
train,0,1984,0.0675,5.7292,22.526,3.5382,0.0675
train,0,2016,0.0671,6.25,23.2943,3.5041,0.0671
train,0,2048,0.0667,8.3333,22.8073,3.3479,0.0667
validation,0,2048,0.035,10.6771,22.1562,3.6602,0.035
