mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,1.6276,59.375,25.0469,1.1974,0.4302
train,0,64,1.2845,67.4479,29.375,0.9145,0.37
train,0,96,1.3157,63.8021,26.4349,0.9661,0.3496
train,0,128,1.2532,69.0104,28.9115,0.9179,0.3352
train,0,160,1.0837,70.8333,28.6068,0.7556,0.3281
train,0,192,1.1267,69.7917,28.6823,0.8158,0.3109
train,0,224,1.0941,68.75,28.2734,0.7904,0.3037
train,0,256,1.0995,70.0521,27.9974,0.7944,0.3051
validation,0,256,0.8448,79.6875,27.4896,0.5484,0.2965
train,0,288,1.0139,71.0938,28.0911,0.7157,0.2983
train,0,320,1.0418,68.4896,26.2318,0.7519,0.2899
train,0,352,1.0137,68.4896,27.8958,0.722,0.2917
train,0,384,0.9856,72.9167,28.5469,0.6953,0.2903
train,0,416,1.0556,70.8333,29.1432,0.7551,0.3005
train,0,448,0.9727,71.875,30.1042,0.6835,0.2892
train,0,480,0.9234,72.9167,28.0104,0.6401,0.2833
train,0,512,1.0378,69.5312,27.2734,0.7493,0.2885
validation,0,512,0.8929,79.9479,25.2188,0.6113,0.2816
train,0,544,1.1129,66.6667,26.8229,0.8299,0.283
train,0,576,0.9489,74.4792,27.5469,0.6756,0.2733
train,0,608,0.9751,74.4792,27.2005,0.6968,0.2783
train,0,640,0.9824,72.1354,27.8099,0.7125,0.2699
train,0,672,0.9225,74.2188,26.9115,0.6561,0.2664
train,0,704,0.9317,70.5729,27.7604,0.6668,0.2649
train,0,736,0.9016,74.4792,27.724,0.641,0.2605
train,0,768,0.9635,69.7917,27.5755,0.6985,0.265
validation,0,768,0.6448,87.2396,27.5156,0.3804,0.2644
train,0,800,0.9726,71.875,27.6745,0.7108,0.2618
train,0,832,0.9895,69.2708,28.4896,0.734,0.2555
train,0,864,1.0005,70.0521,28.7292,0.7341,0.2664
train,0,896,0.9841,72.3958,27.0339,0.7239,0.2602
train,0,928,0.8451,76.0417,27.7214,0.5872,0.2579
train,0,960,0.8972,71.0938,28.3307,0.6374,0.2598
train,0,992,0.8999,69.5312,27.3724,0.6472,0.2527
train,0,1024,0.8184,75.2604,27.1016,0.5667,0.2517
validation,0,1024,0.6374,87.2396,28.1719,0.3977,0.2397
train,0,1056,0.8685,73.1771,27.7344,0.6256,0.243
train,0,1088,0.8377,73.6979,27.6146,0.6029,0.2349
train,0,1120,0.8359,75.2604,27.9089,0.5943,0.2416
train,0,1152,0.8371,74.7396,28.6146,0.5968,0.2403
train,0,1184,0.8157,75.2604,28.0156,0.5812,0.2345
train,0,1216,0.9007,69.7917,26.9583,0.6725,0.2282
train,0,1248,0.8184,74.7396,27.1927,0.5764,0.242
train,0,1280,0.8541,77.0833,27.763,0.613,0.2411
validation,0,1280,0.597,88.2812,27.487,0.3713,0.2257
train,0,1312,0.7721,77.3438,28.3802,0.5326,0.2394
train,0,1344,0.8401,76.3021,27.1432,0.6052,0.235
train,0,1376,0.8589,74.4792,26.6953,0.631,0.2279
train,0,1408,0.8034,76.3021,26.3854,0.5647,0.2388
train,0,1440,0.8891,72.3958,26.7135,0.6595,0.2297
train,0,1472,0.7904,76.3021,26.974,0.5589,0.2314
train,0,1504,0.8486,73.1771,27.737,0.6204,0.2282
train,0,1536,0.8273,74.7396,27.2318,0.6029,0.2244
validation,0,1536,0.568,86.7188,27.2812,0.3456,0.2224
train,0,1568,0.81,73.1771,26.8776,0.5819,0.2281
train,0,1600,0.7419,79.6875,27.4505,0.5128,0.2291
train,0,1632,0.8295,73.6979,27.8776,0.6099,0.2196
train,0,1664,0.8619,73.4375,26.2708,0.6323,0.2296
train,0,1696,0.8194,75.7812,26.3438,0.5963,0.2231
train,0,1728,0.8085,77.8646,25.8698,0.5834,0.2251
train,0,1760,0.7903,77.6042,25.9609,0.567,0.2234
train,0,1792,0.7928,76.5625,26.0703,0.5675,0.2253
validation,0,1792,0.5582,87.7604,26.6302,0.3502,0.208
train,0,1824,0.8286,71.3542,27.6875,0.608,0.2205
train,0,1856,0.7665,76.5625,27.2917,0.5494,0.2171
train,0,1888,0.7945,76.8229,26.1484,0.5773,0.2172
train,0,1920,0.9065,70.5729,26.7552,0.692,0.2145
train,0,1952,0.8428,71.6146,26.4974,0.6305,0.2123
train,0,1984,0.7548,78.9062,27.0833,0.5374,0.2173
train,0,2016,0.7895,74.2188,27.724,0.5731,0.2164
train,0,2048,0.82,73.9583,27.2839,0.6042,0.2158
validation,0,2048,0.5517,89.3229,27.2135,0.3436,0.2081
