mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.0961,43.75,17.6823,1.6829,0.4133
train,0,64,1.7383,53.3854,22.8802,1.374,0.3643
train,0,96,1.7037,51.8229,23.4349,1.3663,0.3374
train,0,128,1.5824,54.9479,23.7839,1.256,0.3263
train,0,160,1.5683,52.0833,24.2474,1.2593,0.3091
train,0,192,1.5208,60.1562,23.2188,1.2187,0.3021
train,0,224,1.3992,58.5938,26.6406,1.1046,0.2945
train,0,256,1.3032,64.3229,25.9896,1.0153,0.2879
validation,256,0,1.3466,61.0757,25.9833,1.0844,0.2622
train,0,288,1.3493,61.7188,26.1094,1.0707,0.2786
train,0,320,1.3443,62.2396,25.7422,1.0628,0.2815
train,0,352,1.2918,63.5417,26.3542,1.0128,0.279
train,0,384,1.2934,64.0625,25.7109,1.0204,0.2731
train,0,416,1.2926,62.7604,25.724,1.0294,0.2633
train,0,448,1.2765,60.4167,23.4818,1.0093,0.2672
train,0,480,1.149,68.2292,26.1432,0.8816,0.2674
train,0,512,1.0618,71.6146,26.8151,0.8013,0.2605
validation,512,0,1.1128,68.4785,25.8092,0.8788,0.2339
train,0,544,1.23,65.1042,26.0391,0.9717,0.2584
train,0,576,1.2148,65.8854,25.5938,0.9577,0.2571
train,0,608,1.196,64.3229,24.6302,0.9374,0.2586
train,0,640,1.1019,68.75,24.9219,0.8505,0.2514
train,0,672,1.1836,69.7917,24.2266,0.93,0.2536
train,0,704,1.0952,72.3958,25.8099,0.8447,0.2505
train,0,736,1.086,71.0938,25.6953,0.8418,0.2442
train,0,768,0.9443,74.2188,27.9453,0.6973,0.247
validation,768,0,0.9581,73.319,27.0241,0.7381,0.22
train,0,800,0.9961,72.6562,27.3594,0.7517,0.2445
train,0,832,0.9774,71.3542,26.4714,0.7278,0.2496
train,0,864,1.0932,68.4896,26.9505,0.8515,0.2417
train,0,896,1.0534,71.3542,27.4818,0.8108,0.2425
train,0,928,0.9536,74.2188,26.7031,0.7095,0.2441
train,0,960,0.9972,73.1771,25.8359,0.7563,0.2409
train,0,992,0.9826,71.6146,26.3906,0.7386,0.244
train,0,1024,0.9492,76.5625,25.8229,0.7065,0.2427
validation,1024,0,0.8882,75.7109,25.7379,0.6744,0.2138
train,0,1056,0.8836,79.1667,26.0755,0.6435,0.2402
train,0,1088,0.9772,73.6979,26.8568,0.7445,0.2327
train,0,1120,0.9488,76.5625,26.112,0.7059,0.2429
train,0,1152,0.8844,80.7292,25.724,0.6448,0.2396
train,0,1184,0.9554,73.9583,25.3724,0.7185,0.2369
train,0,1216,0.9447,74.7396,25.5729,0.7075,0.2371
train,0,1248,0.9106,76.3021,26.0469,0.6719,0.2387
train,0,1280,0.8712,77.8646,25.6146,0.6405,0.2307
validation,1280,0,0.8556,76.7773,25.2619,0.6462,0.2093
train,0,1312,0.9503,75.0,25.4714,0.7126,0.2377
train,0,1344,0.8669,76.8229,26.0208,0.631,0.2359
train,0,1376,0.8308,79.1667,26.349,0.6043,0.2265
train,0,1408,0.9017,78.125,25.8099,0.6662,0.2355
train,0,1440,0.8709,75.0,26.0573,0.6385,0.2324
train,0,1472,0.8587,76.0417,26.7344,0.6238,0.2349
train,0,1504,0.8854,76.8229,27.3438,0.655,0.2304
train,0,1536,0.9002,73.9583,27.5859,0.6694,0.2307
validation,1536,0,0.8049,78.3916,27.0845,0.6027,0.2023
train,0,1568,0.8445,78.3854,27.4193,0.6147,0.2298
train,0,1600,0.8904,76.5625,26.9818,0.6598,0.2306
train,0,1632,0.8928,76.3021,27.0286,0.6641,0.2287
train,0,1664,0.8885,76.5625,26.1484,0.6564,0.2321
train,0,1696,0.8734,79.6875,25.862,0.6411,0.2322
train,0,1728,0.8184,78.9062,26.9609,0.5909,0.2275
train,0,1760,0.8714,79.1667,26.1328,0.6376,0.2338
train,0,1792,0.8083,80.2083,26.6927,0.5803,0.228
validation,1792,0,0.7867,79.1296,26.4607,0.5836,0.2031
train,0,1824,0.8097,78.6458,26.2656,0.5831,0.2267
train,0,1856,0.8461,79.1667,25.6302,0.6141,0.232
train,0,1888,0.8292,79.6875,25.7292,0.5965,0.2327
train,0,1920,0.8482,77.8646,26.3438,0.6171,0.2311
train,0,1952,0.8048,82.5521,26.2526,0.5756,0.2292
train,0,1984,0.8973,78.125,25.487,0.6685,0.2288
train,0,2016,0.8817,77.6042,26.3516,0.6499,0.2318
train,0,2048,0.8223,78.9062,26.4557,0.5972,0.2251
validation,2048,0,0.7831,78.9914,26.1181,0.5809,0.2022
