mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.1836,53.125,16.0078,1.4769,0.7067
train,0,64,1.8338,57.8125,17.5573,1.2471,0.5867
train,0,96,1.5049,64.8438,19.2656,0.9751,0.5299
train,0,128,1.3585,67.7083,23.1797,0.8882,0.4703
train,0,160,1.2739,70.5729,26.0286,0.8172,0.4567
train,0,192,1.2579,67.9688,27.2786,0.8149,0.443
train,0,224,1.1302,73.1771,28.6016,0.6947,0.4355
train,0,256,1.0833,77.3438,29.2109,0.6504,0.4329
validation,0,256,1.0069,78.3854,29.724,0.5756,0.4313
train,0,288,1.0331,74.7396,29.8229,0.6202,0.4128
train,0,320,1.0474,73.1771,30.1667,0.6409,0.4065
train,0,352,0.9877,75.7812,30.5182,0.5763,0.4114
train,0,384,0.9345,79.4271,30.6068,0.5313,0.4032
train,0,416,0.898,81.7708,31.1536,0.5003,0.3976
train,0,448,0.9902,76.8229,31.1198,0.6008,0.3895
train,0,480,0.8751,82.8125,31.0182,0.484,0.3912
train,0,512,0.8981,83.5938,31.0625,0.5169,0.3812
validation,0,512,0.8573,82.5521,31.3255,0.4703,0.3869
train,0,544,0.8546,83.3333,31.3646,0.4763,0.3784
train,0,576,0.8485,83.0729,31.3698,0.4748,0.3737
train,0,608,0.8354,82.0312,31.2396,0.4647,0.3708
train,0,640,0.8181,82.2917,30.9792,0.4534,0.3646
train,0,672,0.8436,81.7708,31.3021,0.4709,0.3728
train,0,704,0.8136,84.6354,30.5417,0.4457,0.3679
train,0,736,0.8358,82.8125,30.4271,0.468,0.3678
train,0,768,0.7506,85.9375,30.138,0.3778,0.3729
validation,0,768,0.7979,84.8958,30.8307,0.4195,0.3784
train,0,800,0.7837,83.0729,29.5391,0.4153,0.3683
train,0,832,0.8349,82.5521,29.237,0.4652,0.3697
train,0,864,0.8065,82.8125,28.2344,0.439,0.3675
train,0,896,0.7973,83.3333,28.8177,0.4196,0.3777
train,0,928,0.8423,81.5104,27.8854,0.4696,0.3727
train,0,960,0.7933,83.5938,28.7422,0.4237,0.3697
train,0,992,0.8329,82.8125,28.8594,0.4628,0.3701
train,0,1024,0.7539,85.6771,29.4323,0.389,0.3649
validation,0,1024,0.803,84.6354,30.1589,0.4226,0.3804
train,0,1056,0.7412,87.2396,28.7995,0.3732,0.368
train,0,1088,0.7232,87.5,29.2083,0.356,0.3672
train,0,1120,0.7765,85.6771,28.2135,0.4116,0.3649
train,0,1152,0.8137,82.5521,27.0365,0.4504,0.3633
train,0,1184,0.7601,86.9792,28.3958,0.3933,0.3668
train,0,1216,0.738,85.9375,28.0573,0.3828,0.3553
train,0,1248,0.7339,85.1562,27.9557,0.3676,0.3663
train,0,1280,0.7544,87.7604,27.7865,0.3851,0.3694
validation,0,1280,0.6671,88.2812,29.0104,0.2942,0.3729
train,0,1312,0.7209,85.9375,28.612,0.3622,0.3587
train,0,1344,0.7046,86.1979,28.9635,0.3436,0.361
train,0,1376,0.7386,83.8542,28.6562,0.3793,0.3593
train,0,1408,0.7768,85.6771,29.3464,0.4177,0.359
train,0,1440,0.7147,87.2396,29.0625,0.3579,0.3567
train,0,1472,0.6964,87.2396,29.1094,0.3375,0.3588
train,0,1504,0.704,85.6771,29.5234,0.3533,0.3507
train,0,1536,0.6897,88.5417,29.5677,0.3296,0.3601
validation,0,1536,0.6372,89.8438,30.0026,0.2702,0.367
train,0,1568,0.6999,88.2812,28.9115,0.3405,0.3593
train,0,1600,0.68,87.5,29.5312,0.3237,0.3563
train,0,1632,0.7224,86.7188,29.1979,0.3633,0.3591
train,0,1664,0.747,87.5,28.6797,0.3825,0.3645
train,0,1696,0.7379,84.375,28.0234,0.3786,0.3593
train,0,1728,0.7244,85.1562,28.7266,0.366,0.3584
train,0,1760,0.7224,85.6771,29.0156,0.3616,0.3608
train,0,1792,0.687,87.2396,28.7161,0.3277,0.3593
validation,0,1792,0.6028,92.9688,28.5443,0.2372,0.3656
train,0,1824,0.6748,89.8438,28.625,0.3166,0.3583
train,0,1856,0.7663,84.375,28.0104,0.4012,0.3651
train,0,1888,0.7102,85.9375,27.9323,0.3426,0.3676
train,0,1920,0.6766,86.4583,28.3047,0.3154,0.3613
train,0,1952,0.6948,86.1979,28.2865,0.3356,0.3592
train,0,1984,0.7185,84.8958,27.5365,0.3604,0.3581
train,0,2016,0.739,84.8958,27.4245,0.3756,0.3635
train,0,2048,0.68,89.0625,27.3333,0.3186,0.3613
validation,0,2048,0.6007,90.625,28.0625,0.2302,0.3706
