mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,18.0011,5.8782,12.1229,6.25
train,0,64,17.7994,6.6139,11.1855,5.6641
train,0,96,17.4357,6.3163,11.1194,6.0547
train,0,128,17.2164,6.1334,11.0829,7.0312
train,0,160,17.0635,5.951,11.1125,6.0547
train,0,192,16.7775,5.682,11.0955,5.6641
train,0,224,16.6495,5.5604,11.0891,5.4688
train,0,256,16.5029,5.4026,11.1003,4.6875
train,0,288,16.4045,5.2955,11.1089,5.4688
train,0,320,16.228,5.1277,11.1003,7.0312
train,0,352,15.529,4.4343,11.0947,6.25
train,0,384,14.1619,3.0848,11.0771,9.1797
train,0,416,13.9658,2.8682,11.0976,5.4688
train,0,448,13.9,2.8019,11.0981,6.6406
train,0,480,13.8105,2.7088,11.1017,5.2734
train,0,512,13.7848,2.6994,11.0854,7.6172
validation,0,512,13.6113,2.5829,11.0284,9.5647
train,0,544,13.6557,2.7013,10.9544,9.1797
train,0,576,12.8668,2.5095,10.3574,12.6953
train,0,608,11.3227,2.5358,8.787,25.7812
train,0,640,10.2797,2.516,7.7637,34.375
train,0,672,9.7692,2.5533,7.2159,39.0625
train,0,704,8.8506,2.4594,6.3912,46.4844
train,0,736,8.7591,2.5104,6.2487,46.4844
train,0,768,8.3969,2.4635,5.9335,49.0234
train,0,800,7.7817,2.4446,5.337,57.0312
train,0,832,7.3718,2.4203,4.9515,59.5703
train,0,864,7.3219,2.5263,4.7957,58.9844
train,0,896,7.1764,2.368,4.8083,58.2031
train,0,928,7.0485,2.4289,4.6196,61.5234
train,0,960,6.3436,2.3918,3.9518,68.1641
train,0,992,6.2461,2.3136,3.9325,64.6484
train,0,1024,6.3457,2.3394,4.0063,67.5781
validation,0,1024,6.1321,2.2894,3.8427,67.5919
train,0,1056,6.2274,2.2894,3.9379,68.5547
train,0,1088,6.2033,2.3286,3.8747,68.75
train,0,1120,5.9574,2.2679,3.6895,68.1641
train,0,1152,6.028,2.3119,3.716,70.7031
train,0,1184,6.0448,2.2895,3.7554,66.9922
train,0,1216,5.2201,2.2655,2.9546,76.9531
train,0,1248,5.7247,2.2783,3.4464,72.8516
train,0,1280,5.7513,2.2859,3.4655,72.0703
train,0,1312,5.4923,2.2244,3.2679,72.6562
train,0,1344,5.1404,2.3167,2.8237,76.9531
train,0,1376,5.7182,2.3528,3.3655,70.3125
train,0,1408,5.5539,2.287,3.2669,75.0
train,0,1440,5.5949,2.2269,3.368,69.9219
train,0,1472,5.5292,2.228,3.3013,71.4844
train,0,1504,5.1693,2.2117,2.9576,76.1719
train,0,1536,4.9963,2.281,2.7153,75.9766
validation,0,1536,5.2272,2.187,3.0402,74.3211
train,0,1568,5.1617,2.2519,2.9098,75.5859
train,0,1600,5.0163,2.1964,2.8199,75.9766
train,0,1632,5.3592,2.2654,3.0938,73.6328
train,0,1664,4.8914,2.2793,2.6121,79.6875
train,0,1696,4.7432,2.2041,2.5391,79.4922
train,0,1728,5.1167,2.1377,2.979,74.0234
train,0,1760,4.8955,2.1771,2.7184,76.3672
train,0,1792,5.0629,2.2152,2.8477,75.5859
train,0,1824,5.1309,2.1832,2.9477,74.6094
train,0,1856,5.0254,2.1897,2.8357,75.3906
train,0,1888,4.9534,2.1919,2.7615,76.3672
train,0,1920,4.858,2.1599,2.698,75.3906
train,0,1952,5.054,2.1878,2.8662,76.7578
train,0,1984,4.9059,2.1823,2.7235,75.7812
train,0,2016,4.7095,2.1657,2.5438,77.5391
train,0,2048,4.7775,2.1437,2.6338,75.7812
validation,0,2048,4.9281,2.1401,2.788,75.8946
