mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.194,37.2396,16.3021,1.8305,0.3636
train,0,64,1.7351,51.5625,17.0573,1.4333,0.3017
train,0,96,1.642,53.125,18.3151,1.3419,0.3
train,0,128,1.3751,59.375,21.6875,1.0872,0.288
train,0,160,1.15,72.9167,24.0234,0.8838,0.2662
train,0,192,1.0399,70.5729,26.7734,0.7877,0.2522
train,0,224,1.0809,71.875,27.7552,0.8445,0.2364
train,0,256,1.0534,69.2708,27.0599,0.8125,0.2408
validation,0,256,0.9959,70.3125,27.0599,0.7911,0.2048
train,0,288,0.9833,73.1771,27.5859,0.7514,0.2319
train,0,320,0.9909,73.1771,27.5182,0.7648,0.226
train,0,352,0.9788,73.6979,26.737,0.7542,0.2245
train,0,384,0.8765,75.0,28.6875,0.6483,0.2282
train,0,416,0.8951,73.9583,28.9844,0.6798,0.2152
train,0,448,0.8237,78.6458,28.5104,0.6038,0.2199
train,0,480,0.9134,73.4375,27.974,0.6902,0.2232
train,0,512,0.8261,77.6042,28.487,0.6066,0.2195
validation,0,512,0.7863,77.3438,27.1224,0.5938,0.1925
train,0,544,0.7956,77.8646,27.388,0.5793,0.2163
train,0,576,0.805,79.1667,28.0339,0.5873,0.2176
train,0,608,0.7889,77.8646,28.7578,0.5684,0.2205
train,0,640,0.7934,78.6458,29.3594,0.5738,0.2196
train,0,672,0.6788,83.5938,29.4193,0.4666,0.2122
train,0,704,0.7447,81.25,29.1615,0.5383,0.2064
train,0,736,0.7141,80.9896,28.75,0.5026,0.2115
train,0,768,0.7531,78.9062,28.9792,0.5438,0.2093
validation,0,768,0.7328,82.2917,28.6719,0.5544,0.1785
train,0,800,0.6741,82.8125,28.6771,0.4605,0.2137
train,0,832,0.7123,81.5104,28.5469,0.5036,0.2088
train,0,864,0.6745,82.8125,29.0859,0.4594,0.2152
train,0,896,0.6633,82.0312,28.625,0.4563,0.2071
train,0,928,0.646,84.1146,28.1562,0.438,0.208
train,0,960,0.6781,84.1146,27.849,0.4761,0.2019
train,0,992,0.7272,81.25,26.8021,0.5276,0.1997
train,0,1024,0.6703,80.4688,27.625,0.4649,0.2054
validation,0,1024,0.5868,85.4167,27.651,0.4088,0.1779
train,0,1056,0.6087,85.4167,28.3047,0.406,0.2027
train,0,1088,0.6674,82.8125,28.6354,0.4694,0.198
train,0,1120,0.6205,82.5521,28.1354,0.4186,0.2018
train,0,1152,0.6573,82.5521,28.5703,0.4603,0.1971
train,0,1184,0.6542,86.1979,26.7188,0.4539,0.2003
train,0,1216,0.6834,80.7292,26.8958,0.4883,0.1951
train,0,1248,0.6068,83.3333,25.5,0.405,0.2018
train,0,1280,0.6597,82.2917,27.5234,0.4612,0.1985
validation,0,1280,0.5858,84.8958,26.5417,0.4223,0.1635
train,0,1312,0.6659,83.3333,27.4271,0.4771,0.1888
train,0,1344,0.6257,84.8958,28.1901,0.4284,0.1973
train,0,1376,0.6226,84.375,27.7682,0.4243,0.1983
train,0,1408,0.6224,86.1979,27.1302,0.4248,0.1977
train,0,1440,0.6545,82.0312,27.8203,0.4608,0.1937
train,0,1472,0.6232,85.9375,27.9036,0.428,0.1951
train,0,1504,0.5824,83.3333,28.6536,0.3879,0.1945
train,0,1536,0.5944,86.4583,28.0417,0.4004,0.194
validation,0,1536,0.5562,86.9792,26.9818,0.3937,0.1625
train,0,1568,0.6148,86.1979,27.6562,0.4219,0.1929
train,0,1600,0.5603,84.1146,28.1016,0.366,0.1943
train,0,1632,0.5755,85.6771,27.6562,0.3798,0.1957
train,0,1664,0.559,86.1979,28.0651,0.3642,0.1948
train,0,1696,0.6521,84.6354,27.4427,0.4575,0.1946
train,0,1728,0.5965,87.2396,27.5443,0.4021,0.1944
train,0,1760,0.5542,87.5,28.0547,0.36,0.1942
train,0,1792,0.6078,85.1562,27.401,0.4142,0.1936
validation,0,1792,0.5805,85.6771,27.0677,0.4195,0.161
train,0,1824,0.5702,86.7188,27.1979,0.3783,0.1919
train,0,1856,0.5906,87.2396,28.013,0.3965,0.1941
train,0,1888,0.5739,85.1562,27.2656,0.3815,0.1925
train,0,1920,0.6406,83.8542,27.2005,0.4431,0.1975
train,0,1952,0.6092,84.6354,27.1042,0.4134,0.1958
train,0,1984,0.5831,86.4583,27.3932,0.3881,0.195
train,0,2016,0.5713,87.2396,26.7526,0.3745,0.1968
train,0,2048,0.5813,85.4167,27.2734,0.3861,0.1952
validation,0,2048,0.4685,88.5417,26.6901,0.3061,0.1624
