step, en to de, de to en
256, 0.05, 0.26
512, 0.12, 0.22
768, 0.21, 0.26
1024, 0.26, 0.23
1280, 0.16, 0.15
1536, 0.24, 0.34
1792, 0.19, 0.41
2048, 0.17, 0.17
2304, 0.23, 0.19
2560, 0.21, 0.34
2816, 0.27, 0.3
3072, 0.26, 0.34
3328, 0.24, 0.39
3584, 0.4, 0.5
3840, 0.89, 1.26
4096, 9.94, 14.69
4352, 17.25, 21.6
4608, 18.42, 22.97
4864, 20.34, 24.45
5120, 21.63, 25.27
5376, 21.79, 25.38
5632, 22.22, 26.7
5888, 22.34, 26.22
6144, 22.28, 27.87
6400, 23.4, 28.24
6656, 24.32, 28.85
6912, 23.43, 28.36
7168, 23.71, 29.37
7424, 25.98, 30.01
7680, 24.93, 29.42
7936, 25.11, 29.93
8192, 27.57, 30.29
