mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,20.083,1.6818,18.4013,13.0859
train,0,64,17.385,0.7535,16.6316,13.4766
train,0,96,22.412,5.626,16.786,10.3516
train,0,128,27.1592,10.4728,16.6864,13.4766
train,0,160,24.1002,7.4458,16.6544,13.4766
train,0,192,23.1802,6.4931,16.6871,10.7422
train,0,224,22.8077,6.1532,16.6545,10.7422
train,0,256,22.5277,5.9153,16.6124,12.8906
train,0,288,22.3114,5.6722,16.6392,12.6953
train,0,320,22.2881,5.6065,16.6816,10.3516
train,0,352,22.1408,5.5062,16.6345,12.1094
train,0,384,22.0806,5.4411,16.6395,13.2812
train,0,416,21.8983,5.2584,16.6399,13.0859
train,0,448,21.8188,5.1936,16.6252,15.0391
train,0,480,21.693,5.0301,16.6629,10.7422
train,0,512,21.4285,4.7958,16.6327,11.3281
validation,0,512,20.9934,4.3526,16.6408,12.2005
train,0,544,21.2034,4.5919,16.6115,13.4766
train,0,576,18.1178,1.4644,16.6534,12.3047
train,0,608,17.2395,0.5641,16.6754,13.8672
train,0,640,16.8439,0.2127,16.6312,13.2812
train,0,672,16.8846,0.2405,16.6441,13.4766
train,0,704,16.778,0.1793,16.5987,13.4766
train,0,736,16.6133,0.1315,16.4817,14.2578
train,0,768,16.3003,0.1069,16.1933,13.2812
train,0,800,15.7685,0.0821,15.6864,14.2578
train,0,832,15.8424,0.0795,15.7628,14.0625
train,0,864,15.4668,0.079,15.3878,16.6016
train,0,896,14.5946,0.0596,14.5349,23.0469
train,0,928,14.511,0.0603,14.4508,29.6875
train,0,960,13.0347,0.09,12.9448,34.7656
train,0,992,12.6424,0.0892,12.5531,37.6953
train,0,1024,10.9436,0.0664,10.8772,46.0938
validation,0,1024,9.4833,0.0423,9.441,55.3195
train,0,1056,9.5138,0.0515,9.4623,53.5156
train,0,1088,8.4321,0.0544,8.3776,61.1328
train,0,1120,7.5382,0.0453,7.4929,66.0156
train,0,1152,7.3318,0.0572,7.2746,65.0391
train,0,1184,7.0988,0.0405,7.0584,65.625
train,0,1216,6.5861,0.0495,6.5366,72.0703
train,0,1248,6.4863,0.0639,6.4224,68.1641
train,0,1280,6.7559,0.0537,6.7022,68.3594
train,0,1312,5.9501,0.0372,5.913,72.2656
train,0,1344,5.0818,0.0562,5.0256,77.9297
train,0,1376,5.7328,0.0428,5.6901,74.8047
train,0,1408,5.6096,0.0451,5.5646,74.8047
train,0,1440,5.2369,0.044,5.1929,76.5625
train,0,1472,5.3202,0.0449,5.2753,75.7812
train,0,1504,4.9389,0.0535,4.8854,75.9766
train,0,1536,4.9014,0.0291,4.8723,78.125
validation,0,1536,4.6387,0.0277,4.611,79.2133
train,0,1568,5.0775,0.039,5.0384,77.9297
train,0,1600,4.8612,0.05,4.8112,78.7109
train,0,1632,4.9173,0.0319,4.8855,77.5391
train,0,1664,4.759,0.042,4.717,75.7812
train,0,1696,4.5028,0.0427,4.4601,80.2734
train,0,1728,4.2423,0.0448,4.1975,81.6406
train,0,1760,3.8751,0.0579,3.8172,81.4453
train,0,1792,4.3085,0.032,4.2765,79.6875
train,0,1824,4.3445,0.0374,4.3071,81.4453
train,0,1856,4.2618,0.0315,4.2303,80.2734
train,0,1888,4.0214,0.0278,3.9936,83.2031
train,0,1920,4.268,0.0412,4.2268,80.2734
train,0,1952,3.8098,0.0473,3.7625,83.3984
train,0,1984,4.0101,0.0339,3.9762,81.8359
train,0,2016,3.9481,0.0274,3.9207,81.6406
train,0,2048,4.1856,0.0257,4.1599,80.8594
validation,0,2048,3.8713,0.0241,3.8473,82.8954
