mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.1315,55.7292,15.0729,1.4354,0.6961
train,0,64,2.074,50.0,17.3438,1.5997,0.4743
train,0,96,2.2569,39.5833,20.3099,1.8991,0.3578
train,0,128,2.0899,43.4896,23.9557,1.7793,0.3107
train,0,160,1.9337,49.2188,25.651,1.6354,0.2983
train,0,192,1.9004,45.5729,26.9115,1.6005,0.2999
train,0,224,1.8026,49.2188,27.0026,1.5156,0.287
train,0,256,1.9304,46.875,26.7734,1.6476,0.2828
validation,0,256,1.6087,56.25,27.3411,1.2931,0.3155
train,0,288,1.6572,53.6458,27.151,1.383,0.2742
train,0,320,1.6188,53.9062,26.987,1.3457,0.2731
train,0,352,1.7413,51.3021,25.8724,1.4745,0.2668
train,0,384,1.6754,51.8229,26.7578,1.4169,0.2584
train,0,416,1.5489,57.2917,27.276,1.2998,0.2491
train,0,448,1.6075,50.0,27.4479,1.3576,0.2499
train,0,480,1.5276,55.2083,27.5469,1.2826,0.2449
train,0,512,1.524,55.2083,28.5026,1.2793,0.2447
validation,0,512,1.4466,57.8125,28.888,1.1913,0.2553
train,0,544,1.4504,57.5521,28.224,1.2124,0.238
train,0,576,1.4772,58.5938,28.8229,1.2406,0.2367
train,0,608,1.6105,50.7812,28.1432,1.3741,0.2364
train,0,640,1.452,57.2917,29.013,1.2174,0.2346
train,0,672,1.5101,55.9896,28.4714,1.2819,0.2282
train,0,704,1.4596,56.25,29.1719,1.2311,0.2285
train,0,736,1.5005,58.0729,29.1719,1.273,0.2275
train,0,768,1.395,58.5938,29.6198,1.1725,0.2226
validation,0,768,1.369,58.5938,29.474,1.1351,0.2339
train,0,800,1.4151,58.3333,29.8958,1.1943,0.2209
train,0,832,1.3812,58.8542,29.4792,1.1604,0.2208
train,0,864,1.4181,57.5521,29.6589,1.1939,0.2241
train,0,896,1.4364,59.6354,29.4531,1.2134,0.223
train,0,928,1.4593,58.0729,29.5599,1.241,0.2184
train,0,960,1.4307,57.5521,29.1901,1.2094,0.2213
train,0,992,1.4214,60.6771,29.3568,1.2039,0.2175
train,0,1024,1.2689,62.5,29.9453,1.0564,0.2124
validation,0,1024,1.3486,59.375,29.8802,1.1347,0.2139
train,0,1056,1.4614,60.4167,29.5156,1.2482,0.2133
train,0,1088,1.386,58.3333,29.7552,1.1734,0.2126
train,0,1120,1.3413,63.2812,30.5026,1.1312,0.2101
train,0,1152,1.3221,61.9792,29.9661,1.1071,0.215
train,0,1184,1.3527,55.2083,29.5599,1.1455,0.2072
train,0,1216,1.4476,56.7708,29.0391,1.2436,0.204
train,0,1248,1.4069,58.8542,29.2214,1.2,0.2068
train,0,1280,1.276,61.1979,30.0807,1.0697,0.2063
validation,0,1280,1.2512,63.0208,29.7174,1.0406,0.2106
train,0,1312,1.3269,55.7292,29.7656,1.1198,0.207
train,0,1344,1.3438,63.2812,29.6432,1.133,0.2108
train,0,1376,1.2956,61.7188,29.9557,1.0899,0.2057
train,0,1408,1.4603,57.2917,29.6771,1.2594,0.2009
train,0,1440,1.4045,58.0729,29.4349,1.2017,0.2028
train,0,1472,1.287,61.7188,29.7474,1.0876,0.1994
train,0,1504,1.417,57.5521,29.849,1.2155,0.2015
train,0,1536,1.54,53.3854,29.3516,1.3392,0.2008
validation,0,1536,1.2444,64.0625,29.7839,1.0435,0.2009
train,0,1568,1.3858,58.3333,29.3333,1.185,0.2008
train,0,1600,1.3254,61.9792,29.7344,1.125,0.2003
train,0,1632,1.3814,59.1146,29.7604,1.1804,0.201
train,0,1664,1.3482,61.9792,29.5938,1.1486,0.1996
train,0,1696,1.359,59.1146,29.4792,1.1592,0.1998
train,0,1728,1.4185,56.7708,29.8984,1.2184,0.2001
train,0,1760,1.4232,62.7604,29.7005,1.2221,0.2011
train,0,1792,1.2994,66.1458,29.263,1.0992,0.2002
validation,0,1792,1.296,62.8906,29.3464,1.0941,0.2019
train,0,1824,1.2889,62.2396,29.5156,1.0895,0.1994
train,0,1856,1.3984,61.1979,29.25,1.1987,0.1996
train,0,1888,1.4824,54.1667,29.8828,1.2826,0.1998
train,0,1920,1.3249,62.2396,29.3438,1.1244,0.2005
train,0,1952,1.369,60.4167,29.5391,1.1716,0.1975
train,0,1984,1.324,58.3333,29.7839,1.1246,0.1994
train,0,2016,1.3886,58.3333,29.5052,1.1873,0.2012
train,0,2048,1.404,59.8958,29.4583,1.2089,0.1951
validation,0,2048,1.2645,63.5417,29.5391,1.0663,0.1982
