mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,19.1597,7.8252,11.3345,6.4453
train,0,64,15.7136,5.851,9.8626,18.75
train,0,96,13.0494,5.6114,7.438,34.1797
train,0,128,11.268,5.2385,6.0295,49.6094
train,0,160,10.1834,4.8671,5.3162,53.9062
train,0,192,9.1331,4.577,4.5561,61.1328
train,0,224,8.3137,4.2387,4.0751,64.4531
train,0,256,7.6256,4.1011,3.5245,70.5078
train,0,288,7.2088,3.9154,3.2934,74.0234
train,0,320,6.9394,3.8104,3.1289,75.1953
train,0,352,6.6945,3.7202,2.9743,75.3906
train,0,384,6.314,3.5581,2.7558,79.8828
train,0,416,6.0747,3.4727,2.602,78.9062
train,0,448,5.8338,3.3879,2.446,80.0781
train,0,480,5.5889,3.3488,2.2401,82.2266
train,0,512,5.4161,3.2914,2.1248,82.6172
validation,0,512,5.3409,3.1738,2.1671,82.7077
train,0,544,5.3521,3.1215,2.2306,82.2266
train,0,576,5.3904,3.1192,2.2712,82.0312
train,0,608,4.926,3.0507,1.8753,84.9609
train,0,640,5.0379,3.0151,2.0227,83.2031
train,0,672,4.5857,3.0308,1.5549,87.5
train,0,704,4.801,3.0374,1.7637,86.5234
train,0,736,4.7353,2.9309,1.8044,84.7656
train,0,768,4.7308,2.85,1.8808,85.1562
train,0,800,4.6101,2.8328,1.7773,85.1562
train,0,832,4.2537,2.7791,1.4746,87.8906
train,0,864,4.3276,2.7861,1.5415,89.0625
train,0,896,4.2503,2.6905,1.5598,87.8906
train,0,928,4.3706,2.7408,1.6298,85.7422
train,0,960,4.1798,2.71,1.4697,88.8672
train,0,992,4.1588,2.7011,1.4577,89.4531
train,0,1024,4.027,2.6073,1.4197,87.1094
validation,0,1024,4.2031,2.5838,1.6193,86.3458
train,0,1056,4.0374,2.5885,1.4489,87.8906
train,0,1088,4.0692,2.5647,1.5045,87.3047
train,0,1120,4.05,2.526,1.524,86.3281
train,0,1152,4.0639,2.5641,1.4999,86.3281
train,0,1184,3.7237,2.5157,1.208,91.4062
train,0,1216,3.9501,2.518,1.4321,88.8672
train,0,1248,3.9587,2.4954,1.4632,86.7188
train,0,1280,4.0305,2.5054,1.5252,87.3047
train,0,1312,3.5493,2.3204,1.2289,89.2578
train,0,1344,3.7997,2.4181,1.3817,88.8672
train,0,1376,3.7084,2.3988,1.3096,89.2578
train,0,1408,3.7916,2.4033,1.3882,88.4766
train,0,1440,3.9323,2.3995,1.5328,87.1094
train,0,1472,3.6835,2.3892,1.2943,90.0391
train,0,1504,3.6639,2.3463,1.3176,88.8672
train,0,1536,3.438,2.3066,1.1314,90.0391
validation,0,1536,3.5886,2.2896,1.299,88.8259
train,0,1568,3.5314,2.3619,1.1695,90.4297
train,0,1600,3.5114,2.3564,1.155,89.4531
train,0,1632,3.6523,2.3125,1.3398,88.8672
train,0,1664,3.6907,2.3316,1.3591,90.0391
train,0,1696,3.6168,2.2087,1.4081,89.2578
train,0,1728,3.2323,2.2379,0.9943,91.2109
train,0,1760,3.4126,2.2162,1.1964,89.4531
train,0,1792,3.3836,2.2535,1.1301,91.2109
train,0,1824,3.461,2.2507,1.2103,89.2578
train,0,1856,3.2317,2.2233,1.0084,92.9688
train,0,1888,3.3606,2.2852,1.0755,89.2578
train,0,1920,3.2877,2.159,1.1287,90.4297
train,0,1952,3.2788,2.1615,1.1173,91.6016
train,0,1984,3.2926,2.2443,1.0482,90.8203
train,0,2016,3.3042,2.1972,1.1071,90.625
train,0,2048,3.0936,2.165,0.9287,92.5781
validation,0,2048,3.3223,2.1388,1.1834,90.2356
