mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,19.6307,1.7377,17.893,12.3047
train,0,64,17.0436,0.9863,16.0573,22.6562
train,0,96,13.8206,0.4926,13.328,36.5234
train,0,128,11.276,0.2855,10.9905,49.2188
train,0,160,9.2167,0.2705,8.9462,58.9844
train,0,192,7.57,0.2201,7.35,64.4531
train,0,224,6.6175,0.1757,6.4418,72.0703
train,0,256,6.3581,0.388,5.9701,73.4375
train,0,288,7.8684,1.9785,5.8899,77.1484
train,0,320,5.5702,0.3263,5.2439,75.3906
train,0,352,4.8389,0.2477,4.5913,79.8828
train,0,384,4.4961,0.2046,4.2915,80.6641
train,0,416,4.5289,0.1673,4.3616,80.8594
train,0,448,4.1363,0.1744,3.9619,83.2031
train,0,480,4.0779,0.1695,3.9085,82.6172
train,0,512,3.7215,0.1829,3.5387,85.1562
validation,0,512,3.5383,0.0925,3.4458,85.4273
train,0,544,3.7101,0.1328,3.5773,85.3516
train,0,576,3.4237,0.1298,3.294,88.2812
train,0,608,3.0727,0.1176,2.9551,87.6953
train,0,640,3.0773,0.1093,2.968,86.9141
train,0,672,2.8168,0.1174,2.6994,89.8438
train,0,704,3.1363,0.1033,3.033,86.7188
train,0,736,2.9996,0.1037,2.896,87.1094
train,0,768,2.9837,0.1159,2.8679,87.1094
train,0,800,2.7029,0.1095,2.5934,88.6719
train,0,832,2.6625,0.0869,2.5756,88.6719
train,0,864,2.5522,0.1081,2.4441,90.625
train,0,896,2.588,0.0958,2.4921,90.2344
train,0,928,2.4053,0.0797,2.3256,89.0625
train,0,960,2.4561,0.088,2.3681,89.4531
train,0,992,2.317,0.0938,2.2232,90.8203
train,0,1024,2.3862,0.0842,2.3019,89.8438
validation,0,1024,2.3351,0.0628,2.2723,89.972
train,0,1056,2.3006,0.0779,2.2226,89.0625
train,0,1088,2.3627,0.0719,2.2907,90.625
train,0,1120,2.3007,0.0761,2.2247,90.8203
train,0,1152,2.3553,0.0741,2.2812,91.4062
train,0,1184,2.3248,0.0975,2.2273,91.2109
train,0,1216,2.0614,0.0843,1.9771,90.8203
train,0,1248,1.7287,0.0807,1.648,93.3594
train,0,1280,1.8572,0.0765,1.7807,91.9922
train,0,1312,1.9129,0.0745,1.8384,91.2109
train,0,1344,1.9083,0.0699,1.8384,92.5781
train,0,1376,1.9136,0.0704,1.8432,92.5781
train,0,1408,2.1987,0.0756,2.123,89.8438
train,0,1440,1.6988,0.0832,1.6156,93.75
train,0,1472,1.7432,0.0681,1.6751,94.1406
train,0,1504,2.0046,0.0787,1.9259,91.2109
train,0,1536,2.0545,0.0745,1.9799,92.3828
validation,0,1536,1.8589,0.0535,1.8054,92.488
train,0,1568,1.9808,0.0802,1.9006,91.6016
train,0,1600,1.563,0.0657,1.4974,94.9219
train,0,1632,1.921,0.0605,1.8606,92.5781
train,0,1664,2.0523,0.0531,1.9992,92.7734
train,0,1696,1.8402,0.0605,1.7797,93.1641
train,0,1728,2.0575,0.0657,1.9917,91.0156
train,0,1760,1.6742,0.0718,1.6024,94.1406
train,0,1792,1.6488,0.0663,1.5825,93.3594
train,0,1824,1.6076,0.0742,1.5334,93.5547
train,0,1856,1.7039,0.0712,1.6327,94.7266
train,0,1888,1.9576,0.0593,1.8983,89.6484
train,0,1920,1.5782,0.0646,1.5135,93.9453
train,0,1952,1.7326,0.067,1.6655,92.3828
train,0,1984,1.6621,0.0654,1.5967,93.3594
train,0,2016,1.9277,0.0588,1.8688,91.2109
train,0,2048,1.7141,0.0612,1.6528,93.9453
validation,0,2048,1.7199,0.0506,1.6693,92.7995
