mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,3.0956,38.0208,11.7578,2.2899,0.8056
train,0,64,2.7579,38.2812,13.026,2.1491,0.6088
train,0,96,2.8991,33.5938,12.6823,2.3837,0.5154
train,0,128,2.7901,31.25,13.8516,2.3725,0.4176
train,0,160,2.7091,29.6875,14.2682,2.3398,0.3693
train,0,192,2.7261,28.6458,15.7161,2.4075,0.3187
train,0,224,2.8265,23.1771,17.0599,2.5311,0.2955
train,0,256,2.7613,25.0,19.1146,2.4941,0.2672
validation,0,256,2.4309,36.1979,19.8724,2.1525,0.2784
train,0,288,2.6905,25.5208,19.4922,2.4347,0.2557
train,0,320,2.7535,23.4375,20.0208,2.4995,0.2541
train,0,352,2.5053,28.6458,21.1432,2.2599,0.2455
train,0,384,2.5536,26.3021,22.2188,2.313,0.2406
train,0,416,2.6569,25.5208,23.5443,2.4174,0.2394
train,0,448,2.4453,33.8542,24.2057,2.2181,0.2272
train,0,480,2.3598,34.8958,23.1328,2.1295,0.2303
train,0,512,2.1668,40.3646,23.2786,1.9395,0.2273
validation,0,512,1.7512,54.6875,24.4349,1.5284,0.2228
train,0,544,2.1995,39.3229,23.138,1.9668,0.2327
train,0,576,2.0323,41.4062,24.5547,1.8043,0.2281
train,0,608,2.1107,42.4479,24.4714,1.8881,0.2225
train,0,640,2.0293,45.3125,24.4323,1.7979,0.2314
train,0,672,1.8976,50.0,23.5938,1.6691,0.2285
train,0,704,1.8489,50.7812,25.4375,1.6224,0.2265
train,0,736,1.9061,47.9167,25.2083,1.682,0.2241
train,0,768,1.8795,47.9167,25.4167,1.6512,0.2283
validation,0,768,1.5497,56.901,25.638,1.3406,0.2091
train,0,800,1.7572,51.8229,24.7865,1.5364,0.2209
train,0,832,1.7335,51.5625,24.4948,1.5129,0.2206
train,0,864,1.8711,47.1354,24.2474,1.6564,0.2147
train,0,896,1.7836,47.6562,24.6146,1.5679,0.2157
train,0,928,1.801,46.3542,24.9714,1.5838,0.2172
train,0,960,1.761,52.8646,23.5885,1.5421,0.2188
train,0,992,1.6669,54.9479,24.9036,1.4544,0.2124
train,0,1024,1.6994,53.9062,24.0521,1.4888,0.2106
validation,0,1024,1.4809,58.5938,25.0846,1.2782,0.2027
train,0,1056,1.6921,55.2083,24.8333,1.4777,0.2143
train,0,1088,1.6737,53.6458,23.5,1.4594,0.2143
train,0,1120,1.7042,53.125,23.7943,1.4911,0.2131
train,0,1152,1.6013,58.8542,24.8385,1.378,0.2232
train,0,1184,1.619,57.2917,25.3151,1.4129,0.2061
train,0,1216,1.7521,51.0417,24.8411,1.539,0.213
train,0,1248,1.6506,53.125,25.599,1.4484,0.2022
train,0,1280,1.7421,50.7812,24.6458,1.5396,0.2024
validation,0,1280,1.4163,59.8958,26.0286,1.2267,0.1896
train,0,1312,1.6594,54.6875,24.9323,1.4513,0.2081
train,0,1344,1.7256,57.2917,24.8828,1.525,0.2006
train,0,1376,1.6869,54.6875,24.9896,1.4848,0.202
train,0,1408,1.607,53.6458,25.1146,1.4034,0.2036
train,0,1440,1.7074,52.6042,25.5964,1.5065,0.2009
train,0,1472,1.5883,56.7708,25.1979,1.3864,0.2018
train,0,1504,1.6195,54.9479,25.5547,1.4104,0.2091
train,0,1536,1.5914,55.9896,26.1146,1.3829,0.2085
validation,0,1536,1.334,64.0625,26.1719,1.149,0.185
train,0,1568,1.6567,55.2083,25.8333,1.4567,0.2
train,0,1600,1.6718,53.3854,24.9401,1.469,0.2028
train,0,1632,1.7004,51.8229,25.8385,1.5023,0.1981
train,0,1664,1.6314,55.9896,24.7578,1.4327,0.1987
train,0,1696,1.5922,56.25,24.9531,1.3876,0.2046
train,0,1728,1.7752,50.2604,25.2474,1.5766,0.1986
train,0,1760,1.586,55.4688,25.7682,1.3855,0.2005
train,0,1792,1.6299,56.7708,25.9453,1.4275,0.2024
validation,0,1792,1.3819,63.5417,26.4505,1.1982,0.1837
train,0,1824,1.5938,57.0312,25.8594,1.3945,0.1993
train,0,1856,1.5883,55.2083,26.2266,1.3939,0.1944
train,0,1888,1.6407,54.9479,24.7682,1.4362,0.2046
train,0,1920,1.5574,57.0312,25.6901,1.3633,0.1941
train,0,1952,1.6202,55.9896,25.4557,1.42,0.2002
train,0,1984,1.6588,52.8646,25.2552,1.4607,0.1981
train,0,2016,1.6415,54.9479,25.5599,1.4467,0.1948
train,0,2048,1.5419,56.25,25.2474,1.3446,0.1973
validation,0,2048,1.3595,65.2344,26.7747,1.1803,0.1792
