step, en to ne, ne to en
256, 0.06, 0.07
512, 0.08, 0.09
768, 0.06, 0.1
1024, 0.04, 0.15
1280, 0.1, 0.14
1536, 0.1, 0.15
1792, 0.1, 0.13
2048, 0.1, 0.14
2304, 0.09, 0.16
2560, 0.1, 0.22
2816, 0.1, 0.26
3072, 0.12, 0.26
3328, 0.11, 0.29
3584, 0.15, 0.38
3840, 0.12, 0.39
4096, 0.16, 0.5
4352, 0.18, 0.71
4608, 0.18, 1.02
4864, 0.34, 2.0
5120, 0.49, 2.58
5376, 0.65, 3.18
5632, 0.74, 3.38
5888, 0.85, 3.54
6144, 0.95, 3.77
6400, 1.16, 3.85
6656, 1.03, 3.85
6912, 1.13, 3.92
7168, 1.1, 3.65
7424, 1.11, 3.7
7680, 1.23, 3.89
7936, 1.03, 3.77
8192, 1.24, 4.05
