mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,15.4564,3.1052,12.3511,6.6406
train,0,64,14.0534,2.8016,11.2518,5.4688
train,0,96,13.9287,2.7536,11.1751,6.25
train,0,128,13.8029,2.6958,11.1071,7.2266
train,0,160,13.7521,2.6215,11.1306,5.4688
train,0,192,13.657,2.5622,11.0948,6.0547
train,0,224,13.5689,2.4807,11.0882,5.6641
train,0,256,13.5775,2.4805,11.0969,4.6875
train,0,288,13.5443,2.4389,11.1054,5.0781
train,0,320,13.5161,2.4174,11.0987,7.0312
train,0,352,13.5176,2.4172,11.1004,6.0547
train,0,384,13.443,2.3488,11.0942,7.2266
train,0,416,13.4908,2.3805,11.1103,6.8359
train,0,448,13.5029,2.3903,11.1127,6.8359
train,0,480,13.4435,2.3323,11.1112,5.4688
train,0,512,13.4481,2.3504,11.0977,7.8125
validation,0,512,13.358,2.2568,11.1011,5.7907
train,0,544,13.4829,2.369,11.1139,5.0781
train,0,576,13.3089,2.1949,11.114,4.6875
train,0,608,13.335,2.2368,11.0982,7.0312
train,0,640,13.3535,2.2441,11.1094,6.25
train,0,672,13.4121,2.2929,11.1192,5.0781
train,0,704,13.288,2.2086,11.0794,8.3984
train,0,736,13.3818,2.2788,11.103,6.8359
train,0,768,13.6147,2.5164,11.0983,7.0312
train,0,800,13.8966,2.8035,11.0931,5.6641
train,0,832,13.7814,2.6875,11.0938,5.0781
train,0,864,13.3624,2.7845,10.5779,11.9141
train,0,896,11.8796,2.6333,9.2462,18.9453
train,0,928,11.0571,2.6637,8.3934,29.1016
train,0,960,9.731,2.5897,7.1413,38.2812
train,0,992,9.038,2.5127,6.5253,42.5781
train,0,1024,8.4023,2.5736,5.8286,49.2188
validation,0,1024,8.0606,2.4963,5.5643,52.9832
train,0,1056,7.9341,2.4933,5.4408,55.0781
train,0,1088,7.6992,2.5412,5.158,54.8828
train,0,1120,7.348,2.471,4.8771,58.3984
train,0,1152,7.0936,2.5135,4.5802,60.7422
train,0,1184,6.9119,2.4917,4.4202,60.3516
train,0,1216,6.2783,2.4609,3.8174,68.9453
train,0,1248,6.4806,2.4887,3.9919,66.6016
train,0,1280,6.7065,2.5101,4.1964,66.4062
train,0,1312,6.278,2.4267,3.8513,67.1875
train,0,1344,5.826,2.5246,3.3014,72.4609
train,0,1376,6.4243,2.5486,3.8757,67.3828
train,0,1408,6.1689,2.5047,3.6641,68.3594
train,0,1440,6.0763,2.4674,3.6089,70.1172
train,0,1472,6.0551,2.4502,3.605,69.5312
train,0,1504,5.8373,2.4249,3.4124,70.8984
train,0,1536,5.4714,2.5173,2.954,73.2422
validation,0,1536,5.7053,2.3829,3.3224,72.3403
train,0,1568,5.6995,2.4564,3.2431,71.875
train,0,1600,5.5486,2.41,3.1386,71.0938
train,0,1632,5.7821,2.4824,3.2997,72.0703
train,0,1664,5.5001,2.5162,2.9839,73.2422
train,0,1696,5.2563,2.4246,2.8317,75.1953
train,0,1728,5.5344,2.3509,3.1835,71.2891
train,0,1760,5.2353,2.378,2.8573,76.3672
train,0,1792,5.4604,2.4186,3.0418,74.0234
train,0,1824,5.4802,2.385,3.0951,72.8516
train,0,1856,5.4186,2.3899,3.0287,74.0234
train,0,1888,5.3617,2.4134,2.9482,74.8047
train,0,1920,5.1828,2.3717,2.8111,75.7812
train,0,1952,5.4295,2.389,3.0405,74.2188
train,0,1984,5.3038,2.4022,2.9016,73.8281
train,0,2016,5.0575,2.3761,2.6814,76.7578
train,0,2048,5.1287,2.3374,2.7913,74.4141
validation,0,2048,5.2314,2.3387,2.8928,75.0799
