mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.3839,36.4583,15.1901,2.003,0.3809
train,0,64,1.938,49.2188,16.5703,1.5879,0.3501
train,0,96,1.6974,54.9479,18.3724,1.3502,0.3472
train,0,128,1.4018,62.2396,19.0391,1.0619,0.3399
train,0,160,1.2477,67.1875,21.3359,0.9422,0.3055
train,0,192,1.1108,70.8333,22.9661,0.8217,0.2891
train,0,224,1.131,71.3542,23.3594,0.8499,0.2811
train,0,256,0.989,74.2188,25.6276,0.7204,0.2687
validation,0,256,1.0907,71.6146,24.9766,0.8534,0.2372
train,0,288,1.0618,71.875,25.3672,0.7882,0.2736
train,0,320,1.0592,70.5729,23.7083,0.7922,0.267
train,0,352,0.9268,77.0833,23.6641,0.6606,0.2662
train,0,384,0.9249,77.3438,23.1823,0.6651,0.2597
train,0,416,0.9725,75.0,21.3229,0.7064,0.2661
train,0,448,0.9475,77.6042,22.0807,0.6748,0.2727
train,0,480,0.92,76.5625,22.4948,0.6528,0.2672
train,0,512,0.9344,76.3021,23.7656,0.6763,0.2582
validation,0,512,0.853,77.0833,23.0781,0.6233,0.2297
train,0,544,0.8616,81.5104,23.2031,0.6112,0.2504
train,0,576,0.8164,78.6458,23.763,0.5592,0.2572
train,0,608,0.8208,78.6458,23.8438,0.5704,0.2504
train,0,640,0.9845,72.1354,23.4948,0.7351,0.2494
train,0,672,0.8432,78.125,23.6693,0.596,0.2472
train,0,704,0.8319,78.125,25.3333,0.5903,0.2416
train,0,736,0.7963,80.2083,24.1276,0.5642,0.2321
train,0,768,0.7758,81.5104,24.9167,0.5335,0.2424
validation,0,768,0.736,82.2917,24.5964,0.5157,0.2203
train,0,800,0.845,80.4688,23.2708,0.5994,0.2456
train,0,832,0.8657,74.4792,24.5443,0.6284,0.2373
train,0,864,0.8415,79.4271,24.9766,0.5988,0.2427
train,0,896,0.8179,81.5104,24.1276,0.5825,0.2354
train,0,928,0.8256,79.4271,21.7448,0.582,0.2436
train,0,960,0.7228,84.6354,24.638,0.4853,0.2375
train,0,992,0.7366,81.5104,25.5781,0.5096,0.227
train,0,1024,0.7382,82.5521,23.1484,0.5044,0.2338
validation,0,1024,0.7909,78.6458,22.9036,0.5792,0.2118
train,0,1056,0.7606,80.4688,24.5547,0.5301,0.2305
train,0,1088,0.6831,80.9896,24.3542,0.4561,0.2269
train,0,1120,0.792,79.6875,22.9245,0.5613,0.2307
train,0,1152,0.7966,79.6875,23.9714,0.5678,0.2289
train,0,1184,0.8483,77.8646,22.8099,0.6097,0.2385
train,0,1216,0.6905,82.2917,25.1458,0.4668,0.2237
train,0,1248,0.7053,82.2917,24.1562,0.4742,0.2311
train,0,1280,0.798,79.4271,25.6328,0.5715,0.2265
validation,0,1280,0.7114,82.2917,25.1797,0.5156,0.1959
train,0,1312,0.7126,82.2917,23.7839,0.4864,0.2262
train,0,1344,0.7855,79.6875,24.5599,0.5628,0.2227
train,0,1376,0.6599,85.9375,24.8802,0.4357,0.2242
train,0,1408,0.801,80.4688,22.8802,0.5727,0.2284
train,0,1440,0.7047,82.5521,23.9141,0.4807,0.224
train,0,1472,0.7457,82.8125,22.1953,0.5145,0.2312
train,0,1504,0.6447,84.8958,23.8854,0.4235,0.2212
train,0,1536,0.6996,83.0729,23.599,0.476,0.2236
validation,0,1536,0.7293,80.4688,23.2526,0.5288,0.2005
train,0,1568,0.6575,85.4167,23.3047,0.4349,0.2226
train,0,1600,0.7268,84.8958,22.6146,0.5013,0.2256
train,0,1632,0.7574,81.5104,23.4792,0.5367,0.2207
train,0,1664,0.6125,86.7188,23.7839,0.3887,0.2238
train,0,1696,0.7103,83.5938,24.1693,0.4923,0.2179
train,0,1728,0.7034,83.3333,24.0078,0.4854,0.218
train,0,1760,0.7487,79.9479,24.1953,0.5273,0.2215
train,0,1792,0.7291,81.25,23.7812,0.5062,0.2229
validation,0,1792,0.667,83.5938,24.3333,0.4738,0.1932
train,0,1824,0.7343,80.7292,24.2474,0.5167,0.2176
train,0,1856,0.6526,86.4583,23.6745,0.4333,0.2194
train,0,1888,0.7514,81.5104,22.9141,0.5331,0.2183
train,0,1920,0.6931,83.3333,23.5156,0.4734,0.2197
train,0,1952,0.7054,83.5938,24.1562,0.4861,0.2193
train,0,1984,0.66,85.4167,23.1641,0.4365,0.2234
train,0,2016,0.7598,82.2917,23.612,0.5448,0.2151
train,0,2048,0.6793,83.0729,23.4922,0.4602,0.2191
validation,0,2048,0.6003,85.9375,23.7083,0.406,0.1942
