mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,15.4564,3.1052,12.3511,6.6406
train,0,64,14.0546,2.8017,11.2529,5.4688
train,0,96,13.927,2.7536,11.1735,6.25
train,0,128,13.8003,2.697,11.1033,7.2266
train,0,160,13.793,2.6206,11.1724,5.8594
train,0,192,13.665,2.5627,11.1023,5.6641
train,0,224,13.5731,2.4819,11.0911,5.6641
train,0,256,13.5852,2.48,11.1052,4.4922
train,0,288,13.5505,2.4391,11.1114,5.6641
train,0,320,13.5227,2.4191,11.1035,7.2266
train,0,352,13.5225,2.4178,11.1046,6.25
train,0,384,13.4327,2.3487,11.084,8.7891
train,0,416,13.4792,2.381,11.0982,5.0781
train,0,448,13.4888,2.3911,11.0977,6.6406
train,0,480,13.438,2.3305,11.1075,5.0781
train,0,512,13.4509,2.3515,11.0994,7.0312
validation,0,512,13.3549,2.2582,11.0966,6.1302
train,0,544,13.4783,2.3708,11.1075,4.4922
train,0,576,13.3035,2.1974,11.1061,4.2969
train,0,608,13.3319,2.2374,11.0945,7.0312
train,0,640,13.3517,2.245,11.1067,6.6406
train,0,672,13.4104,2.293,11.1174,5.0781
train,0,704,13.2878,2.2093,11.0786,8.9844
train,0,736,13.3802,2.2787,11.1014,7.2266
train,0,768,14.0279,2.9299,11.098,7.2266
train,0,800,13.7478,2.6511,11.0967,5.4688
train,0,832,13.5945,2.4655,11.1291,5.0781
train,0,864,13.6391,2.5291,11.11,3.5156
train,0,896,13.4891,2.388,11.1011,4.8828
train,0,928,13.4991,2.4135,11.0856,6.4453
train,0,960,13.4686,2.3739,11.0946,6.0547
train,0,992,13.3329,2.2386,11.0943,7.2266
train,0,1024,13.3386,2.2363,11.1023,4.2969
validation,0,1024,13.2724,2.1736,11.0987,6.3898
train,0,1056,13.2509,2.1687,11.0822,7.2266
train,0,1088,13.2796,2.2096,11.07,7.8125
train,0,1120,13.2724,2.1538,11.1186,5.2734
train,0,1152,13.2834,2.1943,11.0892,8.2031
train,0,1184,13.2708,2.171,11.0998,7.2266
train,0,1216,13.232,2.1511,11.0809,7.6172
train,0,1248,13.2687,2.1677,11.101,6.4453
train,0,1280,13.2769,2.1818,11.0951,7.6172
train,0,1312,13.4839,2.1198,11.364,6.0547
train,0,1344,13.4206,2.2197,11.2009,5.0781
train,0,1376,13.3997,2.2435,11.1562,6.8359
train,0,1408,13.3951,2.1918,11.2033,7.4219
train,0,1440,13.3148,2.1331,11.1817,5.4688
train,0,1472,13.2347,2.1444,11.0904,7.2266
train,0,1504,13.2608,2.1377,11.123,6.25
train,0,1536,13.3166,2.2146,11.1021,7.6172
validation,0,1536,13.1936,2.0996,11.0941,6.5096
train,0,1568,13.2401,2.1502,11.0899,5.8594
train,0,1600,13.2145,2.1107,11.1038,7.0312
train,0,1632,13.2859,2.1932,11.0928,7.6172
train,0,1664,13.2972,2.2137,11.0835,9.375
train,0,1696,13.2512,2.1533,11.0979,4.8828
train,0,1728,13.1384,2.0514,11.087,7.4219
train,0,1760,13.1885,2.0891,11.0994,5.4688
train,0,1792,13.2347,2.1348,11.0999,5.8594
train,0,1824,13.2045,2.1002,11.1043,3.5156
train,0,1856,13.1963,2.1003,11.096,4.4922
train,0,1888,13.1906,2.1001,11.0904,7.2266
train,0,1920,13.1554,2.0645,11.0909,6.0547
train,0,1952,13.2152,2.1107,11.1045,3.9062
train,0,1984,13.1991,2.0922,11.1068,5.0781
train,0,2016,13.1855,2.0775,11.108,4.8828
train,0,2048,13.1643,2.0518,11.1125,3.5156
validation,0,2048,13.1552,2.0595,11.0957,6.0903
