mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.6681,20.8333,15.5365,2.2917,0.3764
train,0,64,2.4237,27.0833,15.9375,2.1102,0.3135
train,0,96,2.3137,30.7292,17.0911,2.0045,0.3092
train,0,128,2.1502,35.9375,18.4375,1.8641,0.2861
train,0,160,2.1732,33.8542,19.2812,1.8939,0.2793
train,0,192,1.9279,43.75,19.3672,1.655,0.2729
train,0,224,1.9985,40.1042,18.4245,1.7288,0.2697
train,0,256,1.8898,41.1458,18.9167,1.6348,0.255
validation,0,256,1.7152,44.2708,20.5964,1.4974,0.2178
train,0,288,1.7468,46.0938,20.3594,1.501,0.2458
train,0,320,1.7508,47.6562,20.2031,1.5104,0.2404
train,0,352,1.7873,44.2708,19.9349,1.5478,0.2395
train,0,384,1.7743,45.3125,19.7526,1.5501,0.2242
train,0,416,1.8733,42.1875,17.6693,1.6331,0.2402
train,0,448,1.7273,45.3125,20.0755,1.4844,0.2429
train,0,480,1.7139,45.5729,20.4714,1.4868,0.2272
train,0,512,1.6259,49.4792,20.3255,1.399,0.227
validation,0,512,1.6447,48.9583,19.4401,1.4448,0.1999
train,0,544,1.6356,50.7812,19.5807,1.407,0.2286
train,0,576,1.5955,48.9583,21.237,1.377,0.2185
train,0,608,1.5849,49.7396,21.2422,1.3703,0.2145
train,0,640,1.5569,51.5625,19.8333,1.3375,0.2194
train,0,672,1.5805,48.9583,20.1536,1.3692,0.2114
train,0,704,1.6131,52.8646,19.625,1.3963,0.2168
train,0,736,1.524,51.3021,20.4688,1.3095,0.2145
train,1,768,1.5017,52.3438,21.1458,1.2859,0.2158
validation,1,768,1.3812,54.9479,21.7344,1.1927,0.1886
train,1,800,1.5453,51.8229,20.6771,1.3314,0.2138
train,1,832,1.5378,50.7812,20.0964,1.3307,0.2071
train,1,864,1.4697,56.7708,18.6901,1.259,0.2107
train,1,896,1.4937,54.4271,19.526,1.2888,0.2049
train,1,928,1.4146,57.2917,19.1484,1.2007,0.2139
train,1,960,1.4399,54.1667,19.5573,1.2306,0.2093
train,1,992,1.4303,54.6875,20.6536,1.2249,0.2054
train,1,1024,1.364,57.8125,21.2292,1.1607,0.2033
validation,1,1024,1.3566,57.8125,21.0026,1.187,0.1696
train,1,1056,1.399,57.2917,22.138,1.2063,0.1926
train,1,1088,1.3154,58.3333,21.1615,1.1249,0.1905
train,1,1120,1.4043,56.5104,18.5078,1.1975,0.2069
train,1,1152,1.4112,57.0312,18.3984,1.2114,0.1998
train,1,1184,1.3297,58.8542,20.487,1.1296,0.2001
train,1,1216,1.3651,61.4583,21.6146,1.1692,0.1959
train,1,1248,1.3573,57.2917,21.0312,1.1618,0.1955
train,1,1280,1.4383,56.5104,20.1354,1.2368,0.2015
validation,1,1280,1.216,62.2396,21.737,1.0511,0.1649
train,1,1312,1.4834,52.8646,19.9505,1.2865,0.1969
train,1,1344,1.3604,59.1146,19.9401,1.1615,0.1988
train,1,1376,1.2881,59.375,21.4896,1.0996,0.1884
train,1,1408,1.3053,59.375,19.3932,1.1095,0.1958
train,1,1440,1.329,57.5521,20.5859,1.1347,0.1944
train,1,1472,1.2182,64.0625,20.0312,1.0188,0.1994
train,2,1504,1.2775,59.6354,20.526,1.0833,0.1941
train,2,1536,1.3036,60.4167,20.6094,1.114,0.1896
validation,2,1536,1.2421,58.3333,21.0104,1.079,0.1631
train,2,1568,1.2775,60.6771,20.849,1.087,0.1905
train,2,1600,1.2487,61.1979,21.1224,1.0569,0.1918
train,2,1632,1.2779,60.4167,20.6823,1.0859,0.192
train,2,1664,1.2829,59.8958,19.8333,1.0856,0.1973
train,2,1696,1.2412,62.7604,20.625,1.0503,0.1909
train,2,1728,1.2598,61.1979,20.6198,1.0701,0.1897
train,2,1760,1.2048,63.0208,20.4609,1.0127,0.1921
train,2,1792,1.233,59.6354,22.0312,1.04,0.193
validation,2,1792,1.2012,63.2812,21.6302,1.0406,0.1606
train,2,1824,1.237,63.5417,21.0052,1.0456,0.1914
train,2,1856,1.2105,65.3646,21.1953,1.0148,0.1957
train,2,1888,1.2065,64.3229,20.5182,1.0119,0.1946
train,2,1920,1.2224,63.8021,20.5833,1.0283,0.1941
train,2,1952,1.2175,64.5833,20.3203,1.0212,0.1963
train,2,1984,1.228,64.5833,20.8464,1.0352,0.1929
train,2,2016,1.1479,65.625,21.0182,0.9491,0.1988
train,2,2048,1.3095,62.5,20.0677,1.113,0.1965
validation,2,2048,1.0836,67.9688,21.1849,0.9194,0.1642
