mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,18.3213,6.8409,11.4804,8.0078
train,0,64,16.8151,5.6917,11.1234,8.9844
train,0,96,16.0015,5.2076,10.7938,11.9141
train,0,128,14.6366,4.9241,9.7124,18.9453
train,0,160,12.6035,4.5485,8.055,35.1562
train,0,192,11.4322,4.3244,7.1079,38.8672
train,0,224,10.2855,4.1044,6.1811,47.0703
train,0,256,9.4989,3.8723,5.6266,48.2422
train,0,288,8.7217,3.7613,4.9604,57.8125
train,0,320,8.0934,3.6,4.4934,59.1797
train,0,352,7.885,3.5754,4.3096,61.9141
train,0,384,7.3478,3.4479,3.8999,68.5547
train,0,416,6.9744,3.4204,3.554,69.3359
train,0,448,6.645,3.3359,3.3091,71.4844
train,0,480,6.6682,3.341,3.3273,69.5312
train,0,512,6.2892,3.2662,3.023,74.2188
validation,0,512,6.0736,3.1372,2.9364,73.8419
train,0,544,6.0543,3.1889,2.8654,74.6094
train,0,576,5.7064,3.136,2.5704,76.5625
train,0,608,5.9502,3.2193,2.7309,76.5625
train,0,640,5.6874,3.0875,2.5998,77.3438
train,0,672,5.4682,2.9869,2.4813,79.6875
train,0,704,5.2919,2.908,2.3839,80.8594
train,0,736,5.1797,2.9859,2.1938,80.8594
train,0,768,5.2266,2.9374,2.2892,81.8359
train,0,800,4.82,2.8337,1.9863,83.7891
train,0,832,5.0428,2.8441,2.1988,80.6641
train,0,864,4.841,2.8707,1.9703,85.1562
train,0,896,4.8115,2.8365,1.975,83.3984
train,0,928,4.8419,2.8759,1.966,84.5703
train,0,960,4.8079,2.796,2.0119,84.9609
train,0,992,4.6027,2.7945,1.8082,83.9844
train,0,1024,4.7398,2.7737,1.9661,83.5938
validation,0,1024,4.5258,2.696,1.8298,84.3171
train,0,1056,4.5976,2.7559,1.8417,84.9609
train,0,1088,4.4374,2.6521,1.7853,86.7188
train,0,1120,4.5269,2.7056,1.8213,86.5234
train,0,1152,4.5577,2.6972,1.8605,83.5938
train,0,1184,4.1788,2.5571,1.6217,87.5
train,0,1216,4.4587,2.6463,1.8124,85.1562
train,0,1248,4.0601,2.5741,1.486,88.4766
train,0,1280,4.1151,2.6589,1.4562,87.8906
train,0,1312,4.2935,2.582,1.7115,84.9609
train,0,1344,4.0916,2.4937,1.5979,86.7188
train,0,1376,4.1581,2.5755,1.5826,86.5234
train,0,1408,4.1244,2.579,1.5454,85.9375
train,0,1440,3.9892,2.5659,1.4233,86.9141
train,0,1472,4.0932,2.5105,1.5827,87.5
train,0,1504,4.1207,2.5109,1.6099,86.3281
train,0,1536,3.9924,2.4871,1.5053,87.5
validation,0,1536,3.9023,2.4467,1.4556,87.7037
train,0,1568,3.852,2.4742,1.3777,89.2578
train,0,1600,3.8521,2.3956,1.4566,87.1094
train,0,1632,3.768,2.4343,1.3336,90.2344
train,0,1664,3.8578,2.4569,1.4009,88.2812
train,0,1696,3.7388,2.3736,1.3653,88.4766
train,0,1728,3.7812,2.3658,1.4154,88.4766
train,0,1760,3.5742,2.3557,1.2185,88.2812
train,0,1792,3.8364,2.3905,1.4459,89.6484
train,0,1824,3.6113,2.3721,1.2392,90.0391
train,0,1856,3.6815,2.3262,1.3553,88.0859
train,0,1888,3.8746,2.3837,1.4908,87.1094
train,0,1920,3.8963,2.4062,1.4901,87.8906
train,0,1952,3.6953,2.3212,1.3741,88.2812
train,0,1984,3.5989,2.18,1.4189,87.1094
train,0,2016,3.7358,2.3302,1.4056,88.2812
train,0,2048,3.7384,2.3847,1.3537,89.2578
validation,0,2048,3.562,2.2864,1.2756,88.746
