mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,16.7223,4.5983,12.1239,6.0547
train,0,64,14.7347,3.5536,11.1811,5.8594
train,0,96,14.2426,3.1311,11.1115,6.0547
train,0,128,13.9697,2.8855,11.0842,6.8359
train,0,160,13.8831,2.7694,11.1137,6.25
train,0,192,13.8039,2.7088,11.0951,5.6641
train,0,224,13.6822,2.5923,11.0899,5.0781
train,0,256,13.6707,2.5719,11.0988,4.6875
train,0,288,13.625,2.5187,11.1063,5.8594
train,0,320,13.581,2.4878,11.0932,7.2266
train,0,352,13.5233,2.4717,11.0517,7.4219
train,0,384,12.4653,2.3951,10.0702,15.2344
train,0,416,11.1902,2.4238,8.7665,24.6094
train,0,448,10.5673,2.4316,8.1357,33.2031
train,0,480,15.3166,7.9098,7.4068,39.4531
train,0,512,15.658,9.2486,6.4094,44.7266
validation,0,512,14.1987,7.5556,6.6432,43.3706
train,0,544,13.3411,7.4167,5.9245,50.0
train,0,576,12.3999,6.7179,5.682,51.3672
train,0,608,11.907,6.4779,5.4291,53.7109
train,0,640,11.3165,6.2602,5.0562,55.8594
train,0,672,11.0995,6.0661,5.0334,57.4219
train,0,704,10.6928,5.9475,4.7453,59.375
train,0,736,10.3517,5.8071,4.5446,63.2812
train,0,768,9.9459,5.5025,4.4434,62.1094
train,0,800,9.6376,5.4657,4.1719,65.4297
train,0,832,9.3794,5.3349,4.0445,65.4297
train,0,864,9.0338,5.277,3.7568,68.9453
train,0,896,9.2879,5.1054,4.1824,64.0625
train,0,928,8.964,5.1099,3.8541,68.9453
train,0,960,8.2952,4.962,3.3332,74.0234
train,0,992,8.5509,4.7961,3.7548,67.3828
train,0,1024,8.4408,4.7313,3.7095,68.75
validation,0,1024,7.9845,4.5784,3.4061,70.3834
train,0,1056,8.1801,4.6779,3.5022,69.3359
train,0,1088,8.1933,4.7025,3.4908,72.0703
train,0,1120,7.9886,4.4771,3.5115,71.875
train,0,1152,7.8162,4.3806,3.4356,72.4609
train,0,1184,7.5649,4.2488,3.3161,72.0703
train,0,1216,6.5347,3.8783,2.6564,78.125
train,0,1248,7.081,3.7169,3.3641,72.8516
train,0,1280,6.4481,3.2084,3.2397,72.8516
train,0,1312,5.8794,2.7096,3.1698,73.4375
train,0,1344,5.2774,2.5895,2.6879,76.3672
train,0,1376,5.8044,2.5379,3.2665,71.2891
train,0,1408,5.5293,2.446,3.0833,74.8047
train,0,1440,5.6679,2.4008,3.2671,71.6797
train,0,1472,5.4171,2.3765,3.0406,73.6328
train,0,1504,5.2056,2.3561,2.8495,76.9531
train,0,1536,4.9733,2.4191,2.5542,76.1719
validation,0,1536,5.165,2.2604,2.9046,75.3155
train,0,1568,5.101,2.3534,2.7475,76.5625
train,0,1600,5.1322,2.3009,2.8313,74.4141
train,0,1632,5.2641,2.3495,2.9146,76.3672
train,0,1664,4.8356,2.3686,2.467,80.8594
train,0,1696,4.8597,2.3146,2.5451,78.125
train,0,1728,5.1322,2.2277,2.9044,75.0
train,0,1760,4.9013,2.2524,2.6489,78.9062
train,0,1792,5.0859,2.274,2.8119,74.6094
train,0,1824,5.0789,2.2556,2.8233,76.3672
train,0,1856,5.0523,2.256,2.7963,74.4141
train,0,1888,5.1067,2.2484,2.8583,76.7578
train,0,1920,4.7793,2.2127,2.5667,76.5625
train,0,1952,4.8815,2.2467,2.6348,77.1484
train,0,1984,4.822,2.2375,2.5844,77.3438
train,0,2016,4.615,2.2331,2.382,78.125
train,0,2048,4.8773,2.2094,2.6678,75.9766
validation,0,2048,4.8219,2.175,2.6469,76.7732
