mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.4389,36.4583,22.3724,2.0436,0.3953
train,0,64,1.727,51.8229,25.8281,1.3805,0.3465
train,0,96,1.5168,59.1146,23.7214,1.1652,0.3516
train,0,128,1.3921,58.0729,23.125,1.0443,0.3478
train,0,160,1.1648,67.4479,23.0234,0.8352,0.3296
train,0,192,1.0516,70.8333,26.6016,0.7462,0.3054
train,0,224,1.1391,65.1042,24.2656,0.8353,0.3037
train,0,256,1.19,69.2708,23.487,0.8633,0.3267
validation,0,256,0.8157,83.0729,26.3359,0.4993,0.3164
train,0,288,1.1083,68.2292,24.5859,0.7962,0.312
train,0,320,1.0286,70.5729,25.9036,0.7266,0.302
train,0,352,1.0971,66.6667,23.2656,0.7869,0.3102
train,0,384,1.0516,68.4896,23.8698,0.7672,0.2844
train,0,416,0.9983,71.0938,24.9193,0.7169,0.2814
train,0,448,1.0212,71.3542,22.7396,0.7283,0.2929
train,0,480,1.0151,69.5312,22.375,0.7227,0.2924
train,0,512,1.0524,67.4479,23.2161,0.7689,0.2835
validation,0,512,0.6555,86.7188,23.5286,0.3769,0.2786
train,0,544,0.9825,72.3958,25.3307,0.7057,0.2768
train,0,576,0.9553,71.3542,25.8932,0.6801,0.2752
train,0,608,0.9351,73.9583,24.6979,0.6598,0.2753
train,0,640,0.9495,74.2188,23.8307,0.6805,0.269
train,0,672,0.9311,72.9167,25.6354,0.6599,0.2711
train,0,704,0.9029,73.6979,26.8177,0.6317,0.2712
train,0,736,0.9244,72.1354,22.362,0.6595,0.2649
train,0,768,0.9555,71.875,24.4271,0.6823,0.2732
validation,0,768,0.6387,86.7188,28.9323,0.3494,0.2893
train,0,800,0.8508,75.0,26.3906,0.5856,0.2652
train,0,832,0.9458,69.0104,24.9271,0.692,0.2538
train,0,864,0.9533,71.0938,24.4479,0.6977,0.2555
train,0,896,0.9134,71.3542,24.7266,0.6611,0.2523
train,0,928,0.8519,73.9583,24.1771,0.5997,0.2522
train,0,960,0.8992,71.3542,22.5755,0.6381,0.261
train,0,992,0.8629,74.4792,24.401,0.6132,0.2497
train,0,1024,0.8932,73.1771,23.7969,0.6422,0.251
validation,0,1024,0.6062,87.2396,23.8984,0.3554,0.2508
train,0,1056,0.8614,77.0833,24.4818,0.615,0.2464
train,0,1088,0.8203,76.0417,24.0677,0.5795,0.2409
train,0,1120,0.8635,75.5208,23.8464,0.615,0.2485
train,0,1152,0.8893,71.875,23.1589,0.6475,0.2418
train,0,1184,0.8381,73.9583,23.875,0.6,0.2381
train,0,1216,0.8383,73.6979,23.3151,0.5986,0.2397
train,0,1248,0.7965,75.0,25.5026,0.5547,0.2418
train,0,1280,0.8454,76.5625,22.9115,0.5956,0.2498
validation,0,1280,0.5641,87.5,25.6667,0.3279,0.2362
train,0,1312,0.7929,75.7812,22.8698,0.5536,0.2393
train,0,1344,0.7927,77.8646,24.974,0.549,0.2436
train,0,1376,0.8223,73.4375,25.4844,0.5913,0.231
train,0,1408,0.8073,76.3021,24.2318,0.5665,0.2408
train,0,1440,0.8343,74.2188,24.1432,0.5959,0.2384
train,0,1472,0.8015,77.3438,21.8568,0.5655,0.236
train,0,1504,0.8067,75.0,23.5208,0.5719,0.2348
train,0,1536,0.8874,71.3542,21.6536,0.6537,0.2338
validation,0,1536,0.5566,89.3229,22.6432,0.3238,0.2327
train,0,1568,0.8134,74.7396,24.0938,0.5778,0.2356
train,0,1600,0.7834,78.125,24.6172,0.5531,0.2303
train,0,1632,0.8494,72.3958,24.0078,0.6231,0.2262
train,0,1664,0.8521,74.4792,23.0703,0.6218,0.2303
train,0,1696,0.8189,77.3438,23.4479,0.5965,0.2224
train,0,1728,0.8166,75.7812,23.9609,0.5898,0.2268
train,0,1760,0.7913,76.5625,25.7526,0.5608,0.2305
train,0,1792,0.8033,77.0833,23.9141,0.568,0.2353
validation,0,1792,0.4833,91.4062,26.8438,0.2568,0.2264
train,0,1824,0.8027,72.9167,23.5677,0.5782,0.2245
train,0,1856,0.8042,76.0417,24.0104,0.5766,0.2276
train,0,1888,0.7595,77.3438,22.6354,0.5313,0.2282
train,0,1920,0.792,73.9583,23.4661,0.5657,0.2263
train,0,1952,0.8105,72.3958,23.4557,0.588,0.2226
train,0,1984,0.7828,76.8229,23.4635,0.5561,0.2267
train,0,2016,0.7875,75.5208,24.7812,0.5608,0.2267
train,0,2048,0.7438,76.0417,23.862,0.5166,0.2272
validation,0,2048,0.5261,88.5417,25.0339,0.2985,0.2276
