mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.5429,35.9375,15.5208,1.9938,0.5491
train,0,64,1.8201,53.9062,18.5156,1.3713,0.4488
train,0,96,1.4954,63.5417,22.2474,1.0701,0.4254
train,0,128,1.3447,63.0208,22.6797,0.9364,0.4082
train,0,160,1.3115,61.7188,22.4115,0.9425,0.3689
train,0,192,1.0774,73.6979,22.9167,0.7205,0.3569
train,0,224,1.1962,66.9271,21.776,0.8303,0.3659
train,0,256,1.1283,70.3125,19.6068,0.7545,0.3737
validation,0,256,0.9804,77.3438,24.7214,0.6572,0.3231
train,0,288,1.0401,76.3021,23.7109,0.6906,0.3495
train,0,320,1.015,72.9167,24.4401,0.6858,0.3291
train,0,352,1.0748,72.3958,23.1276,0.7464,0.3284
train,0,384,1.0201,76.3021,22.5182,0.6972,0.3229
train,0,416,0.9792,77.0833,21.625,0.6488,0.3304
train,0,448,1.0275,75.0,22.5625,0.6893,0.3382
train,0,480,0.9878,75.5208,22.1458,0.6641,0.3237
train,0,512,0.8525,80.2083,24.7292,0.5433,0.3091
validation,0,512,0.9,76.0417,23.6667,0.624,0.276
train,0,544,0.9574,76.8229,21.8932,0.6397,0.3177
train,0,576,0.9127,77.8646,22.1484,0.5874,0.3254
train,0,608,0.8578,83.3333,21.3516,0.5432,0.3146
train,0,640,0.8622,80.7292,22.2734,0.5571,0.3051
train,0,672,0.8561,78.9062,24.1276,0.5659,0.2902
train,0,704,0.9404,76.5625,24.8438,0.637,0.3035
train,0,736,0.8223,80.7292,25.6484,0.5302,0.2921
train,0,768,0.8828,80.7292,22.0964,0.5787,0.3042
validation,0,768,0.8381,78.6458,23.4453,0.5567,0.2814
train,0,800,0.821,82.2917,23.2344,0.5138,0.3072
train,0,832,0.8904,78.125,20.7734,0.591,0.2994
train,0,864,0.8605,78.125,23.1641,0.5531,0.3074
train,0,896,0.8324,79.4271,21.2526,0.5293,0.3031
train,0,928,0.7485,84.1146,24.1589,0.4651,0.2834
train,0,960,0.8221,82.5521,23.25,0.5356,0.2865
train,0,992,0.9047,79.1667,22.3542,0.6104,0.2942
train,0,1024,0.7179,85.1562,23.5391,0.4299,0.288
validation,0,1024,0.6754,83.8542,26.2161,0.4278,0.2476
train,0,1056,0.655,87.2396,24.1849,0.3803,0.2747
train,0,1088,0.6793,85.9375,22.7188,0.4021,0.2772
train,0,1120,0.7821,80.4688,22.4323,0.495,0.2871
train,0,1152,0.7719,82.5521,23.5312,0.5009,0.271
train,0,1184,0.7424,81.7708,22.3958,0.4477,0.2946
train,0,1216,0.7964,79.6875,22.0781,0.5165,0.2798
train,0,1248,0.8088,80.7292,22.0286,0.5305,0.2783
train,0,1280,0.75,83.3333,22.9062,0.4578,0.2922
validation,0,1280,0.692,83.0729,22.8802,0.4329,0.2591
train,0,1312,0.711,83.3333,23.7031,0.4297,0.2813
train,0,1344,0.663,87.7604,23.1068,0.3821,0.2809
train,0,1376,0.6886,84.375,23.2057,0.4168,0.2719
train,0,1408,0.7155,83.8542,23.6068,0.4346,0.2809
train,0,1440,0.7361,83.3333,23.4401,0.4618,0.2743
train,0,1472,0.7219,81.7708,23.7031,0.4455,0.2765
train,0,1504,0.6693,85.4167,23.2109,0.3962,0.273
train,0,1536,0.6823,85.6771,23.8203,0.4118,0.2705
validation,0,1536,0.707,83.3333,24.1562,0.465,0.242
train,0,1568,0.7,82.0312,22.7578,0.4302,0.2699
train,0,1600,0.7317,84.375,23.3333,0.4623,0.2693
train,0,1632,0.7196,83.3333,24.3802,0.4523,0.2673
train,0,1664,0.7353,85.4167,21.5677,0.4396,0.2957
train,0,1696,0.7119,82.2917,22.7839,0.4368,0.2751
train,0,1728,0.7421,81.7708,24.4115,0.4769,0.2652
train,0,1760,0.6712,85.1562,23.901,0.4012,0.27
train,0,1792,0.7576,81.5104,23.6979,0.4846,0.2731
validation,0,1792,0.6287,85.6771,23.7188,0.3861,0.2425
train,0,1824,0.7509,81.5104,23.1354,0.4828,0.2681
train,0,1856,0.7214,82.5521,22.4271,0.4421,0.2793
train,0,1888,0.7503,84.8958,22.2188,0.4673,0.283
train,0,1920,0.7432,84.375,24.0208,0.4703,0.2729
train,0,1952,0.683,84.1146,23.1562,0.4127,0.2703
train,0,1984,0.7141,83.0729,23.0547,0.4385,0.2756
train,0,2016,0.7004,83.0729,23.8906,0.427,0.2734
train,0,2048,0.7132,85.9375,23.8203,0.4398,0.2734
validation,0,2048,0.6477,85.4167,23.3438,0.397,0.2507
