step, en to ne, ne to en
256, 0.14, 0.23
512, 0.07, 0.16
768, 0.08, 0.1
1024, 0.08, 0.13
1280, 0.08, 0.14
1536, 0.1, 0.13
1792, 0.12, 0.15
2048, 0.1, 0.2
2304, 0.1, 0.26
2560, 0.14, 0.28
2816, 0.16, 0.5
3072, 0.22, 1.03
3328, 0.34, 1.36
3584, 0.49, 2.13
3840, 0.6, 3.28
4096, 0.85, 3.91
4352, 1.12, 4.32
4608, 1.11, 4.61
4864, 1.24, 4.76
5120, 1.51, 4.71
5376, 1.45, 4.76
5632, 1.54, 4.9
5888, 1.66, 4.58
6144, 1.68, 4.75
6400, 1.65, 4.87
6656, 1.65, 4.86
6912, 1.72, 4.92
7168, 1.62, 4.89
7424, 1.79, 5.04
7680, 1.82, 5.01
7936, 1.65, 4.78
8192, 1.86, 4.78
