mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,20.3759,1.8837,18.4922,11.5234
train,0,64,17.5698,0.8701,16.6998,13.6719
train,0,96,17.9802,1.214,16.7662,10.9375
train,0,128,27.9844,11.2853,16.6991,14.4531
train,0,160,24.2597,7.5915,16.6682,10.9375
train,0,192,23.2684,6.636,16.6324,11.9141
train,0,224,22.8463,6.2139,16.6325,14.0625
train,0,256,22.6118,5.9655,16.6463,11.5234
train,0,288,22.2685,5.6513,16.6172,14.8438
train,0,320,22.0529,5.3991,16.6538,13.8672
train,0,352,21.7834,5.1518,16.6316,16.0156
train,0,384,21.958,5.3124,16.6456,15.2344
train,0,416,21.5931,4.9571,16.636,12.3047
train,0,448,21.2815,4.6187,16.6628,11.5234
train,0,480,20.2202,3.5392,16.681,12.8906
train,0,512,16.8849,0.2354,16.6495,14.0625
validation,0,512,16.7448,0.0977,16.6471,12.3602
train,0,544,16.76,0.1215,16.6385,12.6953
train,0,576,16.7475,0.0952,16.6523,11.5234
train,0,608,16.684,0.0626,16.6214,15.8203
train,0,640,16.6812,0.0414,16.6397,13.2812
train,0,672,16.6987,0.0354,16.6634,10.9375
train,0,704,16.7111,0.0439,16.6672,11.7188
train,0,736,16.6539,0.0218,16.6321,11.9141
train,0,768,16.641,0.0326,16.6084,14.6484
train,0,800,16.6736,0.0292,16.6444,12.5
train,0,832,16.6655,0.0174,16.648,11.3281
train,0,864,16.6543,0.0277,16.6266,12.8906
train,0,896,16.5179,0.0129,16.505,14.6484
train,0,928,16.179,0.0332,16.1458,14.6484
train,0,960,15.8622,0.0198,15.8424,15.4297
train,0,992,15.7995,0.5708,15.2287,21.875
train,0,1024,14.4474,0.1376,14.3098,27.1484
validation,0,1024,13.958,0.0682,13.8898,31.3818
train,0,1056,13.1823,0.0894,13.0929,33.3984
train,0,1088,12.1557,0.0679,12.0877,40.0391
train,0,1120,9.3388,0.0601,9.2788,52.7344
train,0,1152,8.4725,0.0489,8.4235,60.7422
train,0,1184,7.4405,0.0505,7.39,66.7969
train,0,1216,6.0512,0.0491,6.0021,71.6797
train,0,1248,6.7415,0.0421,6.6993,67.5781
train,0,1280,5.5881,0.0346,5.5536,73.6328
train,0,1312,5.5592,0.0407,5.5184,76.3672
train,0,1344,6.0757,0.0338,6.0419,68.75
train,0,1376,5.3463,0.0288,5.3175,75.9766
train,0,1408,5.1957,0.0315,5.1642,75.1953
train,0,1440,4.9647,0.036,4.9287,79.4922
train,0,1472,4.197,0.0352,4.1618,83.2031
train,0,1504,4.4994,0.0334,4.466,78.3203
train,0,1536,3.9371,0.0371,3.9,83.0078
validation,0,1536,4.57,0.0206,4.5493,79.9002
train,0,1568,4.9164,0.0309,4.8856,79.8828
train,0,1600,3.7607,0.0279,3.7328,83.0078
train,0,1632,4.7368,0.0299,4.7069,80.4688
train,0,1664,4.6045,0.0391,4.5654,81.25
train,0,1696,4.524,0.0357,4.4883,79.8828
train,0,1728,3.8301,0.0327,3.7974,82.0312
train,0,1760,3.6569,0.024,3.6329,82.2266
train,0,1792,4.2389,0.0298,4.209,81.0547
train,0,1824,3.9889,0.0308,3.9581,81.25
train,0,1856,3.9747,0.0259,3.9487,82.4219
train,0,1888,3.5751,0.0238,3.5513,81.8359
train,0,1920,3.4588,0.0305,3.4283,83.2031
train,0,1952,3.738,0.0239,3.7141,82.2266
train,0,1984,3.6725,0.0234,3.6491,84.7656
train,0,2016,3.7063,0.0316,3.6747,83.7891
train,0,2048,3.6901,0.0223,3.6677,81.4453
validation,0,2048,3.604,0.0174,3.5865,84.1254
