mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,3.3485,29.6875,7.9531,2.5806,0.7678
train,0,64,3.624,21.0938,5.638,2.9663,0.6577
train,0,96,3.8167,14.0625,5.1823,3.1911,0.6255
train,0,128,3.6847,11.4583,5.2083,3.0994,0.5853
train,0,160,3.5259,8.3333,6.0911,3.0248,0.5012
train,0,192,3.2699,11.9792,7.5651,2.8329,0.4371
train,0,224,3.105,13.5417,9.849,2.73,0.375
train,0,256,2.8689,20.3125,11.7396,2.5349,0.334
validation,0,256,2.7392,23.6979,12.4987,2.3778,0.3614
train,0,288,2.851,18.75,14.3906,2.5382,0.3128
train,0,320,2.556,27.8646,17.8203,2.2601,0.2959
train,0,352,2.3507,34.8958,21.1953,2.0789,0.2718
train,0,384,2.352,32.8125,20.5807,2.072,0.2799
train,0,416,2.2337,39.3229,24.0781,1.9645,0.2693
train,0,448,2.0845,41.1458,25.0938,1.8233,0.2612
train,0,480,1.9415,44.2708,26.8568,1.684,0.2575
train,0,512,1.8578,48.4375,25.4427,1.6004,0.2574
validation,0,512,1.5402,58.9844,26.4896,1.2704,0.2699
train,0,544,1.6636,55.9896,27.2057,1.4082,0.2554
train,0,576,1.6707,50.2604,26.8203,1.4154,0.2553
train,0,608,1.7797,47.6562,27.2422,1.5317,0.2479
train,0,640,1.6763,51.0417,27.1927,1.4278,0.2485
train,0,672,1.5974,56.5104,25.5208,1.3566,0.2408
train,0,704,1.6852,53.3854,26.2422,1.4443,0.2409
train,0,736,1.6404,54.6875,26.3594,1.3967,0.2437
train,0,768,1.5631,57.8125,26.8073,1.3223,0.2408
validation,0,768,1.4485,58.8542,26.1992,1.207,0.2414
train,0,800,1.6026,53.125,26.4974,1.3696,0.233
train,0,832,1.6835,51.0417,26.1224,1.4488,0.2347
train,0,864,1.6605,51.5625,25.4427,1.4356,0.225
train,0,896,1.4792,58.0729,25.7031,1.2513,0.228
train,0,928,1.6184,54.1667,25.112,1.3889,0.2296
train,0,960,1.4491,57.8125,25.763,1.2257,0.2234
train,0,992,1.5321,55.4688,26.3672,1.3117,0.2205
train,0,1024,1.573,53.9062,25.9818,1.3558,0.2172
validation,0,1024,1.4012,60.8073,26.4596,1.1823,0.2189
train,0,1056,1.472,55.7292,27.0182,1.2511,0.2209
train,0,1088,1.533,56.25,25.7552,1.3176,0.2154
train,0,1120,1.4968,57.2917,26.2943,1.2814,0.2154
train,0,1152,1.5599,57.8125,26.0312,1.3348,0.2251
train,0,1184,1.4732,58.3333,26.5391,1.2562,0.217
train,0,1216,1.4811,57.0312,26.1797,1.2645,0.2167
train,0,1248,1.4681,58.0729,25.6276,1.2551,0.213
train,0,1280,1.5485,53.9062,25.8047,1.3428,0.2057
validation,0,1280,1.4296,58.9844,25.7135,1.2177,0.2118
train,0,1312,1.6006,53.125,25.3698,1.3865,0.2141
train,0,1344,1.6397,52.3438,24.8464,1.4258,0.2139
train,0,1376,1.5545,54.9479,25.6198,1.3403,0.2142
train,0,1408,1.5279,53.3854,26.4297,1.3162,0.2117
train,0,1440,1.4954,57.0312,26.4479,1.2829,0.2125
train,0,1472,1.574,53.6458,25.2422,1.3618,0.2121
train,0,1504,1.4873,57.0312,26.0703,1.2774,0.2099
train,0,1536,1.4617,56.5104,27.2214,1.248,0.2137
validation,0,1536,1.4299,58.5938,25.457,1.2191,0.2108
train,0,1568,1.4394,59.1146,25.9583,1.2297,0.2097
train,0,1600,1.4754,55.7292,25.8359,1.2642,0.2112
train,0,1632,1.547,56.5104,26.3411,1.3395,0.2074
train,0,1664,1.4219,55.2083,26.8854,1.2173,0.2046
train,0,1696,1.43,59.375,27.0677,1.2211,0.2089
train,0,1728,1.5852,53.9062,26.6562,1.3754,0.2097
train,0,1760,1.4491,60.6771,26.6016,1.2385,0.2106
train,0,1792,1.488,58.5938,26.0417,1.2787,0.2093
validation,0,1792,1.3936,60.6771,25.7591,1.1867,0.2069
train,0,1824,1.499,57.0312,26.2266,1.2887,0.2102
train,0,1856,1.5451,56.7708,25.513,1.3328,0.2122
train,0,1888,1.4888,59.375,25.2708,1.2775,0.2113
train,0,1920,1.4666,56.7708,26.3411,1.2602,0.2064
train,0,1952,1.4485,56.7708,27.4193,1.2435,0.2049
train,0,1984,1.5762,54.1667,25.4844,1.3678,0.2084
train,0,2016,1.4556,54.9479,25.5625,1.2502,0.2054
train,0,2048,1.4768,58.5938,26.7682,1.2719,0.2048
validation,0,2048,1.3593,60.026,25.7878,1.1523,0.207
