mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,15.3113,3.2237,12.0876,6.25
train,0,64,14.0009,2.8178,11.1831,5.6641
train,0,96,13.8872,2.7591,11.1281,6.25
train,0,128,13.7891,2.7039,11.0852,7.0312
train,0,160,13.7486,2.6184,11.1301,5.8594
train,0,192,13.6685,2.5618,11.1067,5.4688
train,0,224,13.5673,2.4724,11.0948,4.8828
train,0,256,13.5801,2.4756,11.1045,4.6875
train,0,288,13.5461,2.4354,11.1108,5.6641
train,0,320,13.5172,2.4133,11.1039,7.0312
train,0,352,13.5189,2.4143,11.1047,6.0547
train,0,384,13.4342,2.3476,11.0866,6.8359
train,0,416,13.4743,2.3764,11.098,4.8828
train,0,448,13.4876,2.3859,11.1017,6.4453
train,0,480,13.4298,2.3245,11.1053,5.6641
train,0,512,13.45,2.3514,11.0986,7.4219
validation,0,512,13.3546,2.2557,11.0989,5.9904
train,0,544,13.4759,2.3665,11.1094,4.8828
train,0,576,13.301,2.1918,11.1092,4.6875
train,0,608,13.331,2.2397,11.0913,6.8359
train,0,640,13.337,2.2409,11.0961,7.2266
train,0,672,13.4439,2.2918,11.1521,5.2734
train,0,704,13.2871,2.2073,11.0798,7.2266
train,0,736,13.3879,2.2789,11.109,7.2266
train,0,768,13.3339,2.2373,11.0966,6.6406
train,0,800,13.318,2.2267,11.0913,5.8594
train,0,832,13.3293,2.2145,11.1149,5.6641
train,0,864,13.3985,2.339,11.0595,6.4453
train,0,896,12.9048,2.2031,10.7017,11.5234
train,0,928,12.3482,2.2648,10.0834,11.3281
train,0,960,11.4454,2.2374,9.2081,20.8984
train,0,992,10.6024,2.1697,8.4327,25.0
train,0,1024,10.3486,2.2095,8.1391,28.7109
validation,0,1024,9.8887,2.1573,7.7313,32.2963
train,0,1056,9.5969,2.1431,7.4538,33.3984
train,0,1088,9.7707,2.1853,7.5854,35.1562
train,0,1120,8.8839,2.1415,6.7424,38.6719
train,0,1152,8.4924,2.1792,6.3132,43.75
train,0,1184,8.2597,2.1631,6.0967,45.7031
train,0,1216,7.651,2.138,5.513,52.7344
train,0,1248,7.6947,2.1612,5.5336,53.125
train,0,1280,7.5094,2.1693,5.3402,51.3672
train,0,1312,7.0808,2.1091,4.9717,55.0781
train,0,1344,6.7883,2.2101,4.5782,57.8125
train,0,1376,7.1309,2.2345,4.8964,56.6406
train,0,1408,6.9407,2.1828,4.7579,58.3984
train,0,1440,6.8337,2.1212,4.7125,58.9844
train,0,1472,6.343,2.1229,4.2201,64.0625
train,0,1504,6.2676,2.103,4.1647,66.4062
train,0,1536,6.1065,2.1888,3.9177,63.0859
validation,0,1536,6.2057,2.0928,4.1129,64.6565
train,0,1568,6.1532,2.1414,4.0118,64.8438
train,0,1600,5.925,2.0993,3.8257,67.5781
train,0,1632,6.038,2.1624,3.8756,65.8203
train,0,1664,5.8467,2.1671,3.6796,66.9922
train,0,1696,5.6715,2.0943,3.5772,69.7266
train,0,1728,5.8196,2.0437,3.7759,66.7969
train,0,1760,5.7376,2.0786,3.6591,69.3359
train,0,1792,5.7862,2.1255,3.6606,67.1875
train,0,1824,5.8097,2.0891,3.7207,66.9922
train,0,1856,5.8667,2.09,3.7766,66.6016
train,0,1888,5.508,2.0934,3.4147,69.7266
train,0,1920,5.601,2.0575,3.5435,68.75
train,0,1952,5.6553,2.1019,3.5534,69.5312
train,0,1984,5.6793,2.0806,3.5987,65.4297
train,0,2016,5.3364,2.0729,3.2636,73.8281
train,0,2048,5.4168,2.0475,3.3693,70.3125
validation,0,2048,5.3815,2.0558,3.3257,71.1581
