mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.3523,36.9792,17.4635,1.9735,0.3788
train,0,64,1.7825,52.3438,18.6484,1.4756,0.3069
train,0,96,1.5534,59.1146,22.7839,1.2558,0.2977
train,0,128,1.3356,62.5,23.375,1.0431,0.2925
train,0,160,1.3498,61.1979,22.6276,1.0704,0.2794
train,0,192,1.1502,67.7083,25.3255,0.886,0.2641
train,0,224,1.1085,68.2292,26.5417,0.8525,0.256
train,0,256,1.0145,71.0938,28.9193,0.7678,0.2467
validation,0,256,0.9899,70.8333,28.263,0.7765,0.2134
train,0,288,1.0504,68.75,29.0234,0.8075,0.2429
train,0,320,1.0199,73.6979,27.0964,0.7785,0.2414
train,0,352,1.1,69.2708,24.2839,0.8441,0.2559
train,0,384,1.0315,70.5729,25.0911,0.7849,0.2467
train,0,416,1.0434,71.6146,24.151,0.7944,0.249
train,0,448,1.008,72.9167,23.5599,0.7472,0.2608
train,0,480,0.9711,75.0,25.3958,0.7197,0.2513
train,0,512,0.9808,71.3542,24.3411,0.7396,0.2412
validation,0,512,0.9132,74.7396,23.9062,0.6907,0.2225
train,0,544,0.9157,74.2188,24.7396,0.6685,0.2472
train,0,576,0.9757,72.6562,24.3906,0.7364,0.2393
train,0,608,0.9174,77.3438,25.2083,0.6847,0.2327
train,0,640,0.9835,71.3542,24.4062,0.7441,0.2394
train,0,672,0.9303,73.1771,25.2604,0.69,0.2403
train,0,704,0.8835,75.7812,26.2526,0.638,0.2455
train,0,736,0.8193,78.3854,26.2292,0.5824,0.2369
train,0,768,0.8696,75.0,24.612,0.6312,0.2383
validation,0,768,0.7947,76.8229,26.3203,0.5898,0.2049
train,0,800,0.8239,77.3438,26.0833,0.594,0.2299
train,0,832,0.8323,78.3854,27.4141,0.615,0.2173
train,0,864,0.8742,77.0833,24.7161,0.6424,0.2318
train,0,896,0.843,81.5104,23.724,0.6155,0.2274
train,0,928,0.8411,76.8229,23.7214,0.6026,0.2385
train,0,960,0.8853,74.4792,24.9974,0.6572,0.2281
train,0,992,0.9421,75.5208,24.2891,0.7039,0.2382
train,0,1024,0.8413,76.8229,24.4219,0.6005,0.2408
validation,0,1024,0.69,81.5104,26.0859,0.4875,0.2025
train,0,1056,0.7835,80.4688,25.5234,0.5551,0.2284
train,0,1088,0.7916,77.8646,24.3125,0.565,0.2265
train,0,1120,0.8214,79.9479,24.1771,0.5916,0.2298
train,0,1152,0.841,77.8646,22.7865,0.6092,0.2318
train,0,1184,0.8019,80.7292,23.9089,0.5727,0.2293
train,0,1216,0.7965,78.9062,25.4479,0.5752,0.2213
train,0,1248,0.7047,85.1562,24.8828,0.4822,0.2225
train,0,1280,0.7802,81.5104,24.2812,0.555,0.2252
validation,0,1280,0.7031,81.7708,25.1484,0.5112,0.1919
train,0,1312,0.7303,83.0729,25.8438,0.5126,0.2177
train,0,1344,0.8334,77.0833,23.8255,0.6106,0.2228
train,0,1376,0.7724,80.2083,24.4661,0.5523,0.2201
train,0,1408,0.7308,82.0312,25.2839,0.5062,0.2246
train,0,1440,0.7443,82.2917,24.4844,0.5262,0.2182
train,0,1472,0.7932,78.125,23.4505,0.5723,0.2209
train,0,1504,0.6823,83.8542,24.8984,0.4689,0.2134
train,0,1536,0.7804,78.9062,24.1094,0.5643,0.2162
validation,0,1536,0.7087,81.25,24.9792,0.516,0.1927
train,0,1568,0.7368,81.7708,24.3828,0.5237,0.2131
train,0,1600,0.75,79.9479,25.0807,0.5378,0.2122
train,0,1632,0.7532,80.4688,26.0286,0.5411,0.2121
train,0,1664,0.6712,84.375,25.0964,0.4473,0.224
train,0,1696,0.7491,82.5521,24.7344,0.5324,0.2167
train,0,1728,0.7109,82.0312,24.6589,0.4947,0.2162
train,0,1760,0.7307,78.9062,24.0938,0.5139,0.2168
train,0,1792,0.8302,77.8646,23.5521,0.6086,0.2216
validation,0,1792,0.702,80.7292,23.2344,0.5088,0.1932
train,0,1824,0.742,82.5521,23.8021,0.526,0.216
train,0,1856,0.7064,84.1146,24.0339,0.4857,0.2207
train,0,1888,0.7267,83.0729,24.2448,0.5078,0.2189
train,0,1920,0.7622,79.9479,24.3984,0.5409,0.2212
train,0,1952,0.6998,83.8542,25.349,0.487,0.2128
train,0,1984,0.7999,79.1667,24.5208,0.5821,0.2179
train,0,2016,0.7304,83.3333,23.3958,0.5102,0.2202
train,0,2048,0.661,85.6771,23.8281,0.4414,0.2196
validation,0,2048,0.651,83.5938,24.4661,0.4595,0.1915
