mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,3.3962,29.9479,8.4297,2.6183,0.7779
train,0,64,3.8321,21.3542,5.5234,3.1255,0.7066
train,0,96,4.0296,13.5417,4.4401,3.3076,0.7219
train,0,128,3.6833,10.1562,5.0417,3.0434,0.6398
train,0,160,3.6149,8.8542,5.5104,3.0433,0.5716
train,0,192,3.317,9.375,7.1589,2.8456,0.4715
train,0,224,3.0889,14.3229,8.9479,2.6838,0.4051
train,0,256,2.8309,20.0521,12.1745,2.487,0.3438
validation,0,256,2.5111,31.901,13.4154,2.1221,0.3889
train,0,288,2.5784,25.5208,14.9453,2.2552,0.3232
train,0,320,2.5076,27.3438,16.5651,2.2029,0.3047
train,0,352,2.4511,28.3854,18.9583,2.1726,0.2785
train,0,384,2.468,29.9479,18.9245,2.1864,0.2815
train,0,416,2.474,29.9479,19.4297,2.1912,0.2828
train,0,448,2.3077,34.6354,20.8255,2.0481,0.2596
train,0,480,2.3476,30.9896,22.0026,2.1005,0.2471
train,0,512,2.2484,34.8958,22.9401,2.0079,0.2405
validation,0,512,2.172,38.9323,21.125,1.8976,0.2744
train,0,544,2.2389,34.1146,22.6615,1.9947,0.2442
train,0,576,2.2738,36.1979,22.7995,2.0295,0.2443
train,0,608,2.3093,33.3333,21.9089,2.0692,0.24
train,0,640,2.3003,34.8958,21.5026,2.0496,0.2507
train,0,672,2.175,35.1562,22.25,1.9381,0.2369
train,0,704,2.2292,32.5521,23.4401,1.9866,0.2427
train,0,736,2.1335,39.0625,24.849,1.8906,0.2428
train,0,768,2.2136,33.3333,25.8229,1.9608,0.2527
validation,0,768,1.8933,45.0521,25.9961,1.6413,0.2521
train,0,800,1.8532,46.0938,27.4974,1.6079,0.2453
train,0,832,1.8744,46.0938,28.0599,1.6274,0.247
train,0,864,1.7859,50.2604,27.2161,1.5434,0.2425
train,0,896,1.742,48.9583,26.8307,1.4998,0.2422
train,0,928,1.6315,51.8229,28.6667,1.3848,0.2467
train,0,960,1.6546,52.3438,27.6068,1.4175,0.2372
train,0,992,1.6697,51.8229,28.1432,1.4362,0.2335
train,0,1024,1.643,48.9583,27.8333,1.4129,0.2301
validation,0,1024,1.5076,57.0312,27.1042,1.2712,0.2364
train,0,1056,1.5051,57.8125,28.1953,1.2675,0.2376
train,0,1088,1.586,55.9896,27.5547,1.3539,0.2321
train,0,1120,1.5903,54.4271,28.3932,1.3628,0.2275
train,0,1152,1.4823,55.4688,28.862,1.2467,0.2356
train,0,1184,1.502,55.7292,28.25,1.2781,0.2239
train,0,1216,1.4574,58.3333,27.7969,1.2283,0.2291
train,0,1248,1.4711,57.5521,28.5573,1.2458,0.2253
train,0,1280,1.5538,54.6875,27.9505,1.3315,0.2223
validation,0,1280,1.4234,60.1562,27.3112,1.2021,0.2213
train,0,1312,1.5785,49.7396,28.2161,1.3586,0.2199
train,0,1344,1.4867,58.8542,28.026,1.2678,0.2189
train,0,1376,1.5233,57.5521,27.0625,1.2978,0.2255
train,0,1408,1.6462,52.6042,27.0182,1.4243,0.2219
train,0,1440,1.5027,59.8958,27.8281,1.2839,0.2188
train,0,1472,1.5595,53.6458,28.0573,1.3406,0.2188
train,0,1504,1.5769,51.5625,27.4427,1.3606,0.2162
train,0,1536,1.4791,58.8542,26.6198,1.2513,0.2278
validation,0,1536,1.3206,63.6719,27.332,1.1034,0.2171
train,0,1568,1.5333,54.4271,26.9036,1.3132,0.2201
train,0,1600,1.5088,57.5521,27.0547,1.2905,0.2183
train,0,1632,1.5452,54.4271,27.3724,1.3293,0.2159
train,0,1664,1.5877,54.4271,27.4896,1.3725,0.2151
train,0,1696,1.5228,56.25,27.138,1.3081,0.2148
train,0,1728,1.5256,54.9479,27.4271,1.3078,0.2179
train,0,1760,1.4779,56.25,27.3411,1.2584,0.2195
train,0,1792,1.3349,60.6771,27.7578,1.1213,0.2136
validation,0,1792,1.4143,59.7656,27.4674,1.2002,0.2141
train,0,1824,1.4543,55.9896,27.1849,1.2359,0.2185
train,0,1856,1.5284,55.2083,26.9219,1.3115,0.2169
train,0,1888,1.5262,57.2917,27.3047,1.3069,0.2193
train,0,1920,1.4052,61.1979,26.9245,1.1868,0.2184
train,0,1952,1.5294,55.4688,26.8281,1.3157,0.2137
train,0,1984,1.5855,50.5208,26.9453,1.3689,0.2166
train,0,2016,1.4844,56.7708,26.3568,1.2693,0.2151
train,0,2048,1.377,61.1979,26.974,1.1573,0.2198
validation,0,2048,1.3997,59.1146,27.4258,1.1889,0.2109
