mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,0.9499,74.2188,26.1667,0.722,0.2279
train,0,64,0.8907,74.7396,27.3932,0.6691,0.2216
train,0,96,0.8769,73.9583,27.9219,0.664,0.213
train,0,128,0.8966,77.3438,27.8125,0.6773,0.2192
train,0,160,0.8458,80.2083,28.4766,0.6324,0.2134
train,0,192,0.771,78.6458,27.5417,0.5597,0.2114
train,0,224,0.8635,76.0417,26.9167,0.6581,0.2053
train,0,256,0.8366,76.0417,28.1901,0.6368,0.1998
train,0,288,0.767,80.2083,28.099,0.5688,0.1982
train,0,320,0.7378,81.25,29.4661,0.5386,0.1991
train,0,352,0.7522,80.2083,28.6302,0.555,0.1972
train,0,384,0.8283,78.3854,28.8958,0.6341,0.1942
train,0,416,0.7426,79.9479,28.6771,0.5425,0.2001
train,0,448,0.7429,80.9896,28.9635,0.5414,0.2016
train,0,480,0.7694,79.1667,28.3906,0.5683,0.2011
train,0,512,0.6959,83.0729,28.375,0.4984,0.1975
validation,0,512,0.6735,83.2734,27.7527,0.5095,0.164
train,0,544,0.7402,80.9896,27.6146,0.5469,0.1933
train,0,576,0.7029,83.3333,28.2865,0.5121,0.1907
train,0,608,0.76,79.9479,28.3099,0.5638,0.1962
train,0,640,0.7441,78.6458,27.8984,0.5498,0.1943
train,0,672,0.7381,79.1667,27.3125,0.546,0.1921
train,0,704,0.7633,79.6875,27.2344,0.569,0.1942
train,0,736,0.7325,81.5104,27.0208,0.5409,0.1916
train,0,768,0.8281,75.7812,27.1797,0.6386,0.1895
train,0,800,0.7014,82.2917,26.9688,0.5085,0.1929
train,0,832,0.747,79.9479,26.6719,0.555,0.192
train,0,864,0.7514,79.6875,26.862,0.5577,0.1936
train,0,896,0.6687,82.0312,27.3411,0.4776,0.1911
train,0,928,0.7275,81.25,26.5052,0.5328,0.1947
train,0,960,0.7013,83.3333,27.0547,0.5113,0.19
train,0,992,0.7592,79.4271,27.7708,0.5672,0.192
train,0,1024,0.6631,83.3333,27.1562,0.4716,0.1915
validation,0,1024,0.6519,83.4033,26.6687,0.4912,0.1607
